status	job	reason	graph
SKIP	w0:139	cadence_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w0:103	output decode ValueError: output 0 size mismatch: eager meta {'dtype': 5, 'dims': [2, 4, 3, 4, 2]} wants 384 B but the .pte wrote 1536 B (4x) — output dtype differs between the lowered program and the eager reference	n0*=fill.Scalar(L0,·)
SKIP	w0:102	output decode ValueError: output 0 size mismatch: eager meta {'dtype': 1, 'dims': [2]} wants 2 B but the .pte wrote 8 B (4x) — output dtype differs between the lowered program and the eager reference	n0*=masked_fill.Scalar(L0,L1,·)
SKIP	w0:26	cadence_runner rc=2: 	n0*=scatter.value_out(L0,·,·,·,·)
SKIP	w0:292	cadence_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w0:262	out[0] max|delta|=6.000e+00 (rtol=0.0 atol=0.0)	n0*=remainder.Scalar_out(L0,·,·)
SKIP	w0:287	cadence_runner rc=2: 	n0*=convolution(L0,L1,·,·,·,·,·,·,·)
SKIP	w0:295	cadence_runner rc=2: 	n0*=gather.out(L0,·,·,·,·)
SKIP	w0:224	output decode ValueError: output 0 size mismatch: eager meta {'dtype': 5, 'dims': [2, 3, 3, 2, 2]} wants 144 B but the .pte wrote 288 B (2x) — output dtype differs between the lowered program and the eager reference	n0*=tril.out(L0,·,·)
SKIP	w0:333	output decode ValueError: output 0 size mismatch: eager meta {'dtype': 1, 'dims': [2]} wants 2 B but the .pte wrote 8 B (4x) — output dtype differs between the lowered program and the eager reference	n0*=masked_fill.Scalar(L0,L1,·)
SKIP	w0:334	output decode ValueError: output 0 size mismatch: eager meta {'dtype': 3, 'dims': [2, 3, 2, 3, 2]} wants 288 B but the .pte wrote 576 B (2x) — output dtype differs between the lowered program and the eager reference	n0*=fill.Scalar(L0,·)
SKIP	w0:370	cadence_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w0:408	cadence_runner rc=2: 	n0*=copy(L0,L1,·)
SKIP	w0:461	cadence_runner rc=2: 	n0*=expand_copy(L0,·,·)
MISMATCH	w0:440	out[0] max|delta|=1.119e+01 (rtol=0.01 atol=0.001)	n0*=addmm.out(L0,L1,L2,·,·,·)
MISMATCH	w0:482	out[0] max|delta|=3.999e-01 (rtol=0.01 atol=0.001)	n0*=_native_batch_norm_legit.no_stats(L0,·,·,·,·,·)
SKIP	w0:487	cadence_runner rc=2: 	n0*=scatter.src_out(L0,·,·,L1,·)
SKIP	w0:523	cadence_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w0:522	out[0] max|delta|=3.000e+00 (rtol=0.01 atol=0.001)	n0*=remainder.Tensor_out(L0,L1,·)
SKIP	w0:564	output decode ValueError: output 0 size mismatch: eager meta {'dtype': 1, 'dims': [2]} wants 2 B but the .pte wrote 8 B (4x) — output dtype differs between the lowered program and the eager reference	n0*=masked_fill.Scalar(L0,L1,·)
SKIP	w0:565	output decode ValueError: output 0 size mismatch: eager meta {'dtype': 6, 'dims': [2, 3]} wants 24 B but the .pte wrote 48 B (2x) — output dtype differs between the lowered program and the eager reference	n0*=fill.Scalar(L0,·)
SKIP	w0:601	cadence_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w0:61	cadence_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w0:710	cadence_runner rc=2: 	n0*=arange.start_out(·,·,·,·)
SKIP	w0:718	cadence_runner rc=2: 	n0*=scatter.src_out(L0,·,·,L1,·)
MISMATCH	w0:671	out[0] max|delta|=1.553e+01 (rtol=0.01 atol=0.001)	n0*=addmm.out(L0,L1,L2,·,·,·)
SKIP	w0:686	output decode ValueError: output 0 size mismatch: eager meta {'dtype': 5, 'dims': [4, 3]} wants 24 B but the .pte wrote 48 B (2x) — output dtype differs between the lowered program and the eager reference	n0*=tril.out(L0,·,·)
SKIP	w0:754	cadence_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w0:749	cadence_runner rc=2: 	n0*=convolution(L0,L1,·,·,·,·,·,·,·)
SKIP	w1:125	cadence_runner rc=2: 	n0*=scatter.value_out(L0,·,·,·,·)
MISMATCH	w1:136	out[0] max|delta|=1.250e+00 (rtol=0.01 atol=0.001)	n0*=div.Scalar(L0,·)
SKIP	w1:19	output decode ValueError: output 0 size mismatch: eager meta {'dtype': 4, 'dims': [2, 1]} wants 16 B but the .pte wrote 2 B (0.125x) — output dtype differs between the lowered program and the eager reference	n0*=mul.Scalar(L0,·)
SKIP	w1:201	output decode ValueError: output 0 size mismatch: eager meta {'dtype': 1, 'dims': [2]} wants 2 B but the .pte wrote 8 B (4x) — output dtype differs between the lowered program and the eager reference	n0*=masked_fill.Scalar(L0,L1,·)
SKIP	w1:202	output decode ValueError: output 0 size mismatch: eager meta {'dtype': 11, 'dims': [3, 3, 3, 4, 2]} wants 216 B but the .pte wrote 1728 B (8x) — output dtype differs between the lowered program and the eager reference	n0*=fill.Scalar(L0,·)
SKIP	w1:238	cadence_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w1:308	out[0] max|delta|=1.949e+01 (rtol=0.01 atol=0.001)	n0*=addmm.out(L0,L1,L2,·,·,·)
SKIP	w1:347	cadence_runner rc=2: 	n0*=arange.start_out(·,·,·,·)
MISMATCH	w1:323	out[0] max|delta|=1.082e+09 (rtol=0.0 atol=0.0)	n0*=tril.out(L0,·,·)
SKIP	w1:355	cadence_runner rc=2: 	n0*=scatter.src_out(L0,·,·,L1,·)
MISMATCH	w1:361	out[0] max|delta|=6.000e+00 (rtol=0.0 atol=0.0)	n0*=remainder.Scalar_out(L0,·,·)
SKIP	w1:391	cadence_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w1:432	output decode ValueError: output 0 size mismatch: eager meta {'dtype': 1, 'dims': [2]} wants 2 B but the .pte wrote 8 B (4x) — output dtype differs between the lowered program and the eager reference	n0*=masked_fill.Scalar(L0,L1,·)
SKIP	w1:45	cadence_runner rc=2: 	n0*=copy(L0,L1,·)
SKIP	w1:433	output decode ValueError: output 0 size mismatch: eager meta {'dtype': 3, 'dims': [4, 1, 4, 4, 4]} wants 1024 B but the .pte wrote 2048 B (2x) — output dtype differs between the lowered program and the eager reference	n0*=fill.Scalar(L0,·)
SKIP	w1:507	cadence_runner rc=2: 	n0*=copy(L0,L1,·)
SKIP	w1:587	cadence_runner rc=2: 	n0*=scatter.value_out(L0,·,·,·,·)
MISMATCH	w1:554	out[0] max|delta|=1.082e+09 (rtol=0.0 atol=0.0)	n0*=tril.out(L0,·,·)
SKIP	w1:625	cadence_runner rc=2: 	n0*=gather.out(L0,·,·,·,·)
SKIP	w1:622	cadence_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w1:664	output decode ValueError: output 0 size mismatch: eager meta {'dtype': 5, 'dims': [1, 1, 4]} wants 8 B but the .pte wrote 32 B (4x) — output dtype differs between the lowered program and the eager reference	n0*=fill.Scalar(L0,·)
MISMATCH	w1:621	out[0] max|delta|=4.000e+00 (rtol=0.0 atol=0.0)	n0*=remainder.Tensor_out(L0,L1,·)
SKIP	w1:663	output decode ValueError: output 0 size mismatch: eager meta {'dtype': 1, 'dims': [2]} wants 2 B but the .pte wrote 8 B (4x) — output dtype differs between the lowered program and the eager reference	n0*=masked_fill.Scalar(L0,L1,·)
SKIP	w1:7	cadence_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w1:700	cadence_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w1:738	cadence_runner rc=2: 	n0*=copy(L0,L1,·)
MISMATCH	w1:692	out[0] max|delta|=3.000e+00 (rtol=0.0 atol=0.0)	n0*=fmod.Scalar(L0,·)
MISMATCH	w1:770	out[0] max|delta|=1.594e+00 (rtol=0.01 atol=0.001)	n0*=addmm.out(L0,L1,L2,·,·,·)
MISMATCH	w1:77	out[0] max|delta|=1.185e+01 (rtol=0.01 atol=0.001)	n0*=addmm.out(L0,L1,L2,·,·,·)
SKIP	w10:164	cadence_runner rc=2: 	n0*=expand_copy(L0,·,·)
SKIP	w10:158	output decode ValueError: output 0 size mismatch: eager meta {'dtype': 5, 'dims': [2, 3, 2, 4, 4]} wants 384 B but the .pte wrote 768 B (2x) — output dtype differs between the lowered program and the eager reference	n0*=tril.out(L0,·,·)
SKIP	w10:190	cadence_runner rc=2: 	n0*=scatter.src_out(L0,·,·,L1,·)
SKIP	w10:229	cadence_runner rc=2: 	n0*=gather.out(L0,·,·,·,·)
SKIP	w10:226	cadence_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
