job_id	out_idx	verdict	cone_size	required	detail
w0:437	1	OPERATOR	2		
w0:553	1	LOWERFAIL			BUILD:SKIP
w1:489	5	SIBLING_DEPENDENT	5	n6	
w1:8	3	SIBLING_DEPENDENT	4	n3	
w10:121	1	LOWERFAIL			BUILD:SKIP
w100:654	1	LOWERFAIL			BUILD:SKIP
w100:679	2	LOWERFAIL			BUILD:SKIP
w100:76	0	DEV:TIMEOUT			DEV:TIMEOUT
w102:495	1	OPERATOR	4		
w102:52	0	LOWERFAIL			BUILD:SKIP
w102:633	1	LOWERFAIL			BUILD:SKIP
w103:174	1	LOWERFAIL			BUILD:SKIP
w103:461	0	LOWERFAIL			BUILD:SKIP
w104:100	4	OPERATOR	2		
w104:44	0	LOWERFAIL			BUILD:SKIP
w104:726	1	LOWERFAIL			BUILD:SKIP
w104:88	0	LOWERFAIL			BUILD:SKIP
w106:181	2	OPERATOR	5		
w106:217	0	LOWERFAIL			BUILD:SKIP
w106:423	2	LOWERFAIL			BUILD:SKIP
w107:656	0	COMPOSITIONAL	1	n0	
w108:648	2	LOWERFAIL			BUILD:SKIP
w109:335	1	OPERATOR	4		
w109:539	1	LOWERFAIL			BUILD:SKIP
w11:713	2	LOWERFAIL			BUILD:SKIP
w110:123	1	LOWERFAIL			BUILD:SKIP
w111:17	3	SIBLING_DEPENDENT	3	n4	
w112:87	1	SIBLING_DEPENDENT	3	n1,n6	
w113:674	1	SIBLING_DEPENDENT	5	n2,n7	
w114:120	2	LOWERFAIL			BUILD:SKIP
w114:14	1	LOWERFAIL			BUILD:SKIP
w114:170	2	LOWERFAIL			BUILD:SKIP
w114:180	0	OPERATOR	3		
w114:718	0	COMPOSITIONAL	3	n2,n0	
w115:159	1	LOWERFAIL			BUILD:SKIP
w116:115	1	OPERATOR	1		
w116:327	0	OPERATOR	1		
w116:338	0	SIBLING_DEPENDENT	3	n16	
w116:476	4	COMPOSITIONAL	2	n1	
w117:611	2	LOWERFAIL			BUILD:SKIP
w118:301	0	SIBLING_DEPENDENT	4	n6	
w118:551	1	OPERATOR	1		
w118:620	1	OPERATOR	4		
w119:172	3	LOWERFAIL			BUILD:SKIP
w119:33	0	SIBLING_DEPENDENT	2	n7	
w119:403	0	LOWERFAIL			BUILD:SKIP
w119:546	2	LOWERFAIL			BUILD:SKIP
w12:316	2	SIBLING_DEPENDENT	3	n6	
w12:588	2	OPERATOR	6		
w120:5	4	LOWERFAIL			BUILD:SKIP
w121:257	2	LOWERFAIL			BUILD:SKIP
w121:457	0	LOWERFAIL			BUILD:SKIP
w122:341	2	LOWERFAIL			BUILD:SKIP
w122:371	0	LOWERFAIL			BUILD:SKIP
w122:517	0	COMPOSITIONAL	2	n1,n0	
w123:152	3	OPERATOR	4		
w0:553	1	CONE_LOCAL_CANT_SPLIT	6		cone_build_skip
w10:121	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w100:654	1	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w100:679	2	DEV:TIMEOUT			DEV:TIMEOUT
w100:76	0	COMPOSITIONAL	3	n2,n1	
w102:52	0	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w102:633	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w103:174	1	CONE_LOCAL_CANT_SPLIT	7		cone_build_skip
w103:461	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w104:44	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w104:726	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w104:88	0	CONE_LOCAL_CANT_SPLIT	6		cone_build_skip
w106:217	0	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w106:423	2	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w108:648	2	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w109:539	1	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w11:713	2	CONE_LOCAL_CANT_SPLIT	1		cone_build_skip
w110:123	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w114:120	2	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w114:14	1	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w114:170	2	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w115:159	1	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w117:611	2	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w119:172	3	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w119:403	0	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w119:546	2	CONE_LOCAL_CANT_SPLIT	9		cone_build_skip
w120:5	4	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
