status	job	reason	graph
MISMATCH	w0:127	out[2] non-finite mismatch (nan/inf positions differ)	n0=acosh.out(L0,·) ; n1=clamp.out(n0,·,·,·) ; n2=abs.out(n1,·) ; n3=logical_xor.out(L1,n1,·) ; n4=min(n2) ; n5*=max.unary_out(n3,·) ; n6*=sigmoid.out(n0,·) ; n7*=log2.out(n4,·)
MISMATCH	w0:153	out[0] max|delta|=1.000e+00 (rtol=0.01 atol=0.001)	n0=atan2.out(L0,L1,·) ; n1=rsqrt.out(n0,·) ; n2=split_with_sizes_copy(n1,·,·) ; n3=rsqrt.out(n2,·) ; n4*=gt.Tensor_out(L2,n1,·) ; n5=abs(n3) ; n6*=acosh.out(n5,·) ; n7*=pow.Tensor_Scalar_out(n3,·,·)
SKIP	w0:240	client RuntimeError: method->execute() failed with error 0x1 | [coreml_backend_delegate.mm:166] CoreMLBackend: DataType=1 is not supported [coreml_backend_delegate.mm:372] CoreMLBackend: Failed to create multiarray from output at args[4] [method.cpp:1530] CALL_DELEGATE execute failed at instruction 0: 0x1	n0=logical_and(L0,L1) ; n1=remainder.Scalar_out(n0,·,·) ; n2=to(n1,·) ; n3=rshp(n2,·) ; n4=remainder.Tensor_out(n0,n3,·) ; n5*=abs(n4) ; n6*=ge.Scalar_out(n4,·,·) ; n7=tan.out(n2,·) ; n8*=le.Tensor_out(n7,L2,·) ; n9=to(n0,·) ; n10=rshp(n9,·) ; n11*=gt.Tensor_out(n0,n10,·)
SKIP	w0:263	client RuntimeError: method->execute() failed with error 0x12 | [tensor_util.h:621] Check failed (static_cast<size_t>(t.dim()) == rank): Expected tensor.dim() to be 2, but got 4 [distance_util.cpp:16] Check failed (tensor_is_rank(in, 2)):  [op_pdist_forward.cpp:25] Check failed (check_pdist_args(in, p, out)):  [method.cpp:1488] KernelCall failed at instruction 0:1 in operator aten::_pdist_forward.out: 0x12 [method.cpp:1494] arg 0 with type id 1 [method.cpp:1494] arg 1 with type id 3 [method.cpp:1494] arg 2 with type id 1 [method.cpp:1494] arg 3 with type id 1	n0=lift_fresh_copy(L0) ; n1=gt.Tensor_out(L1,n0,·) ; n2*=_pdist_forward(n0,·) ; n3=tanh.out(n0,·) ; n4=gt.Scalar_out(n1,·,·) ; n5*=sub.out(L2,n3,·,·) ; n6*=select_copy.int(n4,·,·) ; n7*=prod.int_out(n0,·,·,·,·)
MISMATCH	w0:29	out[0] max|delta|=1.495e+01 (rtol=0.01 atol=0.001)	n0=alias_copy(L0) ; n1=_upsample_bilinear2d_aa.out(n0,·,·,·,·,·) ; n2=sin.out(n1,·) ; n3=transpose_copy.int(n2,·,·) ; n4*=div.out(L1,n3,·) ; n5*=gelu.out(n0,·,·) ; n6=prod(n0,·) ; n7=bcast(n6,·) ; n8*=slice_scatter(n7,n0,·,·,·,·)
SKIP	w0:324	client RuntimeError: Failed to load method forward, error: 0x:23 | [ETCoreMLModelCompiler.mm:55] [Core ML]  Failed to compile model, error = Error Domain=com.apple.mlassetio Code=1 "Failed to parse the model specification. Error: Unable to parse ML Program: in operation reduce_max_1: Param 'x' has incorrect type for operator 'reduce_max'. Expected {  [backend_delegate.mm:418] [Core ML] Model init failed Failed to compile model, error = Error Domain=com.apple.mlassetio Code=1 "Failed to parse the model specification. Error: Unable to parse ML Program: in operation reduce_max_1: Param 'x' has incorrect type for operator 'reduce_ [coreml_backend_delegate.mm:342] CoreMLBackend: Failed to init the model. [method.cpp:132] Init failed for backend CoreMLBackend: 0x23	n0=var.correction_out(L0,·,·,·,·) ; n1=amax.out(n0,·,·,·) ; n2*=any.dims_out(n1,·,·,·) ; n3=alias_copy(n1) ; n4=logical_not.out(n3,·) ; n5*=eq.Scalar_out(n4,·,·) ; n6=asin.out(n1,n3) ; n7*=trunc.out(n6,·)
CRASH	w0:343	executor died (native abort)	n0=div.Scalar_mode(L0,·,·) ; n1=var.correction(n0,·,·,·) ; n2=_softmax.out(n1,·,·,·) ; n3=_pdist_forward(n1,·) ; n4*=logical_xor.out(n2,L1,·) ; n5*=sqrt.out(n2,·) ; n6=logical_and.out(L2,n3,·) ; n7*=ne.Scalar_out(n6,·,·)
MISMATCH	w0:358	out[2] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	n0=acosh.out(L0,·) ; n1=to(n0,·) ; n2=slice(n1,·,·,·,·) ; n3=clampr(n2,·,·) ; n4=slice(n0,·,·,·,·) ; n5=scatter.src_out(n0,·,n3,n4,·) ; n6=div.Scalar_mode(n5,·,·) ; n7*=native_layer_norm(n4,·,·,·,·) ; n8*=var_mean.correction(n6,·,·,·) ; n9*=logical_and(n5,n0) ; n10*=round.out(n5,·) ; n11=to(n2,·) ; n12=bcast(n11,·) ; n13*=logical_or.out(n12,n4,·)
MISMATCH	w0:36	out[2] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	n0=maximum.out(L0,L1,·) ; n1=abs.out(n0,·) ; n2=pow.Tensor_Tensor_out(n0,n0,·) ; n3=ne.Tensor_out(n1,n2,·) ; n4*=bitwise_or.Scalar(n3,·) ; n5=expm1.out(n0,·) ; n6*=tanh.out(n5,·) ; n7*=alias_copy(n3)
MISMATCH	w0:362	out[1] max|delta|=1.000e+00 (rtol=0.01 atol=0.001)	n0=fmod.Scalar(L0,·) ; n1=var_mean.correction(n0,·,·,·) ; n2=acosh.out(n1,·) ; n3*=argmax.out(n1,·,·,·) ; n4=repeat(n2,·) ; n5=to(n4,·) ; n6=pad(n5,·,·) ; n7*=logical_xor.out(n6,n0,·) ; n8=logical_not.out(n4,·) ; n9*=fmod.Tensor_out(n8,n5,·)
SKIP	w0:367	client RuntimeError: method->execute() failed with error 0x32 | [tensor_impl.cpp:140] Attempted to resize a static tensor. Expected shape (0), but received (1). [coreml_backend_delegate.mm:409] CoreMLBackend: Failed to resize delegate output 4 [method.cpp:1530] CALL_DELEGATE execute failed at instruction 0: 0x32	n0=max(L0) ; n1=elu.out(n0,·,·,·,·) ; n2=t_copy(n1) ; n3=floor_divide.out(n0,n1,·) ; n4*=view_copy(n2,·) ; n5*=ne.Scalar_out(n3,·,·) ; n6*=prod.out(n2,·,·) ; n7=to(n3,·) ; n8=bcast(n7,·) ; n9*=floor_divide(n8,n1)
