status	job	reason	graph
CRASH	w0:103	fvp_runner rc=5: >> building runner (cache miss): backend=cortex-m target=cortex-m55 ops=10383d3a (shared SDK, no fetch) ... cortex-m runner build failed (see /tmp/fvp_job_5pzegg2u/build.fail.log) 	n0*=_fft_r2c(L0,·,·,·)
CRASH	w0:132	fvp_runner rc=5: >> building runner (cache miss): backend=cortex-m target=cortex-m55 ops=28dc928b (shared SDK, no fetch) ... cortex-m runner build failed (see /tmp/fvp_job_2u5ihmgt/build.fail.log) 	n0*=linear.out(L0,L1,·,·)
SKIP	w0:167	fvp_runner rc=2: 	n0*=pixel_shuffle(L0,·)
SKIP	w0:113	fvp_runner rc=2: >> building runner (cache miss): backend=cortex-m target=cortex-m55 ops=ec508c10 (shared SDK, no fetch) ... 	n0*=pixel_unshuffle(L0,·)
SKIP	w0:187	fvp_runner rc=2: 	n0*=pixel_unshuffle(L0,·)
SKIP	w0:104	fvp_runner rc=2: >> building runner (cache miss): backend=cortex-m target=cortex-m55 ops=64bbaae4 (shared SDK, no fetch) ... no out-*.bin produced (see /tmp/fvp_job_zr_6_4iw/uart.log) 	n0*=ones.out(·,·)
MISMATCH	w0:11	out[0] max|delta|=3.777e+00 (rtol=0.01 atol=0.001)	n0*=detach_copy(L0)
SKIP	w0:144	fvp_runner rc=2: >> building runner (cache miss): backend=cortex-m target=cortex-m55 ops=619ebf74 (shared SDK, no fetch) ... no out-*.bin produced (see /tmp/fvp_job_3nulkez5/uart.log) 	n0*=full.out(·,·,·)
SKIP	w0:228	fvp_runner rc=2: >> building runner (cache miss): backend=cortex-m target=cortex-m55 ops=f71b2a15 (shared SDK, no fetch) ... 	n0*=where.self(L0,L1,L2)
SKIP	w0:264	fvp_runner rc=2: >> building runner (cache miss): backend=cortex-m target=cortex-m55 ops=49180fa3 (shared SDK, no fetch) ... 	n0*=copy(L0,L1,·)
SKIP	w0:341	fvp_runner rc=2: 	n0*=pixel_unshuffle(L0,·)
SKIP	w0:265	fvp_runner rc=2: >> building runner (cache miss): backend=cortex-m target=cortex-m55 ops=e04d9675 (shared SDK, no fetch) ... no out-*.bin produced (see /tmp/fvp_job__v44shut/uart.log) 	n0*=stack(·,·)
MISMATCH	w0:355	out[0] max|delta|=1.280e+02 (rtol=0.0 atol=0.0)	n0*=bitwise_right_shift.Tensor_Scalar(L0,·)
SKIP	w0:36	fvp_runner rc=2: 	n0*=copy(L0,L1,·)
SKIP	w0:37	fvp_runner rc=2: no out-*.bin produced (see /tmp/fvp_job_53s0xdct/uart.log) 	n0*=stack(·,·)
SKIP	w0:372	fvp_runner rc=2: no out-*.bin produced (see /tmp/fvp_job_ikvm7j3h/uart.log) 	n0*=full.out(·,·,·)
SKIP	w0:388	fvp_runner rc=2: 	n0*=transpose_copy.int(L0,·,·)
SKIP	w0:395	fvp_runner rc=2: 	n0*=pixel_shuffle(L0,·)
SKIP	w0:293	fvp_runner rc=2: >> building runner (cache miss): backend=cortex-m target=cortex-m55 ops=674799f8 (shared SDK, no fetch) ... 	n0*=max.dim_max(L0,·,·,L1,L2)
CRASH	w0:331	fvp_runner rc=5: >> building runner (cache miss): backend=cortex-m target=cortex-m55 ops=10383d3a (shared SDK, no fetch) ... cortex-m runner build failed (see /tmp/fvp_job_t8mz1s4k/build.fail.log) 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w0:309	out[0] max|delta|=1.302e-01 (rtol=0.01 atol=0.001)	n0*=fmod.Tensor_out(L0,L1,·)
MISMATCH	w0:323	out[0] max|delta|=1.111e+00 (rtol=0.01 atol=0.001)	n0*=max_pool2d_with_indices_backward.grad_input(L0,L1,·,·,·,·,·,L2,L3)
SKIP	w0:47	fvp_runner rc=2: no out-*.bin produced (see /tmp/fvp_job_5mq5ysxe/uart.log) 	n0*=zeros.out(·,·)
MISMATCH	w0:478	out[0] max|delta|=2.599e-01 (rtol=0.01 atol=0.001)	n0*=index_put(L0,·,L1,·)
SKIP	w0:490	fvp_runner rc=2: 	n0*=topk.values(L0,·,·,·,·,L1,L2)
SKIP	w0:493	fvp_runner rc=2: no out-*.bin produced (see /tmp/fvp_job_o1r10umb/uart.log) 	n0*=stack(·,·)
