job_id	determinism	ok	nonok	runs	sample
w0:196	DETERMINISTIC(MISMATCH 5/5)	0	5	5	out[0] max|delta|=7.206e+16 (rtol=0.0 atol=0.0)
w0:237	DETERMINISTIC(MISMATCH 5/5)	0	5	5	out[0] max|delta|=1.342e+10 (rtol=0.0 atol=0.0)
w0:226	DETERMINISTIC(MISMATCH 5/5)	0	5	5	out[0] max|delta|=2.550e+02 (rtol=0.0 atol=0.0)
w102:69	DETERMINISTIC(MISMATCH 5/5)	0	5	5	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)
w0:321	DETERMINISTIC(MISMATCH 5/5)	0	5	5	out[0] non-finite mismatch (nan/inf positions differ)
w101:531	DETERMINISTIC(MISMATCH 5/5)	0	5	5	out[0] max|delta|=2.337e+20 (rtol=0.01 atol=0.001)
w0:117	DETERMINISTIC(MISMATCH 5/5)	0	5	5	out[0] non-finite mismatch (nan/inf positions differ)
w11:273	DETERMINISTIC(MISMATCH 5/5)	0	5	5	out[0] non-finite mismatch (nan/inf positions differ)
w10:170	DETERMINISTIC(MISMATCH 5/5)	0	5	5	out[0] non-finite mismatch (nan/inf positions differ)
w0:527	DETERMINISTIC(MISMATCH 5/5)	0	5	5	out[0] shape (0, 0, 0, 0) vs (0, 0, 0, 0, 0)
w103:757	DETERMINISTIC(MISMATCH 5/5)	0	5	5	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)
w0:115	DETERMINISTIC(MISMATCH 5/5)	0	5	5	out[0] shape (1,) vs (0, 0, 0, 0, 0)
w108:203	DETERMINISTIC(MISMATCH 5/5)	0	5	5	out[0] shape (1, 1, 1) vs (0, 0, 0, 0, 0)
w118:531	DETERMINISTIC(MISMATCH 5/5)	0	5	5	out[0] shape (1, 1, 2, 1) vs (1, 3, 2, 1)
