op	class	n_reps
_adaptive_avg_pool2d.default	GENUINE	2
_cdist_forward.default	LOWERFAIL	2
_log_softmax.out	CLEAN	2
_native_batch_norm_legit.no_stats	UNRESOLVED	2
_native_batch_norm_legit_no_training.default	LOWERFAIL	2
_pdist_forward.default	LOWERFAIL	2
_softmax.out	CLEAN	2
_upsample_bilinear2d_aa.out	GENUINE	2
abs.default	LOWERFAIL	2
abs.out	CLEAN	2
acos.out	UNRESOLVED	2
acosh.out	CLEAN	2
add.Scalar	LOWERFAIL	2
addmm.out	NONFINITE	2
alias_copy.default	GENUINE	2
amax.out	LOWERFAIL	2
amin.out	CLEAN	2
any.all_out	LOWERFAIL	2
any.dims_out	GENUINE	2
argmax.out	CLEAN	2
argmin.out	LOWERFAIL	2
asin.out	LOWERFAIL	2
asinh.out	CLEAN	2
atan.out	CLEAN	2
atan2.out	CLEAN	2
atanh.out	CLEAN	2
bitwise_and.Scalar	CLEAN	2
bitwise_and.Scalar_out	UNRESOLVED	2
bitwise_and.Tensor_out	CLEAN	2
bitwise_left_shift.Tensor_Scalar	CLEAN	2
bitwise_left_shift.Tensor_Scalar_out	CLEAN	2
bitwise_left_shift.Tensor_out	GENUINE	2
bitwise_not.out	LOWERFAIL	2
bitwise_or.Scalar	CLEAN	2
bitwise_or.Scalar_out	CLEAN	2
bitwise_or.Tensor_out	UNRESOLVED	2
bitwise_right_shift.Tensor_Scalar	GENUINE	2
bitwise_right_shift.Tensor_Scalar_out	GENUINE	2
bitwise_right_shift.Tensor_out	GENUINE	2
bitwise_xor.Scalar	CLEAN	2
bitwise_xor.Scalar_out	CLEAN	2
bitwise_xor.Tensor_out	CLEAN	2
bmm.out	CLEAN	1
ceil.out	CLEAN	2
clamp.Tensor_out	GENUINE	2
clamp.out	CLEAN	2
clone.default	CLEAN	2
constant_pad_nd.default	CLEAN	2
convolution.default	CLEAN	1
copy.default	CLEAN	2
cos.out	CLEAN	2
cosh.out	CLEAN	2
cumsum.out	LOWERFAIL	2
detach_copy.default	CLEAN	2
diagonal_copy.default	CLEAN	2
div.Scalar	GENUINE	2
div.out	CLEAN	2
div.out_mode	CLEAN	2
elu.out	GENUINE	2
eq.Scalar_out	CLEAN	1
eq.Tensor_out	GENUINE	2
erf.out	CLEAN	2
exp.out	CLEAN	2
expand_copy.default	CLEAN	2
expm1.out	CLEAN	2
fill.Scalar	GENUINE	2
flip.default	LOWERFAIL	2
floor.out	CLEAN	2
floor_divide.default	GENUINE	2
floor_divide.out	NONFINITE	2
fmod.Scalar	CLEAN	2
