op	verdict	job	out	detail	eager	device	in_dtypes
_adaptive_avg_pool2d	CLEAN	w73:9	0	op reproduces eager alone	""	""	""
_cdist_forward	CLEAN	w34:455	0	op reproduces eager alone	""	""	""
_log_softmax.out	GENUINE	w109:68	2	out[0] shape (1,) vs ()	[0.0]	[10.86719]	["torch.float16"]
_native_batch_norm_legit.no_stats	GENUINE	w119:221	1	out[0] max|delta|=4.886e+04 (rtol=0.01 atol=0.001)	[0.89967, 0.49512, -1.39479]	[21536.00195, 9120.00098, -48864.00391]	["torch.float32"]
_native_batch_norm_legit_no_training	CLEAN	w75:512	0	op reproduces eager alone	""	""	""
_pdist_forward	LOWERFAIL	w109:114	0	build=SKIP	""	""	""
_softmax.out	GENUINE	w38:319	2	out[0] dtype torch.float16 vs torch.float32	[1.0, 0.0]	[5.0, 4.0]	["torch.float16"]
_upsample_bilinear2d_aa.out	GENUINE	w14:86	2	out[0] dtype torch.uint8 vs torch.float32	[4.0, 4.0, 4.0, 3.0, 4.0]	[-1.187, -0.5935, 0.0, 0.70282, 0.35141]	["torch.uint8"]
abs	CLEAN	w102:93	2	op reproduces eager alone	""	""	""
abs.out	CLEAN	w0:728	1	op reproduces eager alone	""	""	""
acos.out	CLEAN	w18:310	1	op reproduces eager alone	""	""	""
acosh.out	CLEAN	w56:771	0	op reproduces eager alone	""	""	""
add.Scalar	CLEAN	w102:410	1	op reproduces eager alone	""	""	""
addmm.out	GENUINE	w104:367	0	out[0] dtype torch.uint8 vs torch.float16	[95.0, 80.0]	[0.99854, 0.0]	["torch.uint8", "torch.uint8", "torch.uint8"]
alias_copy	GENUINE	w100:546	2	out[0] shape (3, 2, 2, 4, 4) vs (2, 1, 3)	[4.7897, -0.16985, -7.53095, -5.86872, -1.94111]	[-1.0, 3.0, 4.0, 6.0, 5.0]	["torch.float32"]
amax.out	GENUINE	w110:718	0	out[0] dtype torch.bool vs torch.float16	[1.0]	[255.0]	["torch.bool"]
amin.out	GENUINE	w0:334	3	out[0] dtype torch.float32 vs torch.int64	[3.0]	[0.0]	["torch.float32"]
any.all_out	GENUINE	w106:237	0	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	[0.0]	[1.0]	["torch.float32"]
any.dims_out	GENUINE	w104:11	3	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	[0.0]	[1.0]	["torch.float16"]
argmax.out	CLEAN	w11:41	0	op reproduces eager alone	""	""	""
argmin.out	CLEAN	w103:590	3	op reproduces eager alone	""	""	""
asin.out	GENUINE	w36:690	0	out[0] shape (2,) vs (3, 1, 1, 1)	[0.0, 0.95215]	[-0.44873, 0.83789]	["torch.float32"]
asinh.out	CLEAN	w102:576	1	op reproduces eager alone	""	""	""
atan.out	CLEAN	w100:493	0	op reproduces eager alone	""	""	""
atan2.out	CLEAN	w0:70	0	op reproduces eager alone	""	""	""
atanh.out	CLEAN	w100:20	2	op reproduces eager alone	""	""	""
avg_pool2d.out	CLEAN	w41:295	0	op reproduces eager alone	""	""	""
bitwise_and.Scalar	CLEAN	w103:491	0	op reproduces eager alone	""	""	""
bitwise_and.Scalar_out	GENUINE	w10:501	1	out[0] max|delta|=3.000e+00 (rtol=0.01 atol=0.001)	[4.0]	[1.0]	["torch.uint8"]
bitwise_and.Tensor_out	CLEAN	w100:421	1	op reproduces eager alone	""	""	""
bitwise_left_shift.Tensor_Scalar	GENUINE	w0:480	0	out[0] max|delta|=1.441e+17 (rtol=0.0 atol=0.0)	[0.0, 0.0]	[1.4411518807585587e+17, 1.4411518807585587e+17]	["torch.bool"]
bitwise_left_shift.Tensor_Scalar_out	GENUINE	w0:709	2	out[0] max|delta|=1.153e+18 (rtol=0.01 atol=0.001)	[0.0, 0.0, 0.0, 0.0, 0.0]	[1.152921504606847e+18, 1.152921504606847e+18, 1.152921504606847e+18, 1.152921504606847e+18, 1.152921504606847e+18]	["torch.bool"]
bitwise_left_shift.Tensor_out	GENUINE	w0:732	0	out[0] max|delta|=9.223e+18 (rtol=0.0 atol=0.0)	[0.0, 0.0]	[-9.223372036854776e+18, -3.458764513820541e+18]	["torch.int64", "torch.int64"]
bitwise_not.out	CLEAN	w110:313	2	op reproduces eager alone	""	""	""
bitwise_or.Scalar	CLEAN	w112:46	1	op reproduces eager alone	""	""	""
bitwise_or.Scalar_out	GENUINE	w100:364	3	out[0] max|delta|=2.540e+02 (rtol=0.01 atol=0.001)	[255.0, 255.0]	[1.0, 1.0]	["torch.uint8"]
bitwise_or.Tensor_out	CLEAN	w107:500	0	op reproduces eager alone	""	""	""
bitwise_right_shift.Tensor_Scalar	CLEAN	w113:369	0	op reproduces eager alone	""	""	""
