status	job	reason	graph
SKIP	w0:1025	qnn_runner rc=2: 	n0*=pixel_unshuffle(L0,·)
MISMATCH	w0:1026	out[0] max|delta|=2.764e-03 (rtol=0.01 atol=0.001)	n0*=rsqrt.out(L0,·)
SKIP	w0:103	qnn_runner rc=2: 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w0:1032	out[0] non-finite mismatch (nan/inf positions differ)	n0*=ceil.out(L0,·)
MISMATCH	w0:1058	out[0] non-finite mismatch (nan/inf positions differ)	n0*=_log_softmax.out(L0,·,·,·)
MISMATCH	w0:1059	out[0] non-finite mismatch (nan/inf positions differ)	n0*=elu.out(L0,·,·,·,·)
MISMATCH	w0:1060	out[0] non-finite mismatch (nan/inf positions differ)	n0*=neg.out(L0,·)
MISMATCH	w0:1069	out[0] non-finite mismatch (nan/inf positions differ)	n0*=sub.out(L0,L1,·,·)
SKIP	w0:1075	qnn_runner rc=2: 	n0*=max.unary_out(L0,·)
MISMATCH	w0:1078	out[0] max|delta|=1.342e+08 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
SKIP	w0:1013	qnn_runner rc=2: 	n0*=any.dims_out(L0,·,·,·)
SKIP	w0:1083	qnn_runner rc=2: 	n0*=narrow_copy(L0,·,·,·)
MISMATCH	w0:1074	out[0] non-finite mismatch (nan/inf positions differ)	n0*=pow.Tensor_Tensor_out(L0,L1,·)
SKIP	w0:1015	qnn_runner rc=2: 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w0:1000	out[0] non-finite mismatch (nan/inf positions differ)	n0*=log.out(L0,·)
SKIP	w0:1099	qnn_runner rc=2: 	n0*=pixel_unshuffle(L0,·)
SKIP	w0:101	qnn_runner rc=2: 	n0*=any.dims_out(L0,·,·,·)
MISMATCH	w0:1090	out[0] non-finite mismatch (nan/inf positions differ)	n0*=exp.out(L0,·)
SKIP	w0:113	qnn_runner rc=2: 	n0*=pixel_unshuffle(L0,·)
MISMATCH	w0:1002	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	n0*=isnan(L0)
SKIP	w0:1130	qnn_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w0:1154	out[0] max|delta|=5.033e+07 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar_out(L0,·,·)
MISMATCH	w0:1127	out[0] non-finite mismatch (nan/inf positions differ)	n0*=glu.out(L0,·,·)
SKIP	w0:1174	qnn_runner rc=2: 	n0*=topk.values(L0,·,·,·,·,L1,L2)
MISMATCH	w0:1145	out[0] non-finite mismatch (nan/inf positions differ)	n0*=mul.out(L0,L1,·)
MISMATCH	w0:1149	out[0] max|delta|=2.527e+00 (rtol=0.01 atol=0.001)	n0*=replication_pad2d.out(L0,·,·)
MISMATCH	w0:1157	out[0] max|delta|=6.918e+18 (rtol=0.01 atol=0.001)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
SKIP	w0:1159	qnn_runner rc=2: 	n0*=var.correction_out(L0,·,·,·,·)
MISMATCH	w0:1162	out[0] non-finite mismatch (nan/inf positions differ)	n0*=index_put(L0,·,L1,·)
MISMATCH	w0:1164	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit.out(L0,·,·)
SKIP	w0:1176	qnn_runner rc=2: 	n0*=copy(L0,L1,·)
CRASH	w0:1177	qnn_runner rc=134: /data/jwen929/mobile/qnn_client/qnn_runner.sh: line 109: 2563588 Aborted                 (core dumped) "$RUNNER" --model_path model.pte --input_list_path input_list.txt --output_folder_path . > "$RUN_LOG" 2>&1 	n0*=stack(·,·)
MISMATCH	w0:1168	out[0] non-finite mismatch (nan/inf positions differ)	n0*=index.Tensor_out(L0,·,·)
MISMATCH	w0:1185	out[0] non-finite mismatch (nan/inf positions differ)	n0*=linear(L0,L1,·)
SKIP	w0:1212	qnn_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w0:1189	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit(L0,·)
SKIP	w0:1215	qnn_runner rc=2: 	n0*=_pdist_forward(L0,·)
CRASH	w0:1009	qnn_runner rc=134: /data/jwen929/mobile/qnn_client/qnn_runner.sh: line 109: 2561068 Aborted                 (core dumped) "$RUNNER" --model_path model.pte --input_list_path input_list.txt --output_folder_path . > "$RUN_LOG" 2>&1 	n0*=reflection_pad2d.out(L0,·,·)
MISMATCH	w0:1191	out[0] max|delta|=9.000e+00 (rtol=0.0 atol=0.0)	n0*=rsub.Scalar(L0,·,·)
SKIP	w0:1236	qnn_runner rc=2: 	n0*=cumsum.out(L0,·,·,·)
SKIP	w0:1243	qnn_runner rc=2: 	n0*=_fft_r2c(L0,·,·,·)
SKIP	w0:1255	qnn_runner rc=2: 	n0*=repeat(L0,·)
MISMATCH	w0:1207	out[0] non-finite mismatch (nan/inf positions differ)	n0*=atan.out(L0,·)
MISMATCH	w0:1208	out[0] non-finite mismatch (nan/inf positions differ)	n0*=unsqueeze_copy(L0,·)
MISMATCH	w0:1214	out[0] non-finite mismatch (nan/inf positions differ)	n0*=div.out(L0,L1,·)
MISMATCH	w0:1230	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	n0*=isnan(L0)
CRASH	w0:1235	qnn_runner rc=139: /data/jwen929/mobile/qnn_client/qnn_runner.sh: line 109: 2565271 Segmentation fault      (core dumped) "$RUNNER" --model_path model.pte --input_list_path input_list.txt --output_folder_path . > "$RUN_LOG" 2>&1 	n0*=max_pool2d_with_indices_backward.grad_input(L0,L1,·,·,·,·,·,L2,L3)
MISMATCH	w0:1250	out[0] non-finite mismatch (nan/inf positions differ)	n0*=mean.out(L0,·,·,·,·)
MISMATCH	w0:1254	out[0] max|delta|=3.906e-03 (rtol=0.01 atol=0.001)	n0*=rsqrt.out(L0,·)
SKIP	w0:1293	qnn_runner rc=2: 	n0*=narrow_copy.out(L0,·,·,·,·)
MISMATCH	w0:1260	out[0] non-finite mismatch (nan/inf positions differ)	n0*=ceil.out(L0,·)
SKIP	w0:1303	qnn_runner rc=2: 	n0*=max.unary_out(L0,·)
