status	job	reason	graph
MISMATCH	w0:1000	out[0] non-finite mismatch (nan/inf positions differ)	n0*=log.out(L0,·)
SKIP	w0:1009	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=reflection_pad2d.out(L0,·,·)
SKIP	w0:1015	executor ExecutorchRuntimeException: [ExecuTorch Error 0x14] Operator missing: Execution failed for method: forward	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w0:1026	out[0] non-finite mismatch (nan/inf positions differ)	n0*=rsqrt.out(L0,·)
SKIP	w0:103	executor ExecutorchRuntimeException: [ExecuTorch Error 0x14] Operator missing: Execution failed for method: forward	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w0:1054	out[0] non-finite mismatch (nan/inf positions differ)	n0*=mm.out(L0,L1,·)
MISMATCH	w0:1058	out[0] non-finite mismatch (nan/inf positions differ)	n0*=_log_softmax.out(L0,·,·,·)
MISMATCH	w0:1074	out[0] non-finite mismatch (nan/inf positions differ)	n0*=pow.Tensor_Tensor_out(L0,L1,·)
MISMATCH	w0:1078	out[0] max|delta|=1.342e+08 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
MISMATCH	w0:1090	out[0] non-finite mismatch (nan/inf positions differ)	n0*=exp.out(L0,·)
SKIP	w0:1130	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w0:1149	out[0] max|delta|=2.527e+00 (rtol=0.01 atol=0.001)	n0*=replication_pad2d.out(L0,·,·)
MISMATCH	w0:1154	out[0] max|delta|=5.033e+07 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar_out(L0,·,·)
MISMATCH	w0:1157	out[0] max|delta|=6.918e+18 (rtol=0.01 atol=0.001)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
MISMATCH	w0:1164	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit.out(L0,·,·)
SKIP	w0:1176	executor ExecutorchRuntimeException: [ExecuTorch Error 0x1] Internal error: Execution failed for method: forward	n0*=copy(L0,L1,·)
MISMATCH	w0:1189	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit(L0,·)
MISMATCH	w0:1190	out[0] non-finite mismatch (nan/inf positions differ)	n0*=gelu.out(L0,·,·)
MISMATCH	w0:1191	out[0] max|delta|=9.000e+00 (rtol=0.0 atol=0.0)	n0*=rsub.Scalar(L0,·,·)
MISMATCH	w0:1192	out[0] max|delta|=3.189e+00 (rtol=0.01 atol=0.001)	n0*=bmm.out(L0,L1,·)
SKIP	w0:1194	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=reflection_pad2d(L0,·)
MISMATCH	w0:1207	out[0] max|delta|=7.837e-01 (rtol=0.01 atol=0.001)	n0*=atan.out(L0,·)
SKIP	w0:1212	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w0:1215	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=_pdist_forward(L0,·)
CRASH	w0:1235	executor process died (native abort)	n0*=max_pool2d_with_indices_backward.grad_input(L0,L1,·,·,·,·,·,L2,L3)
SKIP	w0:1243	executor ExecutorchRuntimeException: [ExecuTorch Error 0x14] Operator missing: Execution failed for method: forward	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w0:1254	out[0] non-finite mismatch (nan/inf positions differ)	n0*=rsqrt.out(L0,·)
MISMATCH	w0:1272	out[0] non-finite mismatch (nan/inf positions differ)	n0*=linear.out(L0,L1,·,·)
MISMATCH	w0:1282	out[0] non-finite mismatch (nan/inf positions differ)	n0*=mm.out(L0,L1,·)
MISMATCH	w0:1287	out[0] non-finite mismatch (nan/inf positions differ)	n0*=elu.out(L0,·,·,·,·)
MISMATCH	w0:1297	out[0] max|delta|=1.342e+01 (rtol=0.01 atol=0.001)	n0*=sub.out(L0,L1,·,·)
MISMATCH	w0:1302	out[0] non-finite mismatch (nan/inf positions differ)	n0*=pow.Tensor_Tensor_out(L0,L1,·)
SKIP	w0:1314	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=expand_copy(L0,·,·)
MISMATCH	w0:1320	out[0] max|delta|=2.550e+02 (rtol=0.0 atol=0.0)	n0*=prod(L0,·)
SKIP	w0:1339	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=scatter.value_out(L0,·,L1,·,·)
SKIP	w0:1358	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w0:1367	out[0] non-finite mismatch (nan/inf positions differ)	n0*=cos.out(L0,·)
MISMATCH	w0:1385	out[0] non-finite mismatch (nan/inf positions differ)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
MISMATCH	w0:1392	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit.out(L0,·,·)
MISMATCH	w0:14	out[0] max|delta|=2.147e+09 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar_out(L0,·,·)
MISMATCH	w0:1404	out[0] max|delta|=1.245e+00 (rtol=0.01 atol=0.001)	n0*=copy(L0,L1,·)
MISMATCH	w0:1417	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit(L0,·)
MISMATCH	w0:1418	out[0] non-finite mismatch (nan/inf positions differ)	n0*=gelu.out(L0,·,·)
MISMATCH	w0:1419	out[0] max|delta|=1.011e+01 (rtol=0.01 atol=0.001)	n0*=rsub.Scalar(L0,·,·)
MISMATCH	w0:142	out[0] non-finite mismatch (nan/inf positions differ)	n0*=mm.out(L0,L1,·)
MISMATCH	w0:1420	out[0] max|delta|=2.003e+00 (rtol=0.01 atol=0.001)	n0*=bmm.out(L0,L1,·)
MISMATCH	w0:1431	out[0] max|delta|=4.000e+00 (rtol=0.0 atol=0.0)	n0*=remainder.Tensor_out(L0,L1,·)
MISMATCH	w0:1435	out[0] max|delta|=7.842e-01 (rtol=0.01 atol=0.001)	n0*=atan.out(L0,·)
MISMATCH	w0:1438	out[0] max|delta|=3.680e+04 (rtol=0.01 atol=0.001)	n0*=_native_batch_norm_legit.no_stats(L0,·,·,·,·,·)
SKIP	w0:1440	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w0:1443	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=_pdist_forward(L0,·)
MISMATCH	w0:145	out[0] max|delta|=2.530e+02 (rtol=0.0 atol=0.0)	n0*=bitwise_and.Scalar_out(L0,·,·)
MISMATCH	w0:1450	out[0] non-finite mismatch (nan/inf positions differ)	n0*=sin.out(L0,·)
MISMATCH	w0:1456	out[0] non-finite mismatch (nan/inf positions differ)	n0*=log.out(L0,·)
MISMATCH	w0:146	out[0] non-finite mismatch (nan/inf positions differ)	n0*=_log_softmax.out(L0,·,·,·)
SKIP	w0:1471	executor ExecutorchRuntimeException: [ExecuTorch Error 0x14] Operator missing: Execution failed for method: forward	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w0:1482	out[0] non-finite mismatch (nan/inf positions differ)	n0*=rsqrt.out(L0,·)
MISMATCH	w0:1498	out[0] non-finite mismatch (nan/inf positions differ)	n0*=_softmax.out(L0,·,·,·)
MISMATCH	w0:1510	out[0] non-finite mismatch (nan/inf positions differ)	n0*=mm.out(L0,L1,·)
MISMATCH	w0:1514	out[0] non-finite mismatch (nan/inf positions differ)	n0*=_log_softmax.out(L0,·,·,·)
MISMATCH	w0:1530	out[0] non-finite mismatch (nan/inf positions differ)	n0*=pow.Tensor_Tensor_out(L0,L1,·)
MISMATCH	w0:1546	out[0] non-finite mismatch (nan/inf positions differ)	n0*=exp.out(L0,·)
SKIP	w0:1586	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w0:1595	out[0] non-finite mismatch (nan/inf positions differ)	n0*=cos.out(L0,·)
MISMATCH	w0:1610	out[0] max|delta|=4.612e+18 (rtol=0.01 atol=0.001)	n0*=bitwise_left_shift.Tensor_Scalar_out(L0,·,·)
MISMATCH	w0:1613	out[0] non-finite mismatch (nan/inf positions differ)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
MISMATCH	w0:1620	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit.out(L0,·,·)
MISMATCH	w0:1632	out[0] max|delta|=8.062e-01 (rtol=0.01 atol=0.001)	n0*=copy(L0,L1,·)
MISMATCH	w0:1645	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit(L0,·)
