op	n	f_OK	f_MISMATCH	f_SKIP	f_CRASH	q_OK	q_MISMATCH	q_SKIP	q_CRASH	changed
_adaptive_avg_pool2d	20	20	0	0	0	20	0	0	0	0
_cdist_forward	23	23	0	0	0	23	0	0	0	0
_fft_r2c	18	1	0	17	0	1	0	17	0	0
_log_softmax.out	17	16	0	1	0	17	0	0	0	1
_native_batch_norm_legit_no_training	18	18	0	0	0	14	0	4	0	4
_pdist_forward	23	2	0	21	0	2	0	21	0	0
_softmax.out	15	15	0	0	0	15	0	0	0	0
_upsample_bilinear2d_aa.out	18	18	0	0	0	18	0	0	0	0
abs	15	15	0	0	0	15	0	0	0	0
abs.out	18	18	0	0	0	18	0	0	0	0
acos.out	20	20	0	0	0	20	0	0	0	0
acosh.out	20	20	0	0	0	20	0	0	0	0
add.Scalar	18	18	0	0	0	18	0	0	0	0
addmm.out	9	7	2	0	0	7	2	0	0	0
alias_copy	22	0	22	0	0	0	22	0	0	0
amax.out	13	10	0	3	0	12	0	1	0	2
amin.out	13	8	0	5	0	8	0	5	0	4
any.all_out	18	0	0	18	0	0	0	18	0	0
any.dims_out	35	35	0	0	0	35	0	0	0	0
arange.out	23	19	0	4	0	19	0	4	0	0
arange.start_out	1	1	0	0	0	1	0	0	0	0
argmax.out	18	1	0	17	0	3	0	15	0	2
argmin.out	18	3	0	14	0	5	0	13	0	3
asin.out	19	19	0	0	0	19	0	0	0	0
asinh.out	17	17	0	0	0	17	0	0	0	0
atan.out	23	23	0	0	0	23	0	0	0	0
atan2.out	23	23	0	0	0	23	0	0	0	0
atanh.out	22	22	0	0	0	22	0	0	0	0
avg_pool2d.out	6	4	2	0	0	2	1	3	0	4
bitwise_and.Scalar	20	20	0	0	0	20	0	0	0	0
bitwise_and.Scalar_out	13	13	0	0	0	13	0	0	0	0
bitwise_and.Tensor_out	11	11	0	0	0	11	0	0	0	0
bitwise_left_shift.Tensor_Scalar	22	10	12	0	0	10	12	0	0	0
bitwise_left_shift.Tensor_Scalar_out	20	14	6	0	0	14	6	0	0	0
bitwise_left_shift.Tensor_out	20	1	19	0	0	3	17	0	0	2
bitwise_not.out	18	18	0	0	0	18	0	0	0	0
bitwise_or.Scalar	19	19	0	0	0	19	0	0	0	0
bitwise_or.Scalar_out	16	15	0	0	0	16	0	0	0	1
bitwise_or.Tensor_out	15	15	0	0	0	15	0	0	0	0
bitwise_right_shift.Tensor_Scalar	18	18	0	0	0	18	0	0	0	0
