status	job	reason	graph
SKIP	w0:105	qnn_runner rc=2: 	n0*=narrow_copy.out(L0,·,·,·,·)
MISMATCH	w0:111	out[0] max|delta|=2.530e+02 (rtol=0.0 atol=0.0)	n0*=bitwise_or.Scalar_out(L0,·,·)
SKIP	w0:139	qnn_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w0:142	qnn_runner rc=2: 	n0*=_pdist_forward(L0,·)
SKIP	w0:15	qnn_runner rc=2: 	n0*=isnan(L0)
SKIP	w0:166	qnn_runner rc=2: 	n0*=any.dims_out(L0,·,·,·)
SKIP	w0:171	qnn_runner rc=2: 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w0:14	out[0] max|delta|=1.200e+01 (rtol=0.0 atol=0.0)	n0*=sub.out(L0,L1,·,·)
CRASH	w0:156	qnn_runner rc=134: /data/jwen929/mobile/qnn_client/qnn_runner.sh: line 109: 3657245 Aborted                 (core dumped) "$RUNNER" --model_path model.pte --input_list_path input_list.txt --output_folder_path . > "$RUN_LOG" 2>&1 	n0*=cat.out(·,·,·)
MISMATCH	w0:155	out[0] non-finite mismatch (nan/inf positions differ)	n0*=log.out(L0,·)
SKIP	w0:177	qnn_runner rc=2: 	n0*=copy(L0,L1,·)
SKIP	w0:207	qnn_runner rc=2: 	n0*=any.all_out(L0,·)
MISMATCH	w0:187	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit(L0,·)
SKIP	w0:213	qnn_runner rc=2: 	n0*=fill.Tensor(L0,L1)
SKIP	w0:214	qnn_runner rc=2: 	n0*=scatter_add.out(L0,·,·,L1,·)
SKIP	w0:215	qnn_runner rc=2: 	n0*=max.unary_out(L0,·)
MISMATCH	w0:222	out[0] max|delta|=6.918e+18 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
MISMATCH	w0:20	out[0] max|delta|=3.680e+04 (rtol=0.01 atol=0.001)	n0*=_native_batch_norm_legit.no_stats(L0,·,·,·,·,·)
MISMATCH	w0:21	out[0] non-finite mismatch (nan/inf positions differ)	n0*=pow.Tensor_Tensor_out(L0,L1,·)
MISMATCH	w0:237	out[0] max|delta|=1.153e+18 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
SKIP	w0:244	qnn_runner rc=2: 	n0*=mean.dtype_out(L0,·,·)
MISMATCH	w0:225	out[0] max|delta|=4.593e+00 (rtol=0.01 atol=0.001)	n0*=elu.out(L0,·,·,·,·)
MISMATCH	w0:252	out[0] max|delta|=2.147e+09 (rtol=0.0 atol=0.0)	n0*=pow.Tensor_Tensor_out(L0,L1,·)
MISMATCH	w0:226	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	n0*=prod.int_out(L0,·,·,·,·)
CRASH	w0:121	qnn_runner rc=134: /data/jwen929/mobile/qnn_client/qnn_runner.sh: line 109: 3656572 Aborted                 (core dumped) "$RUNNER" --model_path model.pte --input_list_path input_list.txt --output_folder_path . > "$RUN_LOG" 2>&1 	n0*=reflection_pad2d(L0,·)
SKIP	w0:26	qnn_runner rc=2: 	n0*=scatter.value_out(L0,·,·,·,·)
MISMATCH	w0:245	out[0] max|delta|=1.200e+01 (rtol=0.0 atol=0.0)	n0*=sub.out(L0,L1,·,·)
MISMATCH	w0:251	out[0] max|delta|=3.680e+04 (rtol=0.01 atol=0.001)	n0*=_native_batch_norm_legit.no_stats(L0,·,·,·,·,·)
MISMATCH	w0:278	out[0] non-finite mismatch (nan/inf positions differ)	n0*=sqrt.out(L0,·)
CRASH	w0:165	qnn_runner rc=134: /data/jwen929/mobile/qnn_client/qnn_runner.sh: line 109: 3657800 Aborted                 (core dumped) "$RUNNER" --model_path model.pte --input_list_path input_list.txt --output_folder_path . > "$RUN_LOG" 2>&1 	n0*=reflection_pad2d.out(L0,·,·)
MISMATCH	w0:327	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit.out(L0,·,·)
MISMATCH	w0:341	out[0] max|delta|=9.962e-01 (rtol=0.01 atol=0.001)	n0*=split_with_sizes_copy(L0,·,·)
SKIP	w0:352	qnn_runner rc=2: 	n0*=reflection_pad2d(L0,·)
SKIP	w0:373	qnn_runner rc=2: 	n0*=_pdist_forward(L0,·)
SKIP	w0:397	qnn_runner rc=2: 	n0*=any.dims_out(L0,·,·,·)
SKIP	w0:402	qnn_runner rc=2: 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w0:386	out[0] non-finite mismatch (nan/inf positions differ)	n0*=log.out(L0,·)
SKIP	w0:396	qnn_runner rc=2: 	n0*=reflection_pad2d.out(L0,·,·)
SKIP	w0:444	qnn_runner rc=2: 	n0*=fill.Tensor(L0,L1)
MISMATCH	w0:418	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit(L0,·)
MISMATCH	w0:453	out[0] max|delta|=9.223e+18 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
SKIP	w0:463	qnn_runner rc=2: 	n0*=narrow_copy(L0,·,·,·)
MISMATCH	w0:456	out[0] max|delta|=8.030e+00 (rtol=0.01 atol=0.001)	n0*=elu.out(L0,·,·,·,·)
SKIP	w0:458	qnn_runner rc=2: 	n0*=min.unary_out(L0,·)
MISMATCH	w0:460	out[0] max|delta|=2.480e+02 (rtol=0.0 atol=0.0)	n0*=bitwise_and.Scalar_out(L0,·,·)
MISMATCH	w0:476	out[0] max|delta|=7.911e+00 (rtol=0.01 atol=0.001)	n0*=sub.out(L0,L1,·,·)
MISMATCH	w0:482	out[0] max|delta|=3.680e+04 (rtol=0.01 atol=0.001)	n0*=_native_batch_norm_legit.no_stats(L0,·,·,·,·,·)
MISMATCH	w0:483	out[0] non-finite mismatch (nan/inf positions differ)	n0*=pow.Tensor_Tensor_out(L0,L1,·)
SKIP	w0:514	qnn_runner rc=2: 	n0*=narrow_copy(L0,·,·,·)
MISMATCH	w0:6	out[0] max|delta|=1.441e+17 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
SKIP	w0:60	qnn_runner rc=2: 	n0*=remainder.Tensor_out(L0,L1,·)
SKIP	w1:0	qnn_runner rc=2: 	n0*=max.dim_max(L0,·,·,L1,L2)
SKIP	w1:10	qnn_runner rc=2: 	n0*=_pdist_forward(L0,·)
SKIP	w0:93	qnn_runner rc=2: 	n0*=var.correction_out(L0,·,·,·,·)
MISMATCH	w0:96	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit.out(L0,·,·)
SKIP	w1:125	qnn_runner rc=2: 	n0*=scatter.value_out(L0,·,·,·,·)
MISMATCH	w1:113	out[0] max|delta|=1.716e+01 (rtol=0.01 atol=0.001)	n0*=sub.out(L0,L1,·,·)
MISMATCH	w1:119	out[0] max|delta|=3.680e+04 (rtol=0.01 atol=0.001)	n0*=_native_batch_norm_legit.no_stats(L0,·,·,·,·,·)
MISMATCH	w1:120	out[0] non-finite mismatch (nan/inf positions differ)	n0*=pow.Tensor_Tensor_out(L0,L1,·)
MISMATCH	w1:124	out[0] max|delta|=2.782e+00 (rtol=0.01 atol=0.001)	n0*=scatter.src_out(L0,·,·,L1,·)
SKIP	w1:151	qnn_runner rc=2: 	n0*=narrow_copy(L0,·,·,·)
SKIP	w1:160	qnn_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w1:164	qnn_runner rc=2: 	n0*=topk.values(L0,·,·,·,·,L1,L2)
MISMATCH	w1:146	out[0] non-finite mismatch (nan/inf positions differ)	n0*=sqrt.out(L0,·)
MISMATCH	w1:163	out[0] max|delta|=3.090e+00 (rtol=0.01 atol=0.001)	n0*=gather.out(L0,·,·,·,·)
SKIP	w1:204	qnn_runner rc=2: 	n0*=narrow_copy.out(L0,·,·,·,·)
SKIP	w1:209	qnn_runner rc=2: 	n0*=split_with_sizes_copy(L0,·,·)
MISMATCH	w1:195	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit.out(L0,·,·)
MISMATCH	w1:210	out[0] max|delta|=2.550e+02 (rtol=0.0 atol=0.0)	n0*=bitwise_or.Scalar_out(L0,·,·)
SKIP	w1:220	qnn_runner rc=2: 	n0*=reflection_pad2d(L0,·)
SKIP	w1:238	qnn_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w1:241	qnn_runner rc=2: 	n0*=_pdist_forward(L0,·)
CRASH	w1:229	qnn_runner rc=134: /data/jwen929/mobile/qnn_client/qnn_runner.sh: line 109: 3670144 Aborted                 (core dumped) "$RUNNER" --model_path model.pte --input_list_path input_list.txt --output_folder_path . > "$RUN_LOG" 2>&1 	n0*=stack.out(·,·,·)
MISMATCH	w1:23	out[0] non-finite mismatch (nan/inf positions differ)	n0*=log.out(L0,·)
SKIP	w1:268	qnn_runner rc=2: 	n0*=any.dims_out(L0,·,·,·)
CRASH	w1:24	qnn_runner rc=134: /data/jwen929/mobile/qnn_client/qnn_runner.sh: line 109: 3670365 Aborted                 (core dumped) "$RUNNER" --model_path model.pte --input_list_path input_list.txt --output_folder_path . > "$RUN_LOG" 2>&1 	n0*=cat.out(·,·,·)
SKIP	w1:270	qnn_runner rc=2: 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w1:254	out[0] non-finite mismatch (nan/inf positions differ)	n0*=log.out(L0,·)
MISMATCH	w1:259	out[0] max|delta|=9.341e-01 (rtol=0.01 atol=0.001)	n0*=replication_pad2d.out(L0,·,·)
MISMATCH	w1:309	out[0] max|delta|=3.459e+18 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar_out(L0,·,·)
SKIP	w1:312	qnn_runner rc=2: 	n0*=fill.Tensor(L0,L1)
SKIP	w1:313	qnn_runner rc=2: 	n0*=scatter_add.out(L0,·,·,L1,·)
SKIP	w1:314	qnn_runner rc=2: 	n0*=max.unary_out(L0,·)
MISMATCH	w1:281	out[0] non-finite mismatch (nan/inf positions differ)	n0*=rsqrt.out(L0,·)
MISMATCH	w1:286	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit(L0,·)
SKIP	w1:34	qnn_runner rc=2: 	n0*=any.dims_out(L0,·,·,·)
MISMATCH	w1:321	out[0] max|delta|=2.147e+09 (rtol=0.01 atol=0.001)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
MISMATCH	w1:326	out[0] max|delta|=2.000e+00 (rtol=0.01 atol=0.001)	n0*=min.unary_out(L0,·)
MISMATCH	w1:324	out[0] max|delta|=1.193e+00 (rtol=0.01 atol=0.001)	n0*=elu.out(L0,·,·,·,·)
SKIP	w1:33	qnn_runner rc=2: 	n0*=reflection_pad2d.out(L0,·,·)
MISMATCH	w1:361	out[0] max|delta|=6.000e+00 (rtol=0.0 atol=0.0)	n0*=remainder.Scalar_out(L0,·,·)
CRASH	w0:7	qnn_runner rc=139: /data/jwen929/mobile/qnn_client/qnn_runner.sh: line 109: 3666516 Segmentation fault      (core dumped) "$RUNNER" --model_path model.pte --input_list_path input_list.txt --output_folder_path . > "$RUN_LOG" 2>&1 	n0*=replication_pad3d.out(L0,·,·)
MISMATCH	w1:344	out[0] max|delta|=2.100e+01 (rtol=0.0 atol=0.0)	n0*=sub.out(L0,L1,·,·)
SKIP	w1:39	qnn_runner rc=2: 	n0*=_fft_r2c(L0,·,·,·)
SKIP	w1:391	qnn_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w1:395	qnn_runner rc=2: 	n0*=topk.values(L0,·,·,·,·,L1,L2)
MISMATCH	w1:394	out[0] max|delta|=2.784e+00 (rtol=0.01 atol=0.001)	n0*=gather.out(L0,·,·,·,·)
MISMATCH	w1:426	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit.out(L0,·,·)
SKIP	w1:469	qnn_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w1:472	qnn_runner rc=2: 	n0*=_pdist_forward(L0,·)
SKIP	w1:45	qnn_runner rc=2: 	n0*=copy(L0,L1,·)
SKIP	w1:451	qnn_runner rc=2: 	n0*=reflection_pad2d(L0,·)
SKIP	w1:496	qnn_runner rc=2: 	n0*=any.dims_out(L0,·,·,·)
SKIP	w1:499	qnn_runner rc=2: 	n0*=any.dims_out(L0,·,·,·)
SKIP	w1:501	qnn_runner rc=2: 	n0*=_fft_r2c(L0,·,·,·)
SKIP	w1:507	qnn_runner rc=2: 	n0*=copy(L0,L1,·)
CRASH	w1:486	qnn_runner rc=134: /data/jwen929/mobile/qnn_client/qnn_runner.sh: line 109: 3675450 Aborted                 (core dumped) "$RUNNER" --model_path model.pte --input_list_path input_list.txt --output_folder_path . > "$RUN_LOG" 2>&1 	n0*=cat.out(·,·,·)
MISMATCH	w1:485	out[0] non-finite mismatch (nan/inf positions differ)	n0*=log.out(L0,·)
MISMATCH	w1:50	out[0] non-finite mismatch (nan/inf positions differ)	n0*=rsqrt.out(L0,·)
SKIP	w1:543	qnn_runner rc=2: 	n0*=fill.Tensor(L0,L1)
SKIP	w1:544	qnn_runner rc=2: 	n0*=scatter_add.out(L0,·,·,L1,·)
SKIP	w1:545	qnn_runner rc=2: 	n0*=max.unary_out(L0,·)
MISMATCH	w1:517	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit(L0,·)
MISMATCH	w1:552	out[0] max|delta|=6.918e+18 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
SKIP	w1:562	qnn_runner rc=2: 	n0*=narrow_copy(L0,·,·,·)
MISMATCH	w1:55	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit(L0,·)
SKIP	w1:587	qnn_runner rc=2: 	n0*=scatter.value_out(L0,·,·,·,·)
MISMATCH	w1:555	out[0] max|delta|=2.060e+02 (rtol=0.01 atol=0.001)	n0*=elu.out(L0,·,·,·,·)
MISMATCH	w1:575	out[0] max|delta|=9.533e+00 (rtol=0.01 atol=0.001)	n0*=sub.out(L0,L1,·,·)
MISMATCH	w1:582	out[0] non-finite mismatch (nan/inf positions differ)	n0*=pow.Tensor_Tensor_out(L0,L1,·)
SKIP	w1:609	qnn_runner rc=2: 	n0*=repeat(L0,·)
SKIP	w1:617	qnn_runner rc=2: 	n0*=convolution(L0,L1,·,·,·,·,·,·,·)
SKIP	w1:622	qnn_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w1:7	qnn_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w1:75	qnn_runner rc=2: 	n0*=any.all_out(L0,·)
MISMATCH	w1:608	out[0] non-finite mismatch (nan/inf positions differ)	n0*=sqrt.out(L0,·)
SKIP	w1:81	qnn_runner rc=2: 	n0*=fill.Tensor(L0,L1)
SKIP	w1:82	qnn_runner rc=2: 	n0*=scatter_add.out(L0,·,·,L1,·)
MISMATCH	w1:90	out[0] max|delta|=2.147e+09 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
SKIP	w1:95	qnn_runner rc=2: 	n0*=min.unary_out(L0,·)
SKIP	w10:100	qnn_runner rc=2: 	n0*=any.dims_out(L0,·,·,·)
SKIP	w10:105	qnn_runner rc=2: 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w1:78	out[0] max|delta|=1.441e+17 (rtol=0.01 atol=0.001)	n0*=bitwise_left_shift.Tensor_Scalar_out(L0,·,·)
MISMATCH	w1:87	out[0] max|delta|=2.530e+02 (rtol=0.0 atol=0.0)	n0*=bitwise_or.Tensor_out(L0,L1,·)
MISMATCH	w1:93	out[0] max|delta|=2.036e+00 (rtol=0.01 atol=0.001)	n0*=elu.out(L0,·,·,·,·)
SKIP	w10:147	qnn_runner rc=2: 	n0*=fill.Tensor(L0,L1)
SKIP	w10:148	qnn_runner rc=2: 	n0*=scatter_add.out(L0,·,·,L1,·)
MISMATCH	w10:116	out[0] non-finite mismatch (nan/inf positions differ)	n0*=rsqrt.out(L0,·)
MISMATCH	w10:121	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit(L0,·)
MISMATCH	w10:171	out[0] max|delta|=9.223e+18 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
MISMATCH	w10:159	out[0] max|delta|=1.422e+02 (rtol=0.01 atol=0.001)	n0*=elu.out(L0,·,·,·,·)
MISMATCH	w10:156	out[0] non-finite mismatch (nan/inf positions differ)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
MISMATCH	w10:179	out[0] max|delta|=3.736e+00 (rtol=0.01 atol=0.001)	n0*=sub.out(L0,L1,·,·)
MISMATCH	w10:185	out[0] max|delta|=3.680e+04 (rtol=0.01 atol=0.001)	n0*=_native_batch_norm_legit.no_stats(L0,·,·,·,·,·)
MISMATCH	w10:186	out[0] non-finite mismatch (nan/inf positions differ)	n0*=pow.Tensor_Tensor_out(L0,L1,·)
MISMATCH	w10:189	out[0] max|delta|=3.131e+00 (rtol=0.01 atol=0.001)	n0*=index_select.out(L0,·,·,·)
SKIP	w10:217	qnn_runner rc=2: 	n0*=narrow_copy(L0,·,·,·)
SKIP	w10:226	qnn_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w10:229	qnn_runner rc=2: 	n0*=gather.out(L0,·,·,·,·)
MISMATCH	w10:261	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit.out(L0,·,·)
SKIP	w10:304	qnn_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w10:334	qnn_runner rc=2: 	n0*=any.dims_out(L0,·,·,·)
SKIP	w10:336	qnn_runner rc=2: 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w10:30	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit.out(L0,·,·)
CRASH	w10:321	qnn_runner rc=134: /data/jwen929/mobile/qnn_client/qnn_runner.sh: line 109: 3684485 Aborted                 (core dumped) "$RUNNER" --model_path model.pte --input_list_path input_list.txt --output_folder_path . > "$RUN_LOG" 2>&1 	n0*=cat.out(·,·,·)
SKIP	w10:372	qnn_runner rc=2: 	n0*=any.all_out(L0,·)
SKIP	w10:378	qnn_runner rc=2: 	n0*=fill.Tensor(L0,L1)
SKIP	w10:379	qnn_runner rc=2: 	n0*=scatter_add.out(L0,·,·,L1,·)
SKIP	w10:380	qnn_runner rc=2: 	n0*=max.unary_out(L0,·)
MISMATCH	w10:352	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit(L0,·)
SKIP	w10:385	qnn_runner rc=2: 	n0*=unfold_copy(L0,·,·,·)
SKIP	w10:39	qnn_runner rc=2: 	n0*=narrow_copy.out(L0,·,·,·,·)
SKIP	w10:397	qnn_runner rc=2: 	n0*=narrow_copy(L0,·,·,·)
MISMATCH	w10:402	out[0] max|delta|=1.342e+08 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
SKIP	w10:409	qnn_runner rc=2: 	n0*=mean.dtype_out(L0,·,·)
MISMATCH	w10:390	out[0] max|delta|=7.175e+02 (rtol=0.01 atol=0.001)	n0*=elu.out(L0,·,·,·,·)
MISMATCH	w10:387	out[0] non-finite mismatch (nan/inf positions differ)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
SKIP	w10:392	qnn_runner rc=2: 	n0*=min.unary_out(L0,·)
MISMATCH	w10:410	out[0] max|delta|=3.600e+01 (rtol=0.0 atol=0.0)	n0*=sub.out(L0,L1,·,·)
SKIP	w10:448	qnn_runner rc=2: 	n0*=narrow_copy(L0,·,·,·)
SKIP	w10:457	qnn_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w10:443	out[0] non-finite mismatch (nan/inf positions differ)	n0*=sqrt.out(L0,·)
