op	n	f_OK	f_MISMATCH	f_SKIP	f_CRASH	q_OK	q_MISMATCH	q_SKIP	q_CRASH	changed
_adaptive_avg_pool2d	35	35	0	0	0	35	0	0	0	0
_fft_r2c	34	0	0	34	0	0	0	34	0	0
_log_softmax.out	25	25	0	0	0	25	0	0	0	0
_native_batch_norm_legit.no_stats	37	15	22	0	0	26	11	0	0	17
_native_batch_norm_legit_no_training	23	22	0	1	0	10	13	0	0	14
_pdist_forward	31	1	0	30	0	1	0	30	0	0
_softmax.out	25	25	0	0	0	25	0	0	0	0
_upsample_bilinear2d_aa.out	33	33	0	0	0	33	0	0	0	0
abs	28	28	0	0	0	24	4	0	0	4
abs.out	32	32	0	0	0	32	0	0	0	0
acos.out	35	35	0	0	0	24	11	0	0	11
acosh.out	31	31	0	0	0	30	1	0	0	1
add.Scalar	5	5	0	0	0	5	0	0	0	0
addmm.out	31	31	0	0	0	31	0	0	0	0
alias_copy	37	37	0	0	0	31	6	0	0	6
amax.out	34	34	0	0	0	34	0	0	0	0
amin.out	33	33	0	0	0	33	0	0	0	0
any.all_out	33	22	0	11	0	22	0	11	0	14
any.dims_out	68	28	0	40	0	2	31	35	0	50
argmax.out	33	33	0	0	0	33	0	0	0	0
argmin.out	29	29	0	0	0	29	0	0	0	0
asin.out	30	30	0	0	0	30	0	0	0	0
asinh.out	34	34	0	0	0	34	0	0	0	0
atan.out	34	34	0	0	0	34	0	0	0	0
atan2.out	31	31	0	0	0	26	5	0	0	5
atanh.out	37	37	0	0	0	37	0	0	0	0
avg_pool2d.out	32	32	0	0	0	3	0	29	0	29
bitwise_and.Scalar	37	36	0	1	0	36	0	1	0	0
bitwise_and.Scalar_out	34	29	5	0	0	30	4	0	0	1
bitwise_and.Tensor_out	33	32	1	0	0	33	0	0	0	1
bitwise_left_shift.Tensor_Scalar	37	13	24	0	0	14	23	0	0	1
bitwise_left_shift.Tensor_Scalar_out	35	24	11	0	0	24	11	0	0	0
bitwise_left_shift.Tensor_out	35	6	29	0	0	4	31	0	0	6
bitwise_not.out	29	29	0	0	0	29	0	0	0	0
bitwise_or.Scalar	30	30	0	0	0	30	0	0	0	0
bitwise_or.Scalar_out	29	22	7	0	0	22	7	0	0	0
bitwise_or.Tensor_out	35	34	1	0	0	35	0	0	0	1
bitwise_right_shift.Tensor_Scalar	33	33	0	0	0	33	0	0	0	0
bitwise_right_shift.Tensor_Scalar_out	37	37	0	0	0	37	0	0	0	0
bitwise_right_shift.Tensor_out	36	35	1	0	0	34	2	0	0	1
bitwise_xor.Scalar	32	32	0	0	0	32	0	0	0	0
bitwise_xor.Scalar_out	32	24	8	0	0	25	7	0	0	3
bitwise_xor.Tensor_out	35	35	0	0	0	35	0	0	0	0
bmm.out	30	30	0	0	0	30	0	0	0	0
cat.out	16	0	0	0	16	0	0	0	16	0
ceil.out	33	33	0	0	0	33	0	0	0	0
clamp.Tensor_out	34	34	0	0	0	34	0	0	0	0
clamp.out	32	32	0	0	0	32	0	0	0	0
