status	job	reason	graph
MISMATCH	w0:103	out[0] max|delta|=6.000e+00 (rtol=0.01 atol=0.001)	n0*=fill.Scalar(L0,·)
SKIP	w0:142	vgf_runner rc=2: 	n0*=_pdist_forward(L0,·)
SKIP	w0:169	vgf_runner rc=2: 	n0*=any.dims_out(L0,·,·,·)
SKIP	w0:171	vgf_runner rc=2: 	n0*=_fft_r2c(L0,·,·,·)
SKIP	w0:177	vgf_runner rc=2: 	n0*=copy(L0,L1,·)
SKIP	w0:178	vgf_runner rc=2: 	n0*=mean.out(L0,·,·,·,·)
SKIP	w0:213	vgf_runner rc=2: 	n0*=fill.Tensor(L0,L1)
MISMATCH	w0:139	out[0] non-finite mismatch (nan/inf positions differ)	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w0:222	out[0] max|delta|=6.918e+18 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
MISMATCH	w0:226	out[0] max|delta|=2.000e+00 (rtol=0.0 atol=0.0)	n0*=prod.int_out(L0,·,·,·,·)
SKIP	w0:230	vgf_runner rc=2: 	n0*=expand_copy(L0,·,·)
MISMATCH	w0:237	out[0] max|delta|=1.153e+18 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
SKIP	w0:244	vgf_runner rc=2: 	n0*=mean.dtype_out(L0,·,·)
SKIP	w0:18	vgf_runner rc=2: /data/jwen929/mobile/vgf_client/vgf_runner.sh: line 79: 2549911 Segmentation fault      (core dumped) "$RUNNER" --model "$PTE" --inputs "$INARG" --output "$OUTDIR" > "$RUN_LOG" 2>&1 	n0*=pixel_shuffle(L0,·)
SKIP	w0:373	vgf_runner rc=2: 	n0*=_pdist_forward(L0,·)
SKIP	w0:249	vgf_runner rc=2: /data/jwen929/mobile/vgf_client/vgf_runner.sh: line 79: 2553772 Segmentation fault      (core dumped) "$RUNNER" --model "$PTE" --inputs "$INARG" --output "$OUTDIR" > "$RUN_LOG" 2>&1 	n0*=pixel_shuffle(L0,·)
MISMATCH	w0:6	out[0] max|delta|=1.441e+17 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
MISMATCH	w0:370	out[0] non-finite mismatch (nan/inf positions differ)	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w1:10	vgf_runner rc=2: 	n0*=_pdist_forward(L0,·)
MISMATCH	w0:61	out[0] non-finite mismatch (nan/inf positions differ)	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w1:112	vgf_runner rc=2: 	n0*=mean.dtype_out(L0,·,·)
SKIP	w1:116	vgf_runner rc=2: 	n0*=arange.start_out(·,·,·,·)
MISMATCH	w1:119	out[0] max|delta|=3.999e-01 (rtol=0.01 atol=0.001)	n0*=_native_batch_norm_legit.no_stats(L0,·,·,·,·,·)
MISMATCH	w1:202	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	n0*=fill.Scalar(L0,·)
SKIP	w1:241	vgf_runner rc=2: 	n0*=_pdist_forward(L0,·)
SKIP	w1:270	vgf_runner rc=2: 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w1:238	out[0] non-finite mismatch (nan/inf positions differ)	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w1:309	out[0] max|delta|=3.459e+18 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar_out(L0,·,·)
SKIP	w1:313	vgf_runner rc=2: 	n0*=scatter_add.out(L0,·,·,L1,·)
SKIP	w1:312	vgf_runner rc=2: 	n0*=fill.Tensor(L0,L1)
SKIP	w1:22	vgf_runner rc=2: /data/jwen929/mobile/vgf_client/vgf_runner.sh: line 79: 2568894 Segmentation fault      (core dumped) "$RUNNER" --model "$PTE" --inputs "$INARG" --output "$OUTDIR" > "$RUN_LOG" 2>&1 	n0*=pixel_shuffle(L0,·)
SKIP	w1:329	vgf_runner rc=2: 	n0*=expand_copy(L0,·,·)
SKIP	w1:34	vgf_runner rc=2: 	n0*=any.dims_out(L0,·,·,·)
SKIP	w1:39	vgf_runner rc=2: 	n0*=_fft_r2c(L0,·,·,·)
SKIP	w1:45	vgf_runner rc=2: 	n0*=copy(L0,L1,·)
SKIP	w1:265	vgf_runner rc=2: /data/jwen929/mobile/vgf_client/vgf_runner.sh: line 79: 2571289 Segmentation fault      (core dumped) "$RUNNER" --model "$PTE" --inputs "$INARG" --output "$OUTDIR" > "$RUN_LOG" 2>&1 	n0*=any.dims_out(L0,·,·,·)
MISMATCH	w1:78	out[0] max|delta|=1.441e+17 (rtol=0.01 atol=0.001)	n0*=bitwise_left_shift.Tensor_Scalar_out(L0,·,·)
SKIP	w1:81	vgf_runner rc=2: 	n0*=fill.Tensor(L0,L1)
SKIP	w1:82	vgf_runner rc=2: 	n0*=scatter_add.out(L0,·,·,L1,·)
MISMATCH	w1:90	out[0] max|delta|=2.147e+09 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
SKIP	w10:100	vgf_runner rc=2: 	n0*=any.dims_out(L0,·,·,·)
SKIP	w10:105	vgf_runner rc=2: 	n0*=_fft_r2c(L0,·,·,·)
SKIP	w10:111	vgf_runner rc=2: 	n0*=copy(L0,L1,·)
MISMATCH	w1:7	out[0] max|delta|=1.578e+00 (rtol=0.01 atol=0.001)	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w10:148	vgf_runner rc=2: 	n0*=scatter_add.out(L0,·,·,L1,·)
SKIP	w10:147	vgf_runner rc=2: 	n0*=fill.Tensor(L0,L1)
MISMATCH	w10:156	out[0] non-finite mismatch (nan/inf positions differ)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
MISMATCH	w10:171	out[0] max|delta|=9.223e+18 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
SKIP	w10:178	vgf_runner rc=2: 	n0*=mean.dtype_out(L0,·,·)
SKIP	w10:190	vgf_runner rc=2: 	n0*=scatter.src_out(L0,·,·,L1,·)
MISMATCH	w10:226	out[0] max|delta|=1.370e+00 (rtol=0.01 atol=0.001)	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w10:29	vgf_runner rc=2: 	n0*=sum.IntList_out(L0,·,·,·,·)
SKIP	w10:307	vgf_runner rc=2: 	n0*=_pdist_forward(L0,·)
SKIP	w10:294	vgf_runner rc=2: 	n0*=where.self(L0,L1,L2)
SKIP	w10:336	vgf_runner rc=2: 	n0*=_fft_r2c(L0,·,·,·)
SKIP	w10:342	vgf_runner rc=2: 	n0*=copy(L0,L1,·)
