op	annotated	n_qdq	lowered	deleg_ops	note
_adaptive_avg_pool2d	YES	2	-	-	
_cdist_forward	YES	4	-	-	
_fft_r2c	YES	2	-	-	
_log_softmax.out	YES	2	-	-	
_native_batch_norm_legit.no_stats	YES	2	-	-	
_native_batch_norm_legit_no_training	YES	6	-	-	
_pdist_forward	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
_softmax.out	YES	2	-	-	
_upsample_bilinear2d_aa.out	YES	2	-	-	
abs	YES	2	-	-	
abs.out	YES	2	-	-	
acos.out	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
acosh.out	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
add.Scalar	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
addmm.out	YES	6	-	-	
alias_copy	YES	2	-	-	
amax.out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Short'
amin.out	YES	2	-	-	
any.all_out	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
any.dims_out	YES	2	-	-	
arange.out	no	0	-	-	
arange.start_out	no	0	-	-	
argmax.out	YES	2	-	-	
argmin.out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
asin.out	YES	2	-	-	
asinh.out	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
atan.out	YES	2	-	-	
atan2.out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Int'
atanh.out	YES	2	-	-	
avg_pool2d.out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
bitwise_and.Scalar	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
bitwise_and.Scalar_out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Int'
bitwise_and.Tensor_out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Short'
bitwise_left_shift.Tensor_Scalar	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
bitwise_left_shift.Tensor_Scalar_out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
bitwise_left_shift.Tensor_out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
bitwise_not.out	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
bitwise_or.Scalar	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
bitwise_or.Scalar_out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Int'
bitwise_or.Tensor_out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Int'
