job	out	verdict	axisA	axisB	target	cone_size	needed_siblings	needed_live	deleg_full	deleg_tgt	n_out	detail
w100:219	0	DEV:TIMEOUT										DEV:TIMEOUT
w105:162	3	DEV:TIMEOUT										DEV:TIMEOUT
w11:92	4	DEV:TIMEOUT										DEV:TIMEOUT
w116:2	3	DEV:SKIP										DEV:SKIP
w121:583	1	DEV:TIMEOUT										DEV:TIMEOUT
w127:357	1	DEV:TIMEOUT										DEV:TIMEOUT
w17:775	1	OPERATOR	CONE_LOCAL	OPERATOR	n4	3			0	0	5	
w21:607	2	CANT_ISOLATE										BUILD:SKIP
w27:387	1	OPERATOR	CONE_LOCAL	OPERATOR	n2	1			10	1	4	
w32:213	2	CANT_ISOLATE										BUILD:SKIP
w38:488	3	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n9	2		n2	4	0	4	
w43:384	1	OPERATOR	CONE_LOCAL	OPERATOR	n5	3			2	0	4	
w48:634	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n4	3		n2	10	5	3	
w52:437	0	OPERATOR	CONE_LOCAL	OPERATOR	n6	2			6	3	4	
w57:719	3	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n6	2		n0,n2	12	5	5	
w61:682	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n4	4		n0,n1	2	0	4	
w66:754	3	OPERATOR	CONE_LOCAL	OPERATOR	n7	1			9	3	4	
w71:499	1	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n4	3		n2	7	2	6	
w78:58	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n1		n7		5	2	4	
w83:457	3	CANT_ISOLATE										BUILD:SKIP
w89:35	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n2	1		n0	3	0	4	
w93:700	3	CANT_ISOLATE										BUILD:SKIP
w99:149	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n4		n6		9	4	5	
w100:219	0	DEV:TIMEOUT										DEV:TIMEOUT
w105:162	3	OPERATOR	CONE_LOCAL	OPERATOR	n9	2			6	3	5	
w11:92	4	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n7	2		n1	10	3	5	
w116:2	3	DEV:SKIP										DEV:SKIP
w121:583	1	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n5	2		n0,n1	2	3	4	
w127:357	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n6		n2		18	5	3	
w100:219	0	OPERATOR	CONE_LOCAL	OPERATOR	n7	6			9	3	4	
w116:2	3	DEV:SKIP										DEV:SKIP
w116:2	3	DEV:SKIP										DEV:SKIP
w116:2	3	DEV:SKIP										DEV:SKIP
w116:2	3	DEV:SKIP										DEV:SKIP
w116:2	3	POISON										native-crashed 6x during localization
