w0:169	vgf_runner rc=2: 	n0=any.dims_out(L0,·,·,·) ; n1=expand_copy(n0,·,·) ; n2=hardtanh(n1,·,·) ; n3*=div.out(L1,n2,·) ; n4*=expand_copy(n2,·,·) ; n5=min(n2) ; n6*=min(n0) ; n7*=gt.Scalar_out(n5,·,·)
w0:109	vgf_runner rc=2: 	n0=squeeze_copy.dim(L0,·) ; n1=to(n0,·) ; n2=slice(n1,·,·,·,·) ; n3*=slice_scatter(n0,n2,·,·,·,·) ; n4=abs(n0) ; n5*=rsqrt.out(n4,·) ; n6*=floor.out(n0,n4) ; n7=rshp(n2,·) ; n8*=linear.out(n1,n7,·,·) ; n9=squeeze_copy.dim(n2,·) ; n10=to(n9,·) ; n11=bcast(n10,·) ; n12*=atan2.out(n4,n11,·)
w0:195	vgf_runner rc=2: 	n0=_upsample_bilinear2d_aa.out(L0,·,·,·,·,·) ; n1=remainder.Tensor_out(L1,n0,·) ; n2=detach_copy(n0) ; n3*=native_group_norm(n2,·,·,·,·,·,·,·) ; n4*=minimum.out(n1,L2,·) ; n5=fill.Tensor(n1,L3) ; n6=div.Scalar_mode(n5,·,·) ; n7*=log2.out(n6,·)
w0:14	vgf_runner rc=2: 	n0=sub.out(L0,L1,·,·) ; n1=isinf(n0) ; n2=bcast(n0,·) ; n3=logical_xor(n2,n1) ; n4=bcast(n1,·) ; n5*=ne.Tensor_out(n4,n3,·) ; n6=squeeze_copy.dims(n4,·) ; n7=copy(L2,n3,·) ; n8*=view_copy(n6,·) ; n9*=le.Tensor_out(n7,L3,·)
w0:113	vgf_runner rc=2: 	n0=argmin.out(L0,·,·,·) ; n1=clone(n0,·) ; n2=bitwise_left_shift.Tensor_Scalar_out(n0,·,·) ; n3=clone(n2,·) ; n4*=squeeze_copy.dims(n1,·) ; n5*=rsub.Scalar(n3,·,·) ; n6*=argmax.out(n3,·,·,·) ; n7*=sum.IntList_out(n1,·,·,·,·)
w0:201	vgf_runner rc=2: 	n0=linear.out(L0,L1,·,·) ; n1=narrow_copy(n0,·,·,·) ; n2=constant_pad_nd(n1,·,·) ; n3*=narrow_copy(n2,·,·,·) ; n4=abs(n1) ; n5*=repeat(n0,·) ; n6*=prod(n4,·) ; n7*=var.correction(n1,·,·,·)
w0:193	vgf_runner rc=2: 	n0=clamp.out(L0,·,·,·) ; n1=flip(n0,·) ; n2*=isnan(n0) ; n3=tanh.out(n1,·) ; n4*=mean.out(n0,·,·,·,·) ; n5*=expand_copy(n1,·,·) ; n6*=relu(n1) ; n7*=narrow_copy.out(n3,·,·,·,·)
w0:158	vgf_runner rc=2: 	n0=bitwise_xor.Scalar(L0,·) ; n1=squeeze_copy.dim(n0,·) ; n2=slice(n0,·,·,·,·) ; n3=slice(n2,·,·,·,·) ; n4=slice(n3,·,·,·,·) ; n5=slice(n4,·,·,·,·) ; n6=slice(n5,·,·,·,·) ; n7=clampr(n6,·,·) ; n8=slice(n1,·,·,·,·) ; n9=slice(n8,·,·,·,·) ; n10=slice(n9,·,·,·,·) ; n11=slice(n10,·,·,·,·) ; n12=slice(n11,·,·,·,·) ; n13=scatter.src_out(n0,·,n7,n12,·) ; n14*=mean(n3,·) ; n15*=bitwise_left_shift.Tensor_out(n9,L1,·) ; n16*=index.Tensor_out(n11,·,·) ; n17*=abs.out(n7,·) ; n18=to(n10,·) ; n19=bcast(n18,·) ; n20*=slice_scatter(n19,n13,·,·,·,·)
w0:103	vgf_runner rc=2: 	n0=fill.Scalar(L0,·) ; n1=cos.out(n0,·) ; n2=roll(n1,·,·) ; n3=asinh.out(n0,n2) ; n4=clamp.out(n1,·,·,n2) ; n5*=floor_divide.out(L1,n3,·) ; n6=floor_divide(n4,L2) ; n7*=squeeze_copy.dim(n6,·)
w0:110	vgf_runner rc=2: 	n0=split_with_sizes_copy(L0,·,·) ; n1*=logit(n0,·) ; n2=clone(n0,·) ; n3=floor_divide(L1,n2) ; n4*=linear.out(n0,L2,·,·) ; n5=mul.out(n3,L3,·) ; n6=eq.Scalar_out(n5,·,·) ; n7*=unfold_copy(n6,·,·,·)
w0:227	vgf_runner rc=2: 	n0=min.unary_out(L0,·) ; n1=eq.Scalar_out(n0,·,·) ; n2=amax.out(n0,·,·,·) ; n3=prod.out(n2,·,·) ; n4*=expm1.out(n3,·) ; n5*=detach_copy(n0) ; n6*=bitwise_left_shift.Tensor_Scalar_out(n1,·,·) ; n7*=expand_copy(n1,·,·)
w0:146	vgf_runner rc=2: 	n0=reflection_pad1d.out(L0,·,·) ; n1*=glu.out(n0,·,·) ; n2=masked_scatter(n0,L1,n0) ; n3=relu(n2) ; n4*=slice_scatter(L2,n0,·,·,·,·) ; n5*=maximum.out(L3,n2,n3) ; n6*=replication_pad1d.out(n0,·,·) ; n7*=logit(n3,·)
w0:2	vgf_runner rc=2: 	n0=bitwise_right_shift.Tensor_out(L0,L1,·) ; n1=flip(n0,·) ; n2=sinh.out(n0,·) ; n3=squeeze_copy.dims(n0,·) ; n4=div.Scalar_mode(n3,·,·) ; n5=slice(n2,·,·,·,·) ; n6*=div.out_mode(n5,n1,·,·) ; n7*=fmod.Tensor_out(L2,n0,·) ; n8*=squeeze_copy.dims(n4,·)
