class_in	job	out	verdict	target	mechanism	leaf_nonfinite	detail
COMPOSITIONAL	w0:163	0	COMPOSITIONAL	n5	VALUE	False	maxdiff=1.417e+00
COMPOSITIONAL	w0:45	0	COMPOSITIONAL	n3	ZEROED	False	dev_max=0.00e+00 ref_max=3.50e-02
COMPOSITIONAL	w0:523	0	COMPOSITIONAL	n4	NONFINITE	False	dev_nonfinite=128 ref_nonfinite=0
COMPOSITIONAL	w0:684	0	COMPOSITIONAL	n1	VALUE	False	maxdiff=6.918e+18
COMPOSITIONAL	w100:259	0	COMPOSITIONAL	n2	NONFINITE	False	dev_nonfinite=1 ref_nonfinite=0
COMPOSITIONAL	w100:263	1	COMPOSITIONAL	n6	SCALE:-1.333	False	std=0.00e+00
COMPOSITIONAL	w100:33	3	COMPOSITIONAL	n6	ZEROED	False	dev_max=0.00e+00 ref_max=1.00e+00
COMPOSITIONAL	w100:505	0	COMPOSITIONAL	n4	VALUE	False	maxdiff=5.765e+17
COMPOSITIONAL	w100:560	1	COMPOSITIONAL	n7	VALUE	False	maxdiff=3.258e+00
COMPOSITIONAL	w100:602	0	COMPOSITIONAL	n1	ZEROED	False	dev_max=0.00e+00 ref_max=3.00e+00
COMPOSITIONAL	w100:98	0	COMPOSITIONAL	n2	VALUE	False	maxdiff=1.187e+00
COMPOSITIONAL	w101:291	1	COMPOSITIONAL	n4	VALUE	False	maxdiff=1.000e+00
COMPOSITIONAL	w101:421	3	COMPOSITIONAL	n7	ZEROED	False	dev_max=0.00e+00 ref_max=3.00e+00
COMPOSITIONAL	w101:432	0	COMPOSITIONAL	n2	VALUE	False	maxdiff=1.729e+18
COMPOSITIONAL	w101:45	0	COMPOSITIONAL	n4	NONFINITE	False	dev_nonfinite=2 ref_nonfinite=0
COMPOSITIONAL	w101:605	0	COMPOSITIONAL	n4	VALUE	False	maxdiff=6.000e+00
COMPOSITIONAL	w102:265	0	COMPOSITIONAL	n4	ZEROED	False	dev_max=0.00e+00 ref_max=1.00e+00
COMPOSITIONAL	w102:300	0	COMPOSITIONAL	n1	ZEROED	False	dev_max=0.00e+00 ref_max=2.00e+00
COMPOSITIONAL	w102:35	0	COMPOSITIONAL	n3	VALUE	False	maxdiff=1.122e-02
COMPOSITIONAL	w102:424	2	COMPOSITIONAL	n8	NONFINITE	False	dev_nonfinite=1 ref_nonfinite=4
COMPOSITIONAL	w102:658	0	COMPOSITIONAL	n5	NONFINITE	False	dev_nonfinite=331 ref_nonfinite=354
COMPOSITIONAL	w102:77	0	COMPOSITIONAL	n2	ZEROED	False	dev_max=0.00e+00 ref_max=7.00e+00
COMPOSITIONAL	w103:600	0	COMPOSITIONAL	n3	NONFINITE	False	dev_nonfinite=132 ref_nonfinite=150
COMPOSITIONAL	w103:602	0	COMPOSITIONAL	n2	ZEROED	False	dev_max=0.00e+00 ref_max=1.39e+00
COMPOSITIONAL	w103:698	0	COMPOSITIONAL	n5	SCALE:-7720456580759552.000	False	std=0.00e+00
COMPOSITIONAL	w103:715	3	COMPOSITIONAL	n8	VALUE	False	maxdiff=2.000e+00
COMPOSITIONAL	w104:305	0	COMPOSITIONAL	n1	ZEROED	False	dev_max=0.00e+00 ref_max=1.35e+00
COMPOSITIONAL	w104:569	0	COMPOSITIONAL	n4	VALUE	False	maxdiff=6.000e+00
COMPOSITIONAL	w104:674	0	COMPOSITIONAL	n2	SCALE:2.041	False	std=0.00e+00
COMPOSITIONAL	w105:276	3	COMPOSITIONAL	n7	NONFINITE	False	dev_nonfinite=1 ref_nonfinite=0
COMPOSITIONAL	w105:291	0	COMPOSITIONAL	n3	VALUE	False	maxdiff=1.153e+18
COMPOSITIONAL	w105:478	4	COMPOSITIONAL	n8	SCALE:-6.945	False	std=7.80e-02
COMPOSITIONAL	w106:109	0	COMPOSITIONAL	n3	NONFINITE	False	dev_nonfinite=8 ref_nonfinite=0
COMPOSITIONAL	w106:252	1	COMPOSITIONAL	n5	NONFINITE	False	dev_nonfinite=2 ref_nonfinite=0
COMPOSITIONAL	w106:327	1	COMPOSITIONAL	n5	VALUE	False	maxdiff=3.000e+00
COMPOSITIONAL	w106:425	0	COMPOSITIONAL	n2	VALUE	False	maxdiff=2.490e+02
