op	job	out	target	deleg	n_div	n_rep	status	detail
_log_softmax	w41:136	2	n5	1	5	5	VGF_STABLE	
_log_softmax	w89:526	0	n3	1	5	5	VGF_STABLE	
_log_softmax	w98:241	1	n4	1	5	5	VGF_STABLE	
_native_batch_norm_legit	w101:635	2	n5	0	5	5	PORTABLE	
_native_batch_norm_legit	w105:28	1	n4	0	5	5	PORTABLE	
_native_batch_norm_legit	w13:93	0	n5	0	5	5	PORTABLE	
_native_batch_norm_legit	w17:196	3	n7	0	5	5	PORTABLE	
_native_batch_norm_legit	w27:772	2	n6	0	5	5	PORTABLE	
_native_batch_norm_legit	w29:709	2	n6	0	5	5	PORTABLE	
_softmax	w12:408	0	n4	1	0	5	VGF_NOREPRO	
_upsample_bilinear2d_aa	w115:117	2	n9	0	5	5	PORTABLE	
_upsample_bilinear2d_aa	w48:689	0	n3	0	5	5	PORTABLE	
_upsample_bilinear2d_aa	w4:89	3	n7	0	5	5	PORTABLE	
abs	w48:735	0	n2	3	5	5	VGF_STABLE	
abs	w86:296	2	n9	1	0	5	VGF_NOREPRO	
acos	w13:254	3	n9	1	0	5	VGF_NOREPRO	
acos	w45:359	2	n9	1	0	5	VGF_NOREPRO	
addmm	w13:717	0	n5	1	0	5	VGF_NOREPRO	
asinh	w18:636	2	n7	1	5	5	VGF_STABLE	
asinh	w1:439	0	n6	3	5	5	VGF_STABLE	
asinh	w59:276	2	n7	2	5	5	VGF_STABLE	
asinh	w85:670	4	n6	1	5	5	VGF_STABLE	
asinh	w93:565	4	n7	1	5	5	VGF_STABLE	
bitwise_left_shift	w105:292	2	n12	0	5	5	PORTABLE	
bitwise_left_shift	w105:90	0	n1	0	5	5	PORTABLE	
bitwise_left_shift	w108:308	0	n4	0	5	5	PORTABLE	
bitwise_left_shift	w109:678	0	n2	0	5	5	PORTABLE	
bitwise_left_shift	w10:511	2	n7	0	5	5	PORTABLE	
bitwise_left_shift	w110:240	0	n4	0	5	5	PORTABLE	
bitwise_right_shift	w101:189	2	n7	0	0	5	PORTABLE	
bitwise_right_shift	w126:485	0	n4	0	5	5	PORTABLE	
bitwise_right_shift	w49:169	0	n1	0	5	5	PORTABLE	
bitwise_right_shift	w7:340	2	n11	0	5	5	PORTABLE	
bitwise_xor	w57:762	1	n8	4	5	5	VGF_STABLE	
cos	w19:329	2	n6	1	5	5	VGF_STABLE	
cumsum	w105:98	4	n8	1	5	5	VGF_STABLE	
cumsum	w26:610	4	n7	1	5	5	VGF_STABLE	
cumsum	w55:162	0	n1	1	5	5	VGF_STABLE	
cumsum	w55:267	2	n6	1	5	5	VGF_STABLE	
cumsum	w6:672	0	n4	1	5	5	VGF_STABLE	
div	w60:618	0	n5	3	0	5	VGF_NOREPRO	
fill	w69:630	0	n2	1	5	5	VGF_STABLE	
floor_divide	w100:219	0	n7	1	5	5	VGF_STABLE	
floor_divide	w100:477	0	n5	1	5	5	VGF_STABLE	
floor_divide	w102:189	1	n3	1	5	5	VGF_STABLE	
floor_divide	w102:489	0	n6	1	5	5	VGF_STABLE	
floor_divide	w124:445	2	n9	1	5	5	VGF_STABLE	
floor_divide	w125:37	3	n8	2	5	5	VGF_STABLE	
fmod	w104:56	5	n7	0	5	5	PORTABLE	
fmod	w115:110	2	n6	0	5	5	PORTABLE	
fmod	w36:459	3	n6	0	5	5	PORTABLE	
fmod	w61:495	2	n6	0	5	5	PORTABLE	
fmod	w72:185	0	n5	0	5	5	PORTABLE	
fmod	w72:671	3	n6	0	5	5	PORTABLE	
log1p	w100:226	1	n5	2	5	5	VGF_STABLE	
log1p	w103:163	2	n6	1	5	5	VGF_STABLE	
log1p	w106:67	0	n3	2	5	5	VGF_STABLE	
log1p	w107:109	0	n2	2	5	5	VGF_STABLE	
log1p	w108:755	0	n2	2	5	5	VGF_STABLE	
log1p	w10:547	1	n4	1	5	5	VGF_STABLE	
logit	w102:567	2	n5	1	0	5	VGF_NOREPRO	
logit	w102:570	2	n6	2	0	5	VGF_NOREPRO	
maximum	w60:746	1	n6	0	5	5	PORTABLE	
mean	w63:464	2	n5	1	5	5	VGF_STABLE	
native_group_norm	w0:60	1	n7	1	5	5	VGF_STABLE	
native_group_norm	w102:545	1	n4	1	5	5	VGF_STABLE	
native_group_norm	w103:100	1	n6	1	5	5	VGF_STABLE	
native_group_norm	w103:472	2	n7	1	5	5	VGF_STABLE	
native_group_norm	w104:9	4	n7	1	5	5	VGF_STABLE	
native_group_norm	w108:306	3	n7	1	5	5	VGF_STABLE	
native_layer_norm	w100:694	0	n4	1	5	5	VGF_STABLE	
native_layer_norm	w115:43	3	n7	1	5	5	VGF_STABLE	
