operator	mism_deleg	mism_portable	crash_deleg	crash_portable	skip_runtime	skip_feeder	timeout
native_group_norm	533	0	0	0	0	0	0
fill.Tensor	0	0	0	0	439	0	0
_fft_r2c	0	0	0	0	435	0	0
leaky_relu.out	411	0	0	0	0	0	0
copy	0	0	0	0	410	0	0
fill.Scalar	356	0	0	0	0	0	0
_pdist_forward	0	2	0	0	350	0	0
gelu.out	350	0	0	0	0	0	0
bitwise_left_shift.Tensor_out	79	230	0	0	0	0	0
max_pool2d_with_indices_backward.grad_input	0	0	0	0	294	0	0
any.dims_out	0	0	0	0	264	0	0
pixel_shuffle	0	0	0	0	242	0	0
bitwise_left_shift.Tensor_Scalar	0	201	0	0	0	0	0
topk.values	0	0	0	0	156	35	0
bitwise_left_shift.Tensor_Scalar_out	0	191	0	0	0	0	0
expand_copy	0	0	0	0	169	0	0
floor_divide.out	126	0	0	0	2	0	0
scatter_add.out	0	0	0	0	120	0	0
pixel_unshuffle	0	0	0	0	110	0	0
where.self	2	0	0	0	108	0	0
clamp.out	98	0	0	0	0	0	0
floor_divide	93	0	0	0	0	0	0
sum.IntList_out	18	0	0	0	75	0	0
scatter.src_out	0	0	0	0	89	0	0
slice_scatter	83	0	0	0	1	0	0
any.all_out	0	0	0	0	81	0	0
mean.out	0	0	0	0	81	0	0
linear.out	0	0	0	0	80	0	0
arange.start_out	0	0	0	0	64	0	0
remainder.Scalar	16	48	0	0	0	0	0
relu	58	0	0	0	2	0	0
index_select	0	0	0	0	56	0	0
remainder.Tensor_out	0	56	0	0	0	0	0
linear	0	0	0	0	52	0	0
min.dim_min	0	0	0	0	0	51	0
_native_batch_norm_legit.no_stats	0	50	0	0	0	0	0
elu.out	38	0	0	0	0	0	0
amin.out	1	0	0	0	33	0	0
max.dim_max	0	0	0	0	0	29	0
prod.int_out	12	7	0	0	9	0	0
where.self_out	4	0	0	0	22	0	0
scatter.value_out	0	0	0	0	26	0	0
mean.dtype_out	0	0	0	0	24	0	0
amax.out	0	0	0	0	22	0	0
convolution	0	0	0	0	21	0	0
fmod.Scalar	0	18	0	0	0	0	0
remainder.Scalar_out	13	4	0	0	0	0	0
index_select.out	0	0	0	0	17	0	0
pow.Tensor_Scalar_out	17	0	0	0	0	0	0
stack	0	0	0	0	15	0	0
native_layer_norm	12	0	0	0	0	0	0
mean	1	0	0	0	8	0	0
narrow_copy	0	0	0	5	4	0	0
glu.out	0	0	0	0	8	0	0
mul.Scalar	4	0	0	0	4	0	0
rsub.Scalar	7	0	0	0	0	0	0
unsqueeze_copy	0	0	0	0	6	0	0
gather.out	0	0	0	0	6	0	0
pow.Scalar_out	0	6	0	0	0	0	0
cumsum.out	1	0	0	0	5	0	0
hardtanh	0	0	0	0	5	0	0
bitwise_and.Scalar	0	0	0	0	3	0	0
embedding	0	0	0	0	2	0	0
mm.out	0	0	0	0	2	0	0
bmm.out	0	0	0	0	2	0	0
sub.out	2	0	0	0	0	0	0
reflection_pad2d	0	0	0	0	1	0	0
bitwise_or.Tensor_out	0	0	0	0	1	0	0
split_copy.Tensor	0	0	0	0	1	0	0
sigmoid.out	0	0	0	0	1	0	0
tril.out	0	0	0	0	1	0	0
erf.out	0	0	0	0	1	0	0
sinh.out	0	0	0	0	1	0	0
sqrt.out	0	0	0	0	1	0	0
bitwise_xor.Scalar	0	0	0	0	1	0	0
_native_batch_norm_legit_no_training	0	0	0	0	1	0	0
permute_copy	0	0	0	0	1	0	0
abs	0	0	0	0	1	0	0
avg_pool2d.out	0	0	0	0	1	0	0
ne.Scalar_out	0	0	0	0	1	0	0
eq.Tensor_out	0	0	0	0	1	0	0
tanh.out	0	0	0	0	1	0	0
narrow_copy.out	0	0	0	1	0	0	0
var_mean.correction	0	0	0	0	1	0	0
hardtanh.out	0	0	0	0	1	0	0
clamp.Tensor_out	0	0	0	0	1	0	0
unfold_copy	0	0	0	1	0	0	0
prod.out	0	1	0	0	0	0	0
