status	job	detail
OK	w0:42	
OK	w0:416	
OK	w0:414	
OK	w0:419	
OK	w0:415	
OK	w0:417	
OK	w0:59	
OK	w0:530	
OK	w0:543	
OK	w0:536	
OK	w0:539	
OK	w0:595	
OK	w0:753	
OK	w0:752	
SKIP	w0:720	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w1:132	
MISMATCH	w0:756	out[0] non-finite mismatch (nan/inf positions differ)
OK	w1:152	
OK	w1:224	
OK	w1:242	
OK	w1:288	
OK	w1:307	
OK	w1:312	
OK	w1:335	
OK	w1:446	
SKIP	w1:438	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w1:508	
OK	w1:554	
OK	w1:646	
OK	w1:659	
OK	w1:696	
OK	w1:710	
OK	w1:761	
OK	w1:732	
OK	w10:106	
OK	w10:157	
OK	w10:255	
OK	w10:272	
OK	w10:295	
OK	w10:345	
OK	w10:369	
OK	w10:390	
OK	w10:454	
OK	w10:470	
OK	w10:476	
OK	w10:501	
OK	w10:53	
CRASH	w0:95	executor process died (native abort)
OK	w10:596	
OK	w10:654	
OK	w10:727	
OK	w100:101	
OK	w100:110	
OK	w100:209	
OK	w100:22	
OK	w100:13	
OK	w100:302	
OK	w100:278	
OK	w100:38	
OK	w100:412	
OK	w100:470	
OK	w100:483	
OK	w100:521	
OK	w100:538	
OK	w100:545	
CRASH	w0:779	executor process died (native abort)
OK	w100:605	
MISMATCH	w100:63	out[0] non-finite mismatch (nan/inf positions differ)
OK	w100:650	
OK	w100:608	
OK	w100:676	
OK	w10:429	
CRASH	w1:213	executor process died (native abort)
OK	w101:197	
OK	w101:251	
OK	w101:298	
OK	w101:370	
OK	w101:381	
OK	w101:436	
CRASH	w101:230	executor process died (native abort)
OK	w101:487	
OK	w101:579	
OK	w101:583	
OK	w101:610	
OK	w101:752	
CRASH	w101:306	executor process died (native abort)
OK	w102:116	
OK	w102:189	
OK	w102:238	
OK	w102:277	
OK	w102:358	
OK	w102:400	
CRASH	w101:513	executor process died (native abort)
OK	w102:43	
OK	w102:430	
OK	w102:457	
OK	w100:250	
OK	w102:551	
OK	w102:573	
OK	w101:199	
OK	w101:48	
OK	w102:620	
OK	w102:534	
OK	w102:658	
OK	w102:778	
OK	w102:688	
OK	w102:774	
OK	w103:145	
OK	w103:172	
MISMATCH	w103:134	out[0] max|delta|=4.000e+00 (rtol=0.0 atol=0.0)
OK	w103:550	
OK	w103:549	
OK	w103:420	
OK	w103:592	
OK	w103:56	
OK	w103:561	
OK	w103:68	
OK	w103:707	
OK	w103:67	
OK	w103:702	
OK	w103:736	
OK	w103:746	
OK	w104:204	
OK	w104:205	
OK	w104:289	
OK	w104:273	
OK	w104:372	
SKIP	w104:290	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w104:399	
OK	w104:438	
OK	w104:414	
OK	w104:449	
OK	w104:474	
OK	w104:50	
OK	w104:555	
OK	w104:628	
OK	w104:9	
OK	w104:66	
SKIP	w102:138	executor ExecutorchRuntimeException: [ExecuTorch Error 0x1] Internal error: Execution failed for method: forward
OK	w105:220	
OK	w105:24	
OK	w105:307	
SKIP	w104:93	executor ExecutorchRuntimeException: [ExecuTorch Error 0x14] Operator missing: Execution failed for method: forward
MISMATCH	w105:320	out[0] max|delta|=6.000e+00 (rtol=0.01 atol=0.001)
OK	w105:341	
OK	w105:356	
OK	w105:365	
OK	w102:429	
OK	w105:437	
OK	w105:447	
OK	w105:51	
OK	w105:53	
OK	w105:640	
OK	w105:531	
OK	w105:686	
OK	w105:723	
OK	w105:751	
MISMATCH	w105:754	out[0] max|delta|=1.342e+08 (rtol=0.0 atol=0.0)
SKIP	w105:578	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w106:24	
CRASH	w104:389	executor process died (native abort)
OK	w106:246	
OK	w105:766	
OK	w106:279	
OK	w106:257	
OK	w106:371	
OK	w106:330	
OK	w106:462	
OK	w106:332	
OK	w106:496	
OK	w106:611	
OK	w106:698	
OK	w106:701	
OK	w106:78	
OK	w106:727	
OK	w106:98	
OK	w107:154	
OK	w106:79	
OK	w107:195	
OK	w107:198	
OK	w107:20	
OK	w107:227	
OK	w107:253	
OK	w107:339	
OK	w107:412	
OK	w107:403	
OK	w107:447	
OK	w107:451	
OK	w107:572	
OK	w107:589	
OK	w107:596	
OK	w107:698	
OK	w107:652	
OK	w102:602	
OK	w107:91	
OK	w107:702	
OK	w108:143	
OK	w106:492	
OK	w107:574	
OK	w106:586	
OK	w108:338	
OK	w108:291	
OK	w108:255	
OK	w108:329	
OK	w108:183	
OK	w108:317	
OK	w108:367	
OK	w108:343	
OK	w108:417	
OK	w108:477	
OK	w108:94	
OK	w108:752	
SKIP	w108:96	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w109:158	
OK	w109:231	
OK	w109:297	
OK	w109:359	
OK	w109:301	
OK	w109:449	
OK	w109:365	
OK	w109:529	
OK	w109:605	
OK	w109:558	
OK	w109:559	
OK	w109:720	
OK	w109:684	
OK	w109:736	
OK	w109:755	
OK	w109:777	
SKIP	w109:765	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w109:91	
OK	w11:117	
OK	w11:20	
OK	w11:195	
OK	w11:267	
OK	w11:364	
MISMATCH	w11:394	out[0] max|delta|=4.000e+00 (rtol=0.0 atol=0.0)
OK	w11:423	
OK	w11:521	
OK	w11:495	
CRASH	w109:368	executor process died (native abort)
MISMATCH	w11:583	out[0] non-finite mismatch (nan/inf positions differ)
OK	w11:531	
OK	w11:569	
OK	w11:61	
OK	w11:689	
OK	w11:661	
OK	w11:748	
OK	w11:77	
OK	w11:99	
OK	w110:17	
OK	w110:174	
OK	w110:24	
OK	w110:256	
OK	w110:240	
OK	w110:281	
OK	w110:368	
OK	w110:407	
OK	w110:42	
OK	w110:541	
OK	w110:469	
OK	w110:576	
OK	w110:542	
OK	w108:415	
OK	w110:584	
CRASH	w11:426	executor process died (native abort)
OK	w110:620	
OK	w110:630	
OK	w110:674	
OK	w110:648	
OK	w111:157	
OK	w110:754	
OK	w111:11	
OK	w111:288	
OK	w111:175	
OK	w109:287	
OK	w111:319	
OK	w111:290	
OK	w111:352	
OK	w111:392	
OK	w111:364	
OK	w111:419	
OK	w111:480	
OK	w111:546	
OK	w111:558	
OK	w111:646	
OK	w111:687	
MISMATCH	w112:115	out[0] shape (1, 1, 1) vs (0, 0, 0, 0)
OK	w112:179	
MISMATCH	w111:93	out[0] non-finite mismatch (nan/inf positions differ)
OK	w112:2	
OK	w112:19	
SKIP	w112:218	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w112:239	
OK	w112:422	
OK	w112:425	
SKIP	w112:350	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w112:493	
OK	w112:499	
OK	w112:530	
OK	w112:534	
OK	w112:628	
CRASH	w111:367	executor process died (native abort)
OK	w112:670	
OK	w112:701	
OK	w112:97	
OK	w112:714	
OK	w112:98	
OK	w113:172	
OK	w113:155	
OK	w113:203	
OK	w113:282	
OK	w113:269	
OK	w113:341	
OK	w113:37	
OK	w113:385	
OK	w113:405	
OK	w113:534	
OK	w113:506	
OK	w113:594	
OK	w113:599	
OK	w113:699	
OK	w113:66	
OK	w113:711	
OK	w113:707	
OK	w113:83	
OK	w114:194	
OK	w112:616	
OK	w114:315	
OK	w114:319	
