job_id	out_idx	verdict	cone_size	required	detail
w0:153	0	LOWERFAIL			BUILD:SKIP
w10:134	0	LOWERFAIL			BUILD:SKIP
w10:221	0	COMPOSITIONAL	1	n0	
w10:641	2	LOWERFAIL			BUILD:SKIP
w100:423	0	LOWERFAIL			BUILD:SKIP
w101:483	3	SIBLING_DEPENDENT	4	n3	
w102:30	0	OPERATOR	2		
w102:85	3	OPERATOR	3		
w103:242	3	SIBLING_DEPENDENT	4	n2,n5	
w103:246	0	SIBLING_DEPENDENT	2	n7	
w103:533	0	OPERATOR	1		
w103:712	0	COMPOSITIONAL	3	n0	
w103:9	0	OPERATOR	1		
w105:126	0	LOWERFAIL			BUILD:SKIP
w105:444	2	LOWERFAIL			BUILD:SKIP
w105:594	4	LOWERFAIL			BUILD:SKIP
w107:194	1	COMPOSITIONAL	2	n3,n0	
w107:543	2	SIBLING_DEPENDENT	4	n6	
w107:647	0	LOWERFAIL			BUILD:SKIP
w108:526	0	COMPOSITIONAL	4	n2,n3	
w108:759	1	LOWERFAIL			BUILD:SKIP
w109:116	2	OPERATOR	2		
w111:215	0	OPERATOR	1		
w111:550	3	SIBLING_DEPENDENT	3	n3	
w112:355	1	LOWERFAIL			BUILD:SKIP
w113:293	1	COMPOSITIONAL	3	n5	
w113:537	1	LOWERFAIL			BUILD:SKIP
w113:682	0	LOWERFAIL			BUILD:SKIP
w114:228	3	LOWERFAIL			BUILD:SKIP
w115:71	1	LOWERFAIL			BUILD:SKIP
w115:79	1	SIBLING_DEPENDENT	4	n1	
w116:264	2	ERROR			DEV:CRASH
w116:315	2	LOWERFAIL			BUILD:SKIP
w116:619	0	OPERATOR	2		
w116:92	0	LOWERFAIL			BUILD:SKIP
w117:243	2	OPERATOR	3		
w117:44	3	LOWERFAIL			BUILD:SKIP
w117:608	2	LOWERFAIL			BUILD:SKIP
w118:433	1	SIBLING_DEPENDENT	4	n2	
w118:563	3	OPERATOR	3		
w119:744	0	OPERATOR	1		
w12:235	3	LOWERFAIL			BUILD:SKIP
w12:533	2	SIBLING_DEPENDENT	3	n12	
w120:742	0	OPERATOR	1		
w121:351	2	LOWERFAIL			BUILD:SKIP
w121:588	0	COMPOSITIONAL	1	n0	
w122:702	2	SIBLING_DEPENDENT	2	n1	
w123:315	3	LOWERFAIL			BUILD:SKIP
w123:323	1	SIBLING_DEPENDENT	3	n7	
w123:36	1	LOWERFAIL			BUILD:SKIP
w123:49	0	SIBLING_DEPENDENT	3	n6,n7	
w123:500	2	OPERATOR	3		
w0:153	0	DEV:TIMEOUT			DEV:TIMEOUT
w10:134	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w10:641	2	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w100:423	0	CONE_LOCAL_CANT_SPLIT	1		cone_build_skip
w105:126	0	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w105:444	2	CONE_LOCAL_CANT_SPLIT	6		cone_build_skip
w105:594	4	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w107:647	0	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w108:759	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w112:355	1	CONE_LOCAL_CANT_SPLIT	6		cone_build_skip
w113:537	1	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w113:682	0	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
