job_id	out	verdict	required	mechanism	sample
w0:36	2	SIBLING_DEPENDENT	n4	ZEROED	eager=[1.0, 1.0] et=[0.0, 0.0]
w100:160	3	SIBLING_DEPENDENT	n4	REF-NONFINITE (filter)	eager=[nan, 1.542969] et=[inf, 1.542969]
w100:269	0	SIBLING_DEPENDENT	n7	ZEROED	eager=[-0.482491, 1.110353] et=[0.0, 0.0]
w100:284	1	SIBLING_DEPENDENT	n1	REF-NONFINITE (filter)	eager=[nan, -5.967278, nan, 0.462982] et=[nan, -5.96875, nan, 0.462891]
w100:443	0	SIBLING_DEPENDENT	n6	WRONG-VALUE	eager=[0.0, 0.0, 0.0, 0.0] et=[1.0, 0.0, 1.0, 0.0]
w100:723	1	COMPOSITIONAL	n2	SCALE:0	eager=[1.0, 0.0, 0.0, 0.0] et=[0.0, 1.0, 1.0, 1.0]
w100:76	0	COMPOSITIONAL	n2,n1	SCALE:0.5	eager=[1.268577] et=[0.634277]
w101:263	3	COMPOSITIONAL	n2,n3,n1	SCALE:0.5	eager=[2.0] et=[1.0]
w101:39	2	SIBLING_DEPENDENT	n3,n4	WRONG-VALUE	eager=[1.424285, 1.110353] et=[0.510128, 0.661114]
w101:410	0	SIBLING_DEPENDENT	n5	ZEROED	eager=[-0.266521, -0.495666] et=[0.0, 0.0]
w101:421	3	COMPOSITIONAL	n3	ZEROED	eager=[3.0] et=[0.0]
w101:440	1	COMPOSITIONAL	n1	WRONG-VALUE	eager=[0.527364, 0.872722, -1.400087, 1.404687] et=[0.527344, 0.872559, -1.400391, 1.404297]
w101:483	3	SIBLING_DEPENDENT	n3	NEAR-TOL (gate N>=5)	eager=[-1.0, -5.0, -1.0, -1.0] et=[-1.0, -5.0, -1.0, -1.0]
w101:701	2	COMPOSITIONAL	n5	SCALE:0.75	eager=[6.0] et=[4.5]
w102:100	0	COMPOSITIONAL	n3,n1,n2	ZEROED	eager=[1.0, 1.0, 1.0, 1.0] et=[0.0, 0.0, 0.0, 0.0]
w102:159	1	COMPOSITIONAL	n0	ZEROED	eager=[1.0] et=[0.0]
w102:576	3	COMPOSITIONAL	n4,n3	SCALE:0.506	eager=[0.158325] et=[0.080139]
w103:127	0	SIBLING_DEPENDENT	n4	REF-NONFINITE (filter)	eager=[nan] et=[65504.0]
w103:242	3	SIBLING_DEPENDENT	n2,n5	ZEROED	eager=[0.0, 1.110353, 0.934016, 1.163586] et=[0.0, 0.0, 0.0, 0.0]
w103:246	0	SIBLING_DEPENDENT	n7	ZEROED	eager=[1.0, 1.0, 1.0, 1.0] et=[-0.0, -0.0, -0.0, 0.0]
w103:272	2	COMPOSITIONAL	n2	NEAR-TOL (gate N>=5)	eager=[3.711239, 3.604401, 1.433443, -0.709254] et=[3.712891, 3.605469, 1.4375, -0.709473]
w103:383	0	COMPOSITIONAL	n1,n2	SCALE:0.499	eager=[1.865567] et=[0.931641]
w103:475	1	SIBLING_DEPENDENT	n3	ZEROED	eager=[-0.482491] et=[0.0]
w103:712	0	COMPOSITIONAL	n0	WRONG-VALUE	eager=[1.0, 1.0, -1.0, -1.000005] et=[1.0, 1.0, -1.0, -1.037109]
