job_id	op	status	cm_bucket	cm_compute	cm_all	leaf_nonfinite	note
w0:103	_fft_r2c	CRASH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w0:771	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w101:100	arange.start_out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w101:694	_fft_r2c	CRASH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w102:608	bitwise_right_shift.Tensor_Scalar	MISMATCH	NO-CM			False	
w103:556	scatter.src_out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w104:613	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w105:625	stack	SKIP	NO-CM			False	
w106:545	max_pool2d_with_indices_backward.grad_input	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w107:493	stack	SKIP	NO-CM			False	
w108:390	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w109:348	_pdist_forward	SKIP	NO-CM			False	
w10:412	_fft_r2c	CRASH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w110:405	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w111:517	bitwise_left_shift.Tensor_out	MISMATCH	NO-CM			False	
w112:50	where.self	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w113:374	index_put	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w114:189	native_group_norm	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w115:11	min.dim_min	SKIP	NO-CM			False	
w115:669	index_put	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w116:567	div.out_mode	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w117:476	stack	SKIP	NO-CM			False	
w118:41	bitwise_left_shift.Tensor_out	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w119:362	ones.out	SKIP	NO-CM			False	
w11:247	full.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w120:260	stack	SKIP	NO-CM			False	
w121:273	arange.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w121:781	linear.out	CRASH	NO-CM			False	
w122:668	stack	SKIP	NO-CM			False	
w123:748	permute_copy	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w124:705	fill.Scalar	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w125:660	index_put	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w126:567	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w127:702	remainder.Scalar_out	MISMATCH	NO-CM			False	
w12:60	_pdist_forward	SKIP	NO-CM			False	
w13:451	full.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w14:477	bitwise_right_shift.Tensor_Scalar	MISMATCH	NO-CM			False	
w15:379	bitwise_right_shift.Tensor_out	MISMATCH	NO-CM			False	
w16:305	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w17:232	native_group_norm	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w18:107	bitwise_right_shift.Tensor_Scalar_out	MISMATCH	NO-CM			False	
w19:100	narrow_copy	SKIP	NO-CM			False	
w19:73	full.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w20:12	arange.out	SKIP	NO-CM			False	
w20:747	masked_scatter	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w21:725	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w22:65	linear	CRASH	NO-CM			False	
w23:628	native_group_norm	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w24:632	linear	CRASH	NO-CM			False	
w25:486	prod.int_out	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w26:491	logical_xor	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w27:325	arange.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w28:177	zeros.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w28:779	arange.start_out	SKIP	NO-CM			False	
w29:75	pixel_unshuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w2:727	bitwise_right_shift.Tensor_out	MISMATCH	NO-CM			False	
w30:614	bitwise_right_shift.Tensor_Scalar	MISMATCH	NO-CM			False	
w31:550	arange.start_out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w32:563	linear.out	CRASH	NO-CM			False	
w33:40	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w34:301	minimum.out	SKIP	CM-COMPUTE	minimum	minimum	False	
w35:271	pixel_unshuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w36:215	remainder.Tensor_out	MISMATCH	NO-CM			False	
w37:13	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w38:12	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w38:753	transpose_copy.int	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w39:708	fill.Scalar	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w3:773	zeros.out	SKIP	NO-CM			False	
w40:80	bitwise_left_shift.Tensor_Scalar_out	MISMATCH	NO-CM			False	
w41:777	arange.start_out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w42:612	topk.values	SKIP	NO-CM			False	
w43:541	scatter.src_out	SKIP	NO-CM			False	
w44:598	stack	SKIP	NO-CM			False	
w45:678	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w46:677	ones.out	SKIP	NO-CM			False	
w47:600	arange.start_out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w48:547	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w49:461	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w4:298	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w50:269	full.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w51:310	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w52:197	ones.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w53:198	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w53:70	pixel_unshuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w54:70	fmod.Scalar	MISMATCH	NO-CM			False	
w55:676	arange.out	SKIP	NO-CM			False	
w56:70	linear.out	CRASH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w57:696	native_group_norm	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w58:62	zeros.out	SKIP	NO-CM			False	
w59:618	arange.start_out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w5:619	index_put	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
