[feed] 61735 jobs → broker 127.0.0.1:15664 (window=64, timeout=300s)
  [t=   3s] 0/61735 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=64
  [t=   6s] 0/61735 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=64
  [t=   9s] 0/61735 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=64
  [t=  12s] 0/61735 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=64
  [t=  15s] 0/61735 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=64
  [t=  18s] 0/61735 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=64
  [t=  21s] 0/61735 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=64
  [t=  24s] 0/61735 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=64
  [t=  27s] 0/61735 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=64
  [t=  30s] 0/61735 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=64
  [t=  33s] 0/61735 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=64
  [t=  36s] 0/61735 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=64
  [t=  39s] 0/61735 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=64
  [t=  42s] 0/61735 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=64
  [t=  45s] 0/61735 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=64
  [t=  48s] 0/61735 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=64
  [t=  51s] 0/61735 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=64
  [2] CRASH    w0:132 fvp_runner rc=5: >> building runner: backend=cortex-m target=cortex-m55 ops=28dc
  [t=  54s] 2/61735 ( 0.0/s)  ok=1 mism=0 crash=1 timeout=0 skip=0  |  inflight=63
  [4] MISMATCH w0:11 out[0] max|delta|=3.777e+00 (rtol=0.01 atol=0.001)
  [10] CRASH    w0:103 fvp_runner rc=5: >> building runner: backend=cortex-m target=cortex-m55 ops=1038
  [t=  58s] 12/61735 ( 0.2/s)  ok=8 mism=1 crash=2 timeout=0 skip=1  |  inflight=64
  [t=  61s] 21/61735 ( 0.3/s)  ok=16 mism=1 crash=2 timeout=0 skip=2  |  inflight=63
  [t=  64s] 45/61735 ( 0.7/s)  ok=38 mism=1 crash=2 timeout=0 skip=4  |  inflight=63
  [t=  67s] 48/61735 ( 0.7/s)  ok=41 mism=1 crash=2 timeout=0 skip=4  |  inflight=64
  [t=  70s] 48/61735 ( 0.7/s)  ok=41 mism=1 crash=2 timeout=0 skip=4  |  inflight=64
  [t=  73s] 48/61735 ( 0.7/s)  ok=41 mism=1 crash=2 timeout=0 skip=4  |  inflight=64
  [t=  76s] 48/61735 ( 0.6/s)  ok=41 mism=1 crash=2 timeout=0 skip=4  |  inflight=64
  [t=  79s] 48/61735 ( 0.6/s)  ok=41 mism=1 crash=2 timeout=0 skip=4  |  inflight=64
  [t=  82s] 48/61735 ( 0.6/s)  ok=41 mism=1 crash=2 timeout=0 skip=4  |  inflight=64
  [t=  85s] 48/61735 ( 0.6/s)  ok=41 mism=1 crash=2 timeout=0 skip=4  |  inflight=64
  [t=  88s] 48/61735 ( 0.5/s)  ok=41 mism=1 crash=2 timeout=0 skip=4  |  inflight=64
  [t=  91s] 48/61735 ( 0.5/s)  ok=41 mism=1 crash=2 timeout=0 skip=4  |  inflight=64
  [t=  94s] 48/61735 ( 0.5/s)  ok=41 mism=1 crash=2 timeout=0 skip=4  |  inflight=64
  [t=  97s] 48/61735 ( 0.5/s)  ok=41 mism=1 crash=2 timeout=0 skip=4  |  inflight=64
  [t= 100s] 48/61735 ( 0.5/s)  ok=41 mism=1 crash=2 timeout=0 skip=4  |  inflight=64
  [t= 103s] 48/61735 ( 0.5/s)  ok=41 mism=1 crash=2 timeout=0 skip=4  |  inflight=64
  [t= 106s] 48/61735 ( 0.5/s)  ok=41 mism=1 crash=2 timeout=0 skip=4  |  inflight=64
  [t= 109s] 48/61735 ( 0.4/s)  ok=41 mism=1 crash=2 timeout=0 skip=4  |  inflight=64
  [t= 112s] 48/61735 ( 0.4/s)  ok=41 mism=1 crash=2 timeout=0 skip=4  |  inflight=64
  [t= 115s] 48/61735 ( 0.4/s)  ok=41 mism=1 crash=2 timeout=0 skip=4  |  inflight=64
  [t= 118s] 65/61735 ( 0.6/s)  ok=58 mism=1 crash=2 timeout=0 skip=4  |  inflight=64
  [t= 121s] 69/61735 ( 0.6/s)  ok=61 mism=1 crash=2 timeout=0 skip=5  |  inflight=64
  [t= 124s] 91/61735 ( 0.7/s)  ok=82 mism=1 crash=2 timeout=0 skip=6  |  inflight=63
  [t= 128s] 96/61735 ( 0.8/s)  ok=87 mism=1 crash=2 timeout=0 skip=6  |  inflight=64
  [t= 131s] 96/61735 ( 0.7/s)  ok=87 mism=1 crash=2 timeout=0 skip=6  |  inflight=64
  [t= 134s] 96/61735 ( 0.7/s)  ok=87 mism=1 crash=2 timeout=0 skip=6  |  inflight=64
  [t= 137s] 96/61735 ( 0.7/s)  ok=87 mism=1 crash=2 timeout=0 skip=6  |  inflight=64
  [t= 140s] 96/61735 ( 0.7/s)  ok=87 mism=1 crash=2 timeout=0 skip=6  |  inflight=64
  [t= 143s] 96/61735 ( 0.7/s)  ok=87 mism=1 crash=2 timeout=0 skip=6  |  inflight=64
  [t= 146s] 96/61735 ( 0.7/s)  ok=87 mism=1 crash=2 timeout=0 skip=6  |  inflight=64
  [t= 149s] 96/61735 ( 0.6/s)  ok=87 mism=1 crash=2 timeout=0 skip=6  |  inflight=64
  [t= 152s] 96/61735 ( 0.6/s)  ok=87 mism=1 crash=2 timeout=0 skip=6  |  inflight=64
  [t= 155s] 96/61735 ( 0.6/s)  ok=87 mism=1 crash=2 timeout=0 skip=6  |  inflight=64
  [t= 158s] 96/61735 ( 0.6/s)  ok=87 mism=1 crash=2 timeout=0 skip=6  |  inflight=64
  [t= 161s] 96/61735 ( 0.6/s)  ok=87 mism=1 crash=2 timeout=0 skip=6  |  inflight=64
  [t= 164s] 96/61735 ( 0.6/s)  ok=87 mism=1 crash=2 timeout=0 skip=6  |  inflight=64
  [t= 167s] 96/61735 ( 0.6/s)  ok=87 mism=1 crash=2 timeout=0 skip=6  |  inflight=64
  [t= 170s] 96/61735 ( 0.6/s)  ok=87 mism=1 crash=2 timeout=0 skip=6  |  inflight=64
  [t= 173s] 96/61735 ( 0.6/s)  ok=87 mism=1 crash=2 timeout=0 skip=6  |  inflight=64
  [t= 176s] 102/61735 ( 0.6/s)  ok=93 mism=1 crash=2 timeout=0 skip=6  |  inflight=64
  [t= 180s] 106/61735 ( 0.6/s)  ok=97 mism=1 crash=2 timeout=0 skip=6  |  inflight=64
  [t= 183s] 131/61735 ( 0.7/s)  ok=120 mism=1 crash=2 timeout=0 skip=8  |  inflight=64
  [138] MISMATCH w0:309 out[0] max|delta|=1.302e-01 (rtol=0.01 atol=0.001)
  [t= 186s] 144/61735 ( 0.8/s)  ok=131 mism=2 crash=2 timeout=0 skip=9  |  inflight=64
  [t= 189s] 144/61735 ( 0.8/s)  ok=131 mism=2 crash=2 timeout=0 skip=9  |  inflight=64
  [t= 192s] 144/61735 ( 0.7/s)  ok=131 mism=2 crash=2 timeout=0 skip=9  |  inflight=64
  [t= 195s] 144/61735 ( 0.7/s)  ok=131 mism=2 crash=2 timeout=0 skip=9  |  inflight=64
  [t= 198s] 144/61735 ( 0.7/s)  ok=131 mism=2 crash=2 timeout=0 skip=9  |  inflight=64
  [t= 201s] 144/61735 ( 0.7/s)  ok=131 mism=2 crash=2 timeout=0 skip=9  |  inflight=64
  [t= 204s] 144/61735 ( 0.7/s)  ok=131 mism=2 crash=2 timeout=0 skip=9  |  inflight=64
  [t= 207s] 144/61735 ( 0.7/s)  ok=131 mism=2 crash=2 timeout=0 skip=9  |  inflight=64
  [t= 210s] 144/61735 ( 0.7/s)  ok=131 mism=2 crash=2 timeout=0 skip=9  |  inflight=64
  [t= 213s] 144/61735 ( 0.7/s)  ok=131 mism=2 crash=2 timeout=0 skip=9  |  inflight=64
  [t= 216s] 144/61735 ( 0.7/s)  ok=131 mism=2 crash=2 timeout=0 skip=9  |  inflight=64
  [t= 219s] 144/61735 ( 0.7/s)  ok=131 mism=2 crash=2 timeout=0 skip=9  |  inflight=64
  [t= 222s] 144/61735 ( 0.6/s)  ok=131 mism=2 crash=2 timeout=0 skip=9  |  inflight=64
  [t= 225s] 144/61735 ( 0.6/s)  ok=131 mism=2 crash=2 timeout=0 skip=9  |  inflight=64
  [t= 228s] 144/61735 ( 0.6/s)  ok=131 mism=2 crash=2 timeout=0 skip=9  |  inflight=64
  [t= 231s] 147/61735 ( 0.6/s)  ok=134 mism=2 crash=2 timeout=0 skip=9  |  inflight=64
  [150] CRASH    w0:331 fvp_runner rc=5: >> building runner: backend=cortex-m target=cortex-m55 ops=1038
  [t= 235s] 150/61735 ( 0.6/s)  ok=136 mism=2 crash=3 timeout=0 skip=9  |  inflight=64
  [152] MISMATCH w0:323 out[0] max|delta|=1.111e+00 (rtol=0.01 atol=0.001)
  [155] CRASH    w0:360 fvp_runner rc=5: >> building runner: backend=cortex-m target=cortex-m55 ops=b070
  [t= 238s] 155/61735 ( 0.7/s)  ok=139 mism=3 crash=4 timeout=0 skip=9  |  inflight=64
  [t= 241s] 155/61735 ( 0.6/s)  ok=139 mism=3 crash=4 timeout=0 skip=9  |  inflight=64
  [t= 244s] 158/61735 ( 0.6/s)  ok=142 mism=3 crash=4 timeout=0 skip=9  |  inflight=64
  [172] MISMATCH w0:355 out[0] max|delta|=1.280e+02 (rtol=0.0 atol=0.0)
  [t= 247s] 175/61735 ( 0.7/s)  ok=157 mism=4 crash=4 timeout=0 skip=10  |  inflight=64
  [t= 250s] 190/61735 ( 0.8/s)  ok=169 mism=4 crash=4 timeout=0 skip=13  |  inflight=63
  [t= 253s] 192/61735 ( 0.8/s)  ok=171 mism=4 crash=4 timeout=0 skip=13  |  inflight=64
  [t= 256s] 192/61735 ( 0.7/s)  ok=171 mism=4 crash=4 timeout=0 skip=13  |  inflight=64
  [t= 259s] 192/61735 ( 0.7/s)  ok=171 mism=4 crash=4 timeout=0 skip=13  |  inflight=64
  [t= 262s] 192/61735 ( 0.7/s)  ok=171 mism=4 crash=4 timeout=0 skip=13  |  inflight=64
  [t= 265s] 192/61735 ( 0.7/s)  ok=171 mism=4 crash=4 timeout=0 skip=13  |  inflight=64
  [t= 269s] 192/61735 ( 0.7/s)  ok=171 mism=4 crash=4 timeout=0 skip=13  |  inflight=64
  [t= 272s] 192/61735 ( 0.7/s)  ok=171 mism=4 crash=4 timeout=0 skip=13  |  inflight=64
  [t= 275s] 192/61735 ( 0.7/s)  ok=171 mism=4 crash=4 timeout=0 skip=13  |  inflight=64
  [t= 278s] 192/61735 ( 0.7/s)  ok=171 mism=4 crash=4 timeout=0 skip=13  |  inflight=64
  [t= 281s] 192/61735 ( 0.7/s)  ok=171 mism=4 crash=4 timeout=0 skip=13  |  inflight=64
  [t= 284s] 192/61735 ( 0.7/s)  ok=171 mism=4 crash=4 timeout=0 skip=13  |  inflight=64
  [t= 287s] 192/61735 ( 0.7/s)  ok=171 mism=4 crash=4 timeout=0 skip=13  |  inflight=64
  [t= 290s] 192/61735 ( 0.7/s)  ok=171 mism=4 crash=4 timeout=0 skip=13  |  inflight=64
  [t= 293s] 192/61735 ( 0.7/s)  ok=171 mism=4 crash=4 timeout=0 skip=13  |  inflight=64
  [t= 296s] 198/61735 ( 0.7/s)  ok=177 mism=4 crash=4 timeout=0 skip=13  |  inflight=63
  [t= 299s] 202/61735 ( 0.7/s)  ok=180 mism=4 crash=4 timeout=0 skip=14  |  inflight=64
  [t= 302s] 202/61735 ( 0.7/s)  ok=180 mism=4 crash=4 timeout=0 skip=14  |  inflight=64
  [t= 305s] 207/61735 ( 0.7/s)  ok=185 mism=4 crash=4 timeout=0 skip=14  |  inflight=64
  [t= 308s] 209/61735 ( 0.7/s)  ok=187 mism=4 crash=4 timeout=0 skip=14  |  inflight=64
  [t= 311s] 219/61735 ( 0.7/s)  ok=195 mism=4 crash=4 timeout=0 skip=16  |  inflight=63
  [t= 315s] 223/61735 ( 0.7/s)  ok=199 mism=4 crash=4 timeout=0 skip=16  |  inflight=64
  [t= 318s] 240/61735 ( 0.8/s)  ok=216 mism=4 crash=4 timeout=0 skip=16  |  inflight=64
  [t= 321s] 240/61735 ( 0.7/s)  ok=216 mism=4 crash=4 timeout=0 skip=16  |  inflight=64
  [t= 324s] 240/61735 ( 0.7/s)  ok=216 mism=4 crash=4 timeout=0 skip=16  |  inflight=64
  [t= 327s] 240/61735 ( 0.7/s)  ok=216 mism=4 crash=4 timeout=0 skip=16  |  inflight=64
  [t= 330s] 240/61735 ( 0.7/s)  ok=216 mism=4 crash=4 timeout=0 skip=16  |  inflight=64
  [t= 333s] 240/61735 ( 0.7/s)  ok=216 mism=4 crash=4 timeout=0 skip=16  |  inflight=64
  [t= 336s] 240/61735 ( 0.7/s)  ok=216 mism=4 crash=4 timeout=0 skip=16  |  inflight=64
  [t= 339s] 240/61735 ( 0.7/s)  ok=216 mism=4 crash=4 timeout=0 skip=16  |  inflight=64
  [t= 342s] 241/61735 ( 0.7/s)  ok=217 mism=4 crash=4 timeout=0 skip=16  |  inflight=64
  [t= 345s] 241/61735 ( 0.7/s)  ok=217 mism=4 crash=4 timeout=0 skip=16  |  inflight=64
  [t= 349s] 242/61735 ( 0.7/s)  ok=218 mism=4 crash=4 timeout=0 skip=16  |  inflight=64
  [t= 352s] 244/61735 ( 0.7/s)  ok=220 mism=4 crash=4 timeout=0 skip=16  |  inflight=64
  [t= 355s] 244/61735 ( 0.7/s)  ok=220 mism=4 crash=4 timeout=0 skip=16  |  inflight=64
  [t= 358s] 249/61735 ( 0.7/s)  ok=225 mism=4 crash=4 timeout=0 skip=16  |  inflight=63
  [t= 361s] 251/61735 ( 0.7/s)  ok=227 mism=4 crash=4 timeout=0 skip=16  |  inflight=64
  [t= 364s] 253/61735 ( 0.7/s)  ok=229 mism=4 crash=4 timeout=0 skip=16  |  inflight=64
  [t= 367s] 256/61735 ( 0.7/s)  ok=231 mism=4 crash=4 timeout=0 skip=17  |  inflight=63
  [t= 370s] 258/61735 ( 0.7/s)  ok=233 mism=4 crash=4 timeout=0 skip=17  |  inflight=63
  [259] MISMATCH w0:478 out[0] max|delta|=2.599e-01 (rtol=0.01 atol=0.001)
  [t= 374s] 261/61735 ( 0.7/s)  ok=235 mism=5 crash=4 timeout=0 skip=17  |  inflight=64
  [t= 377s] 265/61735 ( 0.7/s)  ok=239 mism=5 crash=4 timeout=0 skip=17  |  inflight=63
  [t= 380s] 270/61735 ( 0.7/s)  ok=242 mism=5 crash=4 timeout=0 skip=19  |  inflight=64
  [t= 383s] 279/61735 ( 0.7/s)  ok=250 mism=5 crash=4 timeout=0 skip=20  |  inflight=64
  [t= 386s] 285/61735 ( 0.7/s)  ok=256 mism=5 crash=4 timeout=0 skip=20  |  inflight=63
