operator                               k     OK  MISM CRASH (infra)  SKIP  TO
_fft_r2c                             442      0     0    23      23     0 419
stack                                430      0     0     0       0   430   0
pixel_shuffle                        760    371     0     0       0   389   0
pixel_unshuffle                      741    373     0     0       0   368   0
zeros.out                            345      0     0     0       0   345   0
ones.out                             339      0     0     0       0   339   0
full.out                             333      0     0     0       0   333   0
arange.start_out                     322      0     0     0       0   322   0
arange.out                           304      0     0     0       0   304   0
_pdist_forward                       342     60     0     0       0   282   0
native_group_norm                    278     42     0     0       0   236   0
index_put                            435    218   217     0       0     0   0
fill.Scalar                          348    164   184     0       0     0   0
where.self                           367    185    30     0       0   152   0
copy                                 341    168     0     0       0   173   0
bitwise_left_shift.Tensor_out        390    219   171     0       0     0   0
expand_copy                          340    185     0     0       0   155   0
bitwise_right_shift.Tensor_Scalar    442    288   154     0       0     0   0
max_pool2d_with_indices_backward.grad_input   129     11   117     0       0     1   0
linear.out                           116      0     0   116     116     0   0
scatter_add.out                      120      5     0     0       0   115   0
linear                               114      0     0   114     114     0   0
topk.values                          391    294     0     0       0    97   0
remainder.Tensor_out                 227    136    91     0       0     0   0
scatter.src_out                       85      0     0     0       0    85   0
remainder.Scalar                     227    143    84     0       0     0   0
bitwise_left_shift.Tensor_Scalar     440    369    71     0       0     0   0
permute_copy                         338    269     8     0       0    61   0
min.dim_min                          407    339     0     0       0    68   0
bitwise_right_shift.Tensor_out       393    335    58     0       0     0   0
bitwise_right_shift.Tensor_Scalar_out   408    363    45     0       0     0   0
max.dim_max                          383    338     0     0       0    45   0
minimum.out                          318    280     4     0       0    34   0
bitwise_left_shift.Tensor_Scalar_out   420    384    36     0       0     0   0
fmod.Scalar                          300    266    34     0       0     0   0
remainder.Scalar_out                 250    216    34     0       0     0   0
convolution                          234    204     0     0       0    30   0
scatter.value_out                     30      0     0     0       0    30   0
div.out_mode                         327    300    27     0       0     0   0
transpose_copy.int                   325    300     0     0       0    25   0
prod.int_out                         350    330    20     0       0     0   0
logit                                 51     33    18     0       0     0   0
mul.Scalar                           333    323     0     0       0    10   0
_upsample_bilinear2d_aa.out          443    434     9     0       0     0   0
floor_divide                         252    244     8     0       0     0   0
fmod.Tensor_out                      200    192     8     0       0     0   0
mul.out                              338    330     8     0       0     0   0
div.Scalar                           332    325     7     0       0     0   0
gather.out                             7      0     0     0       0     7   0
pow.Scalar_out                       306    299     7     0       0     0   0
logical_and.out                      352    346     6     0       0     0   0
narrow_copy                          697    691     0     0       0     6   0
floor_divide.out                     245    240     5     0       0     0   0
masked_scatter                       441    436     5     0       0     0   0
index_select.out                      66     63     3     0       0     0   0
logical_and                          322    319     3     0       0     0   0
unfold_copy                          332    329     0     0       0     3   0
_adaptive_avg_pool2d                 183    181     0     0       0     2   0
clone                                343    341     2     0       0     0   0
cumsum.out                           318    316     0     0       0     2   0
logical_xor                          344    342     2     0       0     0   0
ceil.out                             196    195     1     0       0     0   0
detach_copy                          365    364     1     0       0     0   0
logical_not                          332    331     1     0       0     0   0
logical_or.out                       342    341     1     0       0     0   0
mm.out                               348    347     0     0       0     1   0
relu                                 329    328     1     0       0     0   0
rsqrt.out                            329    328     1     0       0     0   0
sub.out                              341    340     1     0       0     0   0
sum.IntList_out                      355    354     1     0       0     0   0
unbind_copy.int                      338    337     1     0       0     0   0

TOTAL non-OK: MISMATCH=1485 CRASH=253 (infra rc5/unavail=253) SKIP=4450 TIMEOUT=419
operators with >=1 non-OK: 71
wrote /data/jwen929/mobile/findings/cortex_m/_work/nonok_jobs.json
