[feed] 6 jobs → broker 127.0.0.1:15664 (window=4, timeout=600s)
  [t=   3s] 0/6 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=   6s] 0/6 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=   9s] 0/6 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  12s] 0/6 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  15s] 0/6 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  18s] 0/6 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  21s] 0/6 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  24s] 0/6 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  27s] 0/6 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  30s] 0/6 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  33s] 0/6 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  36s] 0/6 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  39s] 0/6 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  42s] 0/6 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  45s] 0/6 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  48s] 0/6 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  51s] 0/6 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  54s] 0/6 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  57s] 0/6 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  60s] 0/6 ( 0.0/s)  ok=0 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  63s] 1/6 ( 0.0/s)  ok=1 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  66s] 1/6 ( 0.0/s)  ok=1 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  69s] 1/6 ( 0.0/s)  ok=1 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
  [t=  72s] 1/6 ( 0.0/s)  ok=1 mism=0 crash=0 timeout=0 skip=0  |  inflight=4
