op	samples	OK	MISMATCH	CRASH	SKIP	TIMEOUT
select_copy.int	431	25	0	0	406	0
_native_batch_norm_legit	430	88	341	1	0	0
max_pool2d_with_indices_backward.grad_input	293	12	0	243	38	0
topk.values	393	165	228	0	0	0
bitwise_right_shift.Tensor_Scalar	432	217	211	0	4	0
bitwise_left_shift.Tensor_Scalar	433	230	202	0	1	0
any.dims_out	869	678	0	1	190	0
clamp.Tensor_out	436	256	0	177	3	0
slice_copy.Tensor	430	254	0	0	176	0
bitwise_right_shift.Tensor_Scalar_out	429	331	98	0	0	0
bitwise_left_shift.Tensor_Scalar_out	438	351	85	1	1	0
gelu.out	430	365	65	0	0	0
min.dim_min	385	333	52	0	0	0
_native_batch_norm_legit.no_stats	428	385	43	0	0	0
max.dim_max	366	331	35	0	0	0
floor_divide.out	413	378	31	0	4	0
any.all_out	435	409	1	0	25	0
floor_divide	414	389	24	0	1	0
prod.int_out	433	413	20	0	0	0
grid_sampler_2d	265	248	16	0	1	0
sum.IntList_out	430	413	17	0	0	0
prod.out	434	417	14	1	2	0
copy	437	428	0	3	6	0
elu.out	432	423	8	0	1	0
stack	200	192	0	8	0	0
erf.out	433	425	0	2	6	0
logical_and.out	433	426	0	3	4	0
pixel_unshuffle	867	860	0	1	6	0
prod	439	432	7	0	0	0
_native_batch_norm_legit_no_training	434	428	1	1	4	0
mean.out	437	432	0	2	3	0
var.correction	435	430	0	0	5	0
logical_xor.out	436	431	0	3	2	0
narrow_copy	864	860	0	2	2	0
rsqrt.out	434	430	0	2	2	0
t_copy	435	431	0	1	3	0
abs.out	436	432	0	1	3	0
log1p.out	434	430	0	0	4	0
native_layer_norm	869	866	0	1	2	0
rsub.Scalar	427	424	3	0	0	0
unsqueeze_copy	436	433	0	1	2	0
var_mean.correction	436	433	0	1	2	0
_adaptive_avg_pool2d	432	430	0	1	1	0
replication_pad3d.out	433	431	0	1	1	0
pixel_shuffle	864	862	0	1	1	0
le.Scalar_out	434	432	0	0	2	0
amin.out	433	431	0	0	2	0
hardtanh.out	432	430	0	0	2	0
cumsum.out	375	373	0	0	2	0
where.self_out	435	433	0	0	2	0
slice_scatter	436	434	0	0	2	0
bitwise_and.Tensor_out	438	436	0	0	2	0
ceil.out	437	435	0	1	1	0
leaky_relu.out	436	434	0	1	1	0
_softmax.out	435	433	0	1	1	0
bitwise_or.Tensor_out	435	433	0	0	2	0
acos.out	435	433	0	0	2	0
tril.out	434	432	0	0	2	0
scatter.src_out	90	88	0	2	0	0
pow.Tensor_Scalar_out	435	434	0	1	0	0
logical_and	431	430	0	0	1	0
mean.dtype_out	430	429	0	0	1	0
isnan	430	429	0	0	1	0
arange.start_out	428	427	0	0	1	0
pow.Tensor_Tensor_out	349	348	0	0	1	0
replication_pad1d.out	430	429	0	0	1	0
tanh.out	432	431	0	0	1	0
flip	430	429	0	0	1	0
atanh.out	432	431	0	0	1	0
transpose_copy.int	429	428	0	0	1	0
hardtanh	427	426	0	0	1	0
permute_copy	426	425	0	0	1	0
mm.out	425	424	0	0	1	0
asinh.out	431	430	0	0	1	0
logical_not.out	434	433	0	0	1	0
lt.Tensor_out	434	433	0	0	1	0
round.out	432	431	0	1	0	0
linear	425	424	0	0	1	0
sinh.out	433	432	0	1	0	0
mul.out	431	430	0	0	1	0
sign.out	433	432	0	0	1	0
logit.out	431	430	1	0	0	0
split_with_sizes_copy	430	429	0	0	1	0
bitwise_or.Scalar_out	430	429	0	1	0	0
fmod.Scalar	415	414	0	0	1	0
logical_or.out	438	437	0	0	1	0
atan.out	438	437	0	0	1	0
mul.Scalar	435	434	1	0	0	0
reflection_pad2d.out	437	436	0	0	1	0
log2.out	435	434	0	0	1	0
clamp.out	435	434	0	0	1	0
unbind_copy.int	435	434	0	0	1	0
gt.Scalar_out	436	435	0	0	1	0
addmm.out	425	424	0	0	1	0
fill.Tensor	439	438	0	0	1	0
logical_xor	437	436	0	0	1	0
unfold_copy	435	434	0	1	0	0
bitwise_left_shift.Tensor_out	434	433	0	0	1	0
bitwise_xor.Tensor_out	434	433	0	0	1	0
