status	job	reason	graph
SKIP	w0:11	client RuntimeError: method->execute() failed with error 0x12 | [utils.h:45] SlimTensor must be contiguous [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x12	n0*=slice_copy.Tensor(L0,·,·,·,·)
MISMATCH	w0:115	out[0] shape (1,) vs (0, 0, 0, 0, 0)	n0*=min.dim_min(L0,·,·,L1,L2)
MISMATCH	w0:117	out[0] non-finite mismatch (nan/inf positions differ)	n0*=gelu.out(L0,·,·)
MISMATCH	w0:172	out[0] max|delta|=2.550e+02 (rtol=0.0 atol=0.0)	n0*=prod.out(L0,·,·)
MISMATCH	w0:196	out[0] max|delta|=7.206e+16 (rtol=0.0 atol=0.0)	n0*=bitwise_right_shift.Tensor_Scalar(L0,·)
MISMATCH	w0:226	out[0] max|delta|=2.550e+02 (rtol=0.0 atol=0.0)	n0*=prod.int_out(L0,·,·,·,·)
MISMATCH	w0:237	out[0] max|delta|=1.342e+10 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
MISMATCH	w0:321	out[0] non-finite mismatch (nan/inf positions differ)	n0*=_native_batch_norm_legit(L0,·,·,L1,L2,·,·,·)
SKIP	w0:33	client RuntimeError: method->execute() failed with error 0x12 | [utils.h:38] SlimTensor storage_offset must be 0, got 1 [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x12	n0*=select_copy.int(L0,·,·)
MISMATCH	w0:348	out[0] non-finite mismatch (nan/inf positions differ)	n0*=gelu.out(L0,·,·)
MISMATCH	w0:457	out[0] max|delta|=2.550e+02 (rtol=0.0 atol=0.0)	n0*=prod.int_out(L0,·,·,·,·)
SKIP	w0:495	client RuntimeError: method->execute() failed with error 0x12 | [utils.h:38] SlimTensor storage_offset must be 0, got 1 [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x12	n0*=select_copy.int(L0,·,·)
MISMATCH	w0:527	out[0] shape (0, 0, 0, 0) vs (0, 0, 0, 0, 0)	n0*=topk.values(L0,·,·,·,·,L1,L2)
MISMATCH	w0:552	out[0] non-finite mismatch (nan/inf positions differ)	n0*=_native_batch_norm_legit(L0,·,·,L1,L2,·,·,·)
MISMATCH	w0:6	out[0] max|delta|=1.342e+10 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
SKIP	w0:400	client RuntimeError: method->execute() failed with error 0x12 | [utils.h:55] dtype mismatch, SlimTensor dtype 11 != ETensor dtype 0 [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x12	n0*=any.dims_out(L0,·,·,·)
SKIP	w0:631	client RuntimeError: method->execute() failed with error 0x12 | [utils.h:55] dtype mismatch, SlimTensor dtype 11 != ETensor dtype 0 [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x12	n0*=any.dims_out(L0,·,·,·)
MISMATCH	w0:658	out[0] max|delta|=1.342e+10 (rtol=0.0 atol=0.0)	n0*=bitwise_right_shift.Tensor_Scalar(L0,·)
SKIP	w0:669	client RuntimeError: method->execute() failed with error 0x12 | [utils.h:55] dtype mismatch, SlimTensor dtype 11 != ETensor dtype 0 [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x12	n0*=any.all_out(L0,·)
MISMATCH	w0:713	out[0] max|delta|=1.855e-02 (rtol=0.01 atol=0.001)	n0*=_native_batch_norm_legit.no_stats(L0,·,·,·,·,·)
SKIP	w0:726	client RuntimeError: method->execute() failed with error 0x12 | [utils.h:38] SlimTensor storage_offset must be 0, got 2 [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x12	n0*=select_copy.int(L0,·,·)
MISMATCH	w0:758	out[0] shape (1, 1, 0, 1) vs (0, 0, 0, 0, 0)	n0*=topk.values(L0,·,·,·,·,L1,L2)
MISMATCH	w0:90	out[0] non-finite mismatch (nan/inf positions differ)	n0*=_native_batch_norm_legit(L0,·,·,L1,L2,·,·,·)
SKIP	w1:110	client RuntimeError: method->execute() failed with error 0x12 | [utils.h:45] SlimTensor must be contiguous [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x12	n0*=slice_copy.Tensor(L0,·,·,·,·)
SKIP	w1:132	client RuntimeError: method->execute() failed with error 0x12 | [utils.h:38] SlimTensor storage_offset must be 0, got 1 [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x12	n0*=select_copy.int(L0,·,·)
MISMATCH	w1:164	out[0] shape (0, 0, 0, 0) vs (0, 0, 0, 0, 0)	n0*=topk.values(L0,·,·,·,·,L1,L2)
MISMATCH	w1:189	out[0] non-finite mismatch (nan/inf positions differ)	n0*=_native_batch_norm_legit(L0,·,·,L1,L2,·,·,·)
MISMATCH	w1:216	out[0] non-finite mismatch (nan/inf positions differ)	n0*=gelu.out(L0,·,·)
MISMATCH	w1:309	out[0] max|delta|=1.342e+10 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar_out(L0,·,·)
SKIP	w1:341	client RuntimeError: method->execute() failed with error 0x12 | [utils.h:45] SlimTensor must be contiguous [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x12	n0*=slice_copy.Tensor(L0,·,·,·,·)
MISMATCH	w1:335	out[0] non-finite mismatch (nan/inf positions differ)	n0*=grid_sampler_2d(L0,L1,·,·,·)
MISMATCH	w1:395	out[0] shape (0, 0, 0, 0) vs (0, 0, 0, 0, 0)	n0*=topk.values(L0,·,·,·,·,L1,L2)
MISMATCH	w1:420	out[0] non-finite mismatch (nan/inf positions differ)	n0*=_native_batch_norm_legit(L0,·,·,L1,L2,·,·,·)
MISMATCH	w1:447	out[0] non-finite mismatch (nan/inf positions differ)	n0*=gelu.out(L0,·,·)
SKIP	w1:594	client RuntimeError: method->execute() failed with error 0x12 | [utils.h:38] SlimTensor storage_offset must be 0, got 1 [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x12	n0*=select_copy.int(L0,·,·)
MISMATCH	w1:626	out[0] shape (1, 1, 1) vs (0, 0, 0, 0, 0)	n0*=topk.values(L0,·,·,·,·,L1,L2)
MISMATCH	w1:651	out[0] non-finite mismatch (nan/inf positions differ)	n0*=_native_batch_norm_legit(L0,·,·,L1,L2,·,·,·)
MISMATCH	w1:74	out[0] non-finite mismatch (nan/inf positions differ)	n0*=floor_divide(L0,L1)
SKIP	w1:75	client RuntimeError: method->execute() failed with error 0x12 | [utils.h:55] dtype mismatch, SlimTensor dtype 11 != ETensor dtype 0 [method.cpp:1525] CALL_DELEGATE execute failed at instruction 0: 0x12	n0*=any.all_out(L0,·)
MISMATCH	w1:757	out[0] max|delta|=1.678e+07 (rtol=0.0 atol=0.0)	n0*=bitwise_right_shift.Tensor_Scalar(L0,·)
