status	job	reason	graph
CRASH	w0:103	fvp_runner rc=5: >> building runner: backend=ethos-u target=ethos-u55-128 ops=092cae2a (shared SDK, no fetch) ... ethos-u runner build failed (see /tmp/fvp_job_7ssczsx9/build.fail.log) 	n0*=_fft_r2c(L0,·,·,·)
SKIP	w0:144	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=64bbaae4 (shared SDK, no fetch) ... no out-*.bin produced (see /tmp/fvp_job_6p1p0p1y/uart.log) 	n0*=full.out(·,·,·)
MISMATCH	w0:11	out[0] max|delta|=3.663e+00 (rtol=0.01 atol=0.001)	n0*=detach_copy(L0)
SKIP	w0:104	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=64bbaae4 (shared SDK, no fetch) ... no out-*.bin produced (see /tmp/fvp_job_zwmep76l/uart.log) 	n0*=ones.out(·,·)
MISMATCH	w0:160	out[0] max|delta|=1.280e+02 (rtol=0.01 atol=0.001)	n0*=transpose_copy.int(L0,·,·)
SKIP	w0:167	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=0f1657e9 (shared SDK, no fetch) ... 	n0*=pixel_shuffle(L0,·)
MISMATCH	w0:17	out[0] max|delta|=2.147e+09 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
SKIP	w0:193	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=3593e1ef (shared SDK, no fetch) ... no out-*.bin produced (see /tmp/fvp_job_i1m3eyj5/uart.log) 	n0*=arange.start_out(·,·,·,·)
SKIP	w0:218	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=c1401674 (shared SDK, no fetch) ... 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w0:22	out[0] max|delta|=2.579e-01 (rtol=0.01 atol=0.001)	n0*=index_put(L0,·,L1,·)
MISMATCH	w0:245	out[0] max|delta|=1.611e+09 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
MISMATCH	w0:250	out[0] max|delta|=2.579e-01 (rtol=0.01 atol=0.001)	n0*=index_put(L0,·,L1,·)
SKIP	w0:275	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=64bbaae4 (shared SDK, no fetch) ... no out-*.bin produced (see /tmp/fvp_job_zjgh_0v4/uart.log) 	n0*=zeros.out(·,·)
SKIP	w0:264	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=a0b6643c (shared SDK, no fetch) ... 	n0*=copy(L0,L1,·)
SKIP	w0:265	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=4ca139da (shared SDK, no fetch) ... no out-*.bin produced (see /tmp/fvp_job_cqdcn5ul/uart.log) 	n0*=stack(·,·)
MISMATCH	w0:278	out[0] non-finite mismatch (nan/inf positions differ)	n0*=gelu.out(L0,·,·)
MISMATCH	w0:307	out[0] max|delta|=1.000e+00 (rtol=0.01 atol=0.001)	n0*=bitwise_right_shift.Tensor_out(L0,L1,·)
SKIP	w0:308	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=3593e1ef (shared SDK, no fetch) ... no out-*.bin produced (see /tmp/fvp_job_lol37sno/uart.log) 	n0*=arange.out(·,·)
SKIP	w0:303	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=92297ce9 (shared SDK, no fetch) ... 	n0*=_pdist_forward(L0,·)
CRASH	w0:331	fvp_runner rc=5: >> building runner: backend=ethos-u target=ethos-u55-128 ops=092cae2a (shared SDK, no fetch) ... ethos-u runner build failed (see /tmp/fvp_job_5z45_7g0/build.fail.log) 	n0*=_fft_r2c(L0,·,·,·)
SKIP	w0:332	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=64bbaae4 (shared SDK, no fetch) ... no out-*.bin produced (see /tmp/fvp_job_z8lvcswm/uart.log) 	n0*=ones.out(·,·)
MISMATCH	w0:337	out[0] max|delta|=4.000e+00 (rtol=0.0 atol=0.0)	n0*=fill.Scalar(L0,·)
MISMATCH	w0:344	out[0] max|delta|=1.280e+02 (rtol=0.01 atol=0.001)	n0*=t_copy(L0)
SKIP	w0:36	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=a0b6643c (shared SDK, no fetch) ... 	n0*=copy(L0,L1,·)
MISMATCH	w0:355	out[0] max|delta|=1.280e+02 (rtol=0.0 atol=0.0)	n0*=bitwise_right_shift.Tensor_Scalar(L0,·)
SKIP	w0:37	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=4ca139da (shared SDK, no fetch) ... no out-*.bin produced (see /tmp/fvp_job_qexabnd4/uart.log) 	n0*=stack(·,·)
SKIP	w0:372	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=64bbaae4 (shared SDK, no fetch) ... no out-*.bin produced (see /tmp/fvp_job_moope5zo/uart.log) 	n0*=full.out(·,·,·)
MISMATCH	w0:400	out[0] max|delta|=8.000e+00 (rtol=0.01 atol=0.001)	n0*=bitwise_right_shift.Tensor_Scalar_out(L0,·,·)
MISMATCH	w0:424	out[0] max|delta|=1.270e+02 (rtol=0.01 atol=0.001)	n0*=relu(L0)
MISMATCH	w0:446	out[0] non-finite mismatch (nan/inf positions differ)	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w0:47	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=64bbaae4 (shared SDK, no fetch) ... no out-*.bin produced (see /tmp/fvp_job_knox91ij/uart.log) 	n0*=zeros.out(·,·)
