status	job	reason	graph
SKIP	w0:1012	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=ca20e5ad (shared SDK, no fetch) ... 	n0=clamp.Tensor_out(L0,·,·,·) ; n1=cos.out(n0,·) ; n2=min.unary_out(n0,·) ; n3*=lift_fresh_copy(n0) ; n4=to(n2,·) ; n5=bcast(n4,·) ; n6=clampr(n5,·,·) ; n7=scatter_add.out(n1,·,n6,L1,·) ; n8*=pow.Tensor_Scalar_out(n7,·,·) ; n9*=reflection_pad2d.out(n7,·,·) ; n10*=prod(n5,·)
SKIP	w0:1019	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=d5081986 (shared SDK, no fetch) ... 	n0=log2.out(L0,·) ; n1=narrow_copy.out(n0,·,·,·,·) ; n2=cosh.out(n1,·) ; n3=bmm.out(n2,L1,·) ; n4=pixel_unshuffle(n2,·) ; n5*=acos.out(n4,·) ; n6*=mean.out(n3,·,·,·,·) ; n7*=expand_copy(n2,·,·)
SKIP	w0:109	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=061ac6c5 (shared SDK, no fetch) ... 	n0=fill.Scalar(L0,·) ; n1=abs(n0) ; n2*=native_group_norm(n0,·,·,·,·,·,·,·) ; n3=var.correction_out(n1,·,·,·,·) ; n4*=rsub.Scalar(n0,·,·) ; n5*=sinh.out(n3,·) ; n6*=any.all_out(n3,·) ; n7*=tanh.out(n1,·)
SKIP	w0:1010	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=61fb2553 (shared SDK, no fetch) ... 	n0=any.dims_out(L0,·,·,·) ; n1=log1p.out(n0,·) ; n2=floor_divide.out(n0,L1,·) ; n3*=erf.out(n2,·) ; n4*=unfold_copy(n2,·,·,·) ; n5*=floor.out(n2,·) ; n6=floor.out(n1,·) ; n7*=unsqueeze_copy(n6,·)
SKIP	w0:1013	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=9170f4ac (shared SDK, no fetch) ... 	n0=any.dims_out(L0,·,·,·) ; n1=remainder.Scalar(n0,·) ; n2*=cumsum.out(n0,·,·,·) ; n3=flip(n0,·) ; n4*=bitwise_and.Scalar(n1,·) ; n5=to(n0,·) ; n6=bcast(n5,·) ; n7*=pow.Tensor_Tensor_out(n3,n6,·) ; n8*=acosh.out(n3,·) ; n9*=unsqueeze_copy(n6,·)
SKIP	w0:102	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=ffb35645 (shared SDK, no fetch) ... 	n0=where.self_out(L0,L1,L2,·) ; n1=slice(n0,·,·,·,·) ; n2=clampr(n1,·,·) ; n3=slice(n0,·,·,·,·) ; n4=scatter.src_out(n0,·,n2,n3,·) ; n5=mul.Scalar(n0,·) ; n6=bitwise_and.Scalar(n0,·) ; n7*=eq.Tensor_out(n4,n0,n5) ; n8*=isinf(n0) ; n9*=mean.out(n6,·,·,·,·) ; n10*=bitwise_left_shift.Tensor_Scalar(n3,·)
MISMATCH	w0:1039	out[0] max|delta|=1.000e+00 (rtol=0.01 atol=0.001)	n0=bitwise_right_shift.Tensor_Scalar(L0,·) ; n1=bitwise_and.Scalar_out(n0,·,·) ; n2=mean(n0,·) ; n3*=pow.Scalar_out(·,n0,·) ; n4*=rsqrt.out(n0,·) ; n5=gelu.out(n1,·,·) ; n6*=log1p.out(n2,·) ; n7*=relu(n5)
MISMATCH	w0:1023	out[1] non-finite mismatch (nan/inf positions differ)	n0=slice_scatter(L0,L1,·,·,·,·) ; n1=sin.out(n0,·) ; n2=asin.out(n0,·) ; n3=clone(n2,·) ; n4=addmm.out(n3,L2,L3,·,·,·) ; n5*=masked_fill.Scalar(n4,L4,·) ; n6*=roll(n4,·,·) ; n7*=reciprocal.out(n1,·)
SKIP	w0:130	fvp_runner rc=2: >> building runner: backend=ethos-u target=ethos-u55-128 ops=44140fd3 (shared SDK, no fetch) ... 	n0=_softmax.out(L0,·,·,·) ; n1=index.Tensor_out(n0,·,·) ; n2*=tan.out(n1,·) ; n3=remainder.Scalar_out(n1,·,·) ; n4*=fmod.Scalar(n3,·) ; n5*=tanh.out(n3,·) ; n6*=convolution(L1,n0,·,·,·,·,·,·,·) ; n7*=constant_pad_nd(n1,·,·)
MISMATCH	w0:154	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	n0=logical_and(L0,L1) ; n1=bitwise_right_shift.Tensor_Scalar_out(n0,·,·) ; n2=logical_and.out(L2,n0,·) ; n3=atanh.out(n2,·) ; n4=mean(n2,·) ; n5*=le.Tensor_out(L3,n1,·) ; n6*=min.unary_out(n3,·) ; n7*=asinh.out(n4,·)
