status	job	reason	graph
SKIP	w0:107	executor CppException: Exception raised from amax at /data/jwen929/mobile/pytorch_ref/executorch/backends/vulkan/runtime/graph/ops/impl/Reduce.cpp:356: (false) is false! Only 1 or 2 dimensions supported	n0=log2.out(L0,·) ; n1=min.unary_out(n0,·) ; n2=sub.Scalar(n1,·,·) ; n3=glu.out(n0,·,·) ; n4*=mul.Scalar(n0,·) ; n5*=amax.out(n2,·,·,·) ; n6=to(n1,·) ; n7=bcast(n6,·) ; n8*=where.self(L1,n7,n2) ; n9*=expand_copy(n3,·,·)
SKIP	w0:112	executor CppException: Exception raised from add_native_batch_norm_node at /data/jwen929/mobile/pytorch_ref/executorch/backends/vulkan/runtime/graph/ops/impl/BatchNorm.cpp:65: (in_sizes.size() == 4) is false! BatchNorm only support 4d tensor	n0=_native_batch_norm_legit_no_training(L0,·,·,L1,L2,·,·) ; n1*=gt.Scalar_out(n0,·,·) ; n2*=floor_divide(L3,n0) ; n3=log.out(n0,·) ; n4=view_copy(n3,·) ; n5=max(n4) ; n6=bcast(n5,·) ; n7=atan2.out(n6,n0,·) ; n8*=reflection_pad2d.out(n7,·,·)
SKIP	w0:110	executor ArrayIndexOutOfBoundsException: vector	n0=mean.out(L0,·,·,·,·) ; n1*=mean.dtype_out(n0,·,·) ; n2=reciprocal.out(n0,·) ; n3=asinh.out(n0,·) ; n4=hardtanh(n2,·,·) ; n5*=sqrt.out(n4,·) ; n6=sqrt.out(n3,·) ; n7*=div.out_mode(n6,n3,·,·)
SKIP	w0:123	executor CppException: Exception raised from add_native_layer_norm_node at /data/jwen929/mobile/pytorch_ref/executorch/backends/vulkan/runtime/graph/ops/impl/NativeLayerNorm.cpp:95: native_layer_norm requires weight to be non-None	n0=log10.out(L0,·) ; n1=fmod.Scalar(n0,·) ; n2=native_layer_norm(n1,·,·,·,·) ; n3=logical_or.out(n0,n2,·) ; n4*=mul.out(n1,n3,·) ; n5=logical_or.out(n0,L1,·) ; n6*=detach_copy(n3) ; n7*=select_copy.int(n5,·,·)
SKIP	w0:125	executor CppException: Exception raised from arg_reduce_impl at /data/jwen929/mobile/pytorch_ref/executorch/backends/vulkan/runtime/graph/ops/impl/ArgReduce.cpp:28: (graph.is_buffer_storage(in)) is false! 	n0=argmax.out(L0,·,·,·) ; n1=eq.Tensor_out(n0,n0,·) ; n2=alias_copy(n1) ; n3=log2.out(n1,·) ; n4*=isnan(n3) ; n5=copy(n3,L1,·) ; n6*=ne.Tensor_out(n2,n5,·) ; n7*=maximum.out(n5,L2,·)
SKIP	w0:108	executor CppException: Exception raised from add_native_layer_norm_node at /data/jwen929/mobile/pytorch_ref/executorch/backends/vulkan/runtime/graph/ops/impl/NativeLayerNorm.cpp:95: native_layer_norm requires weight to be non-None	n0=native_layer_norm(L0,·,·,·,·) ; n1=relu(n0) ; n2=narrow_copy(n1,·,·,·) ; n3*=clone(n0,·) ; n4*=eq.Tensor_out(n1,n1,·) ; n5*=t_copy(n2) ; n6=slice(n0,·,·,·,·) ; n7=scatter.src_out(n0,·,L1,n6,·) ; n8*=logical_not.out(n7,·)
SKIP	w0:109	executor CppException: Exception raised from native_group_norm at /data/jwen929/mobile/pytorch_ref/executorch/backends/vulkan/runtime/graph/ops/impl/GroupNorm.cpp:188: (graph.val_is_tref(weight_data)) is false! 	n0=fill.Scalar(L0,·) ; n1=abs(n0) ; n2*=native_group_norm(n0,·,·,·,·,·,·,·) ; n3=var.correction_out(n1,·,·,·,·) ; n4*=rsub.Scalar(n0,·,·) ; n5*=sinh.out(n3,·) ; n6*=any.all_out(n3,·) ; n7*=tanh.out(n1,·)
SKIP	w0:111	executor CppException: Exception raised from amin at /data/jwen929/mobile/pytorch_ref/executorch/backends/vulkan/runtime/graph/ops/impl/Reduce.cpp:357: (false) is false! Only 1 or 2 dimensions supported	n0=slice_scatter(L0,L1,·,·,·,·) ; n1=mean.out(n0,·,·,·,·) ; n2=ge.Scalar_out(n0,·,·) ; n3*=round.out(n2,·) ; n4=view_copy(n2,·) ; n5*=fmod.Scalar(n4,·) ; n6*=amin.out(n1,·,·,·) ; n7*=bitwise_and.Scalar_out(n4,·,·)
SKIP	w0:128	executor CppException: Exception raised from check_binary_op_args at /data/jwen929/mobile/pytorch_ref/executorch/backends/vulkan/runtime/graph/ops/impl/BinaryOp.cpp:35: (out_sizes == broadcasted_sizes) is false! 	n0=floor_divide.out(L0,L1,·) ; n1=prod(n0,·) ; n2=isinf(n1) ; n3=leaky_relu.out(n1,·,·) ; n4=bcast(n2,·) ; n5*=logical_and(n0,n4) ; n6=to(n1,·) ; n7=bcast(n6,·) ; n8*=floor_divide(n3,n7) ; n9*=elu.out(n3,·,·,·,·) ; n10*=leaky_relu.out(n0,·,·)
SKIP	w0:133	executor ArrayIndexOutOfBoundsException: vector	n0=unbind_copy.int(L0,·) ; n1=rsub.Scalar(n0,·,·) ; n2=logical_or.out(n0,n1,·) ; n3=mean(n0,·) ; n4=bitwise_xor.Scalar_out(n2,·,·) ; n5=minimum.out(n4,n2,·) ; n6=to(n1,·) ; n7=bcast(n6,·) ; n8*=div.out_mode(n5,n7,·,·) ; n9*=unfold_copy(n3,·,·,·)
