job_id	out_idx	verdict	cone_size	required_siblings	detail
w0:117	0	OPERATOR	3		diverges alone (cone 3)
w0:14	1	OPERATOR	5		diverges alone (cone 5)
w0:147	0	OPERATOR	4		diverges alone (cone 4)
w0:15	3	OPERATOR	2		diverges alone (cone 2)
w0:160	0	GRAPHOPT	4	n7	needs siblings ['n7']
w0:176	1	OPERATOR	6		diverges alone (cone 6)
w0:181	0	OPERATOR	3		diverges alone (cone 3)
w0:196	2	OPERATOR	2		diverges alone (cone 2)
w0:206	0	OPERATOR	3		diverges alone (cone 3)
w0:207	0	GRAPHOPT	12	n8,n10,n11	needs siblings ['n8', 'n10', 'n11']
w0:215	0	OPERATOR	5		diverges alone (cone 5)
w0:22	1	OPERATOR	3		diverges alone (cone 3)
w0:235	0	OPERATOR	3		diverges alone (cone 3)
w0:243	1	OPERATOR	8		diverges alone (cone 8)
w0:245	0	OPERATOR	6		diverges alone (cone 6)
w0:259	0	OPERATOR	4		diverges alone (cone 4)
w0:278	1	OPERATOR	3		diverges alone (cone 3)
w0:282	3	GRAPHOPT	5	n5	needs siblings ['n5']
w0:293	2	OPERATOR	10		diverges alone (cone 10)
w0:305	4	NOREPRO	4		full graph diverges=False
w0:318	4	OPERATOR	5		diverges alone (cone 5)
w0:33	1	GRAPHOPT	4	n5	needs siblings ['n5']
w0:35	1	OPERATOR	5		diverges alone (cone 5)
w0:357	0	GRAPHOPT	7	n7	needs siblings ['n7']
w0:361	0	GRAPHOPT	6	n4,n7	needs siblings ['n4', 'n7']
w0:379	0	OPERATOR	2		diverges alone (cone 2)
w0:402	1	GRAPHOPT	8	n5	needs siblings ['n5']
w0:418	2	GRAPHOPT	11	n7	needs siblings ['n7']
w0:451	1	GRAPHOPT	9	n7	needs siblings ['n7']
w0:465	1	OPERATOR	4		diverges alone (cone 4)
w0:478	2	GRAPHOPT	7	n9	needs siblings ['n9']
w0:498	0	OPERATOR	3		diverges alone (cone 3)
w0:5	0	OPERATOR	5		diverges alone (cone 5)
w0:505	1	OPERATOR	4		diverges alone (cone 4)
w0:509	0	OPERATOR	5		diverges alone (cone 5)
w0:516	0	OPERATOR	3		diverges alone (cone 3)
w0:519	3	NOREPRO	6		full graph diverges=False
w0:532	3	OPERATOR	6		diverges alone (cone 6)
w0:533	0	OPERATOR	2		diverges alone (cone 2)
w0:54	2	OPERATOR	5		diverges alone (cone 5)
w0:547	2	OPERATOR	3		diverges alone (cone 3)
w0:561	0	OPERATOR	9		diverges alone (cone 9)
w0:570	1	OPERATOR	4		diverges alone (cone 4)
w0:573	0	OPERATOR	4		diverges alone (cone 4)
w0:6	1	OPERATOR	3		diverges alone (cone 3)
w0:618	0	OPERATOR	6		diverges alone (cone 6)
w0:62	3	OPERATOR	3		diverges alone (cone 3)
w0:630	0	OPERATOR	2		diverges alone (cone 2)
w0:641	0	OPERATOR	3		diverges alone (cone 3)
w0:644	2	OPERATOR	4		diverges alone (cone 4)
w0:649	1	OPERATOR	3		diverges alone (cone 3)
w0:67	3	OPERATOR	4		diverges alone (cone 4)
w0:677	2	OPERATOR	7		diverges alone (cone 7)
w0:68	2	NOREPRO	4		full graph diverges=False
w0:680	1	OPERATOR	4		diverges alone (cone 4)
w0:684	0	OPERATOR	3		diverges alone (cone 3)
w0:7	0	OPERATOR	12		diverges alone (cone 12)
w0:70	0	OPERATOR	2		diverges alone (cone 2)
w0:705	0	OPERATOR	2		diverges alone (cone 2)
w0:706	0	OPERATOR	4		diverges alone (cone 4)
w0:732	0	OPERATOR	2		diverges alone (cone 2)
w0:740	0	OPERATOR	4		diverges alone (cone 4)
w0:750	0	OPERATOR	2		diverges alone (cone 2)
