op	total	delegated	portable
narrow_copy	876	0	876
slice_scatter	445	0	445
argmax.out	445	0	445
log2.out	444	0	444
log10.out	444	0	444
log1p.out	444	0	444
unbind_copy.int	444	0	444
bitwise_not.out	444	0	444
ge.Scalar_out	444	0	444
_upsample_bilinear2d_aa.out	443	0	443
logical_xor.out	443	0	443
bitwise_and.Tensor_out	443	0	443
masked_scatter	443	0	443
gt.Scalar_out	443	0	443
logical_xor	443	0	443
unfold_copy	443	0	443
_fft_r2c	442	0	442
erf.out	442	0	442
min.unary_out	442	0	442
narrow_copy.out	442	0	442
max	442	0	442
max.unary_out	442	0	442
sqrt.out	442	0	442
bitwise_and.Scalar_out	441	0	441
maximum.out	441	0	441
bitwise_xor.Scalar_out	441	0	441
bitwise_left_shift.Tensor_out	441	0	441
clone	441	0	441
elu.out	440	0	440
bitwise_left_shift.Tensor_Scalar	440	0	440
isinf	440	0	440
argmin.out	440	0	440
le.Scalar_out	440	0	440
ne.Scalar_out	440	0	440
bitwise_right_shift.Tensor_out	440	0	440
cumsum.out	439	0	439
bitwise_right_shift.Tensor_Scalar	439	0	439
bitwise_right_shift.Tensor_Scalar_out	439	0	439
bitwise_left_shift.Tensor_Scalar_out	439	0	439
diagonal_copy	439	0	439
cosh.out	439	0	439
_pdist_forward	439	0	439
log.out	438	0	438
alias_copy	438	0	438
lift_fresh_copy	438	0	438
atanh.out	438	0	438
gt.Tensor_out	438	0	438
sign.out	438	0	438
detach_copy	438	0	438
var.correction_out	438	0	438
abs.out	438	0	438
index_put	438	0	438
sum.IntList_out	438	0	438
bitwise_or.Scalar_out	438	0	438
bitwise_xor.Scalar	437	0	437
prod	437	0	437
bitwise_xor.Tensor_out	437	0	437
floor.out	437	0	437
_adaptive_avg_pool2d	437	0	437
amax.out	437	0	437
ne.Tensor_out	437	0	437
minimum.out	437	0	437
sinh.out	437	0	437
ge.Tensor_out	437	0	437
_native_batch_norm_legit.no_stats	437	0	437
tan.out	436	0	435
isnan	436	0	436
split_copy.Tensor	436	0	436
bitwise_or.Tensor_out	436	0	436
exp.out	436	0	436
acos.out	436	0	436
round.out	436	0	436
trunc.out	436	0	436
asin.out	436	0	436
acosh.out	436	0	436
var_mean.correction	436	0	436
atan.out	436	0	436
_cdist_forward	436	0	436
min	436	0	436
remainder.Scalar	435	0	435
asinh.out	435	0	435
amin.out	435	0	435
expm1.out	435	0	435
index.Tensor_out	435	0	435
bitwise_or.Scalar	435	0	435
atan2.out	435	0	435
bitwise_and.Scalar	434	0	434
var.correction	434	0	434
fmod.Scalar_out	434	0	434
remainder.Tensor_out	434	0	434
flip	433	0	433
le.Tensor_out	433	0	433
remainder.Scalar_out	432	0	432
prod.int_out	432	0	432
fmod.Tensor_out	426	0	426
fmod.Scalar	418	0	418
replication_pad2d.out	416	416	0
replication_pad1d.out	416	416	0
replication_pad3d.out	414	414	0
t_copy	403	45	358
abs	393	0	393
transpose_copy.int	364	20	344
glu.out	351	351	0
zeros.out	331	331	0
constant_pad_nd	324	324	0
fill.Scalar	316	316	0
sigmoid.out	311	311	0
ones.out	308	308	0
native_group_norm	308	308	0
full.out	308	308	0
squeeze_copy.dim	308	308	0
div.out	304	304	0
arange.out	303	303	0
linear	294	294	0
max_pool2d_with_indices_backward.grad_input	283	0	0
slice_copy.Tensor	273	16	257
tanh.out	265	265	0
grid_sampler_2d	259	0	259
roll	255	250	5
expand_copy	254	254	0
squeeze_copy.dims	246	246	0
native_layer_norm	243	243	0
pixel_unshuffle	243	243	0
mm.out	234	234	0
neg.out	226	226	0
bmm.out	221	221	0
copy	217	217	0
any.dims_out	203	203	0
view_copy	202	202	0
permute_copy	192	192	0
rsqrt.out	179	179	0
reciprocal.out	177	177	0
mul.out	175	175	0
eq.Tensor_out	168	168	0
select_copy.int	168	168	0
pow.Tensor_Scalar_out	164	164	0
unsqueeze_copy	160	160	0
mean.dtype_out	155	155	0
relu	153	153	0
mul.Scalar	143	143	0
convolution	141	141	0
div.Scalar	141	141	0
leaky_relu.out	135	135	0
mean	134	134	0
_softmax.out	126	126	0
div.out_mode	120	120	0
scatter_add.out	117	0	117
index_select	105	0	105
gelu.out	103	103	0
clamp.out	86	86	0
arange.start_out	85	85	0
hardtanh	84	84	0
hardtanh.out	83	83	0
scatter.src_out	69	0	69
index_select.out	67	0	67
clamp.Tensor_out	66	66	0
split_with_sizes_copy	58	58	0
stack	41	41	0
pixel_shuffle	27	27	0
scatter.value_out	27	0	27
linear.out	24	24	0
rsub.Scalar	20	20	0
any.all_out	10	10	0
lt.Tensor_out	9	9	0
add.Scalar	7	7	0
sub.Scalar	6	6	0
sub.out	6	6	0
gather.out	5	0	5
_native_batch_norm_legit	3	0	0
repeat	2	2	0
avg_pool2d.out	1	1	0
