operator	k_delegated	OK	MISMATCH	CRASH	SKIP
replication_pad1d.out	416	102	9	0	305
native_group_norm	308	12	129	167	0
replication_pad3d.out	414	160	0	0	254
replication_pad2d.out	416	178	2	0	236
copy	217	0	0	217	0
roll	250	45	131	73	1
glu.out	351	152	2	197	0
fill.Scalar	316	156	49	111	0
native_layer_norm	243	84	33	126	0
div.out	304	148	1	155	0
squeeze_copy.dim	308	156	42	109	1
linear	294	142	0	152	0
tanh.out	265	118	0	147	0
sigmoid.out	311	166	0	145	0
constant_pad_nd	324	181	38	104	1
mm.out	234	101	0	133	0
squeeze_copy.dims	246	120	24	102	0
full.out	308	190	19	99	0
bmm.out	221	105	0	116	0
neg.out	226	114	0	112	0
pixel_unshuffle	243	140	20	83	0
view_copy	202	102	5	95	0
rsqrt.out	179	81	9	89	0
ones.out	308	211	0	97	0
arange.out	303	206	35	62	0
reciprocal.out	177	80	0	97	0
_softmax.out	126	30	22	74	0
gelu.out	103	7	48	48	0
mul.out	175	83	0	92	0
expand_copy	254	163	23	68	0
relu	153	63	0	90	0
permute_copy	192	103	15	74	0
convolution	141	52	6	83	0
select_copy.int	168	80	0	88	0
unsqueeze_copy	160	73	0	87	0
leaky_relu.out	135	50	0	85	0
div.Scalar	141	57	0	84	0
mean.dtype_out	155	72	0	83	0
eq.Tensor_out	168	86	0	82	0
pow.Tensor_Scalar_out	164	83	7	74	0
div.out_mode	120	42	6	72	0
zeros.out	331	257	0	74	0
mul.Scalar	143	73	1	69	0
mean	134	68	0	66	0
clamp.out	86	36	0	50	0
hardtanh.out	83	39	0	44	0
hardtanh	84	43	0	41	0
clamp.Tensor_out	66	30	0	36	0
split_with_sizes_copy	58	28	0	30	0
arange.start_out	85	62	8	15	0
t_copy	45	24	1	20	0
stack	41	23	0	18	0
transpose_copy.int	20	6	0	14	0
linear.out	24	10	0	14	0
pixel_shuffle	27	14	4	9	0
rsub.Scalar	20	9	0	11	0
slice_copy.Tensor	16	7	0	9	0
add.Scalar	7	3	1	3	0
sub.out	6	2	0	4	0
sub.Scalar	6	3	0	3	0
lt.Tensor_out	9	7	0	2	0
repeat	2	1	0	1	0
avg_pool2d.out	1	0	0	1	0
any.dims_out	203	203	0	0	0
any.all_out	10	10	0	0	0
