status	job	reason	graph
SKIP	w0:103	executor ExecutorchRuntimeException: [ExecuTorch Error 0x14] Operator missing: Execution failed for method: forward	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w0:14	out[0] max|delta|=1.611e+09 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar_out(L0,·,·)
MISMATCH	w0:166	out[0] max|delta|=1.441e+17 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
MISMATCH	w0:17	out[0] max|delta|=2.147e+09 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
SKIP	w0:206	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=replication_pad3d.out(L0,·,·)
MISMATCH	w0:232	out[0] max|delta|=1.442e+00 (rtol=0.01 atol=0.001)	n0*=roll(L0,·,·)
MISMATCH	w0:245	out[0] max|delta|=1.611e+09 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
SKIP	w0:259	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=replication_pad1d.out(L0,·,·)
MISMATCH	w0:270	out[0] max|delta|=4.000e+00 (rtol=0.0 atol=0.0)	n0*=squeeze_copy.dim(L0,·)
CRASH	w0:264	executor process died (native abort)	n0*=copy(L0,L1,·)
SKIP	w0:303	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=_pdist_forward(L0,·)
SKIP	w0:31	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=replication_pad1d.out(L0,·,·)
SKIP	w0:331	executor ExecutorchRuntimeException: [ExecuTorch Error 0x14] Operator missing: Execution failed for method: forward	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w0:337	out[0] max|delta|=4.295e+09 (rtol=0.0 atol=0.0)	n0*=fill.Scalar(L0,·)
CRASH	w0:328	executor process died (native abort)	n0*=clamp.Tensor_out(L0,·,·,·)
CRASH	w0:341	executor process died (native abort)	n0*=pixel_unshuffle(L0,·)
CRASH	w0:352	executor process died (native abort)	n0*=clamp.out(L0,·,·,·)
CRASH	w0:36	executor process died (native abort)	n0*=copy(L0,L1,·)
CRASH	w0:360	executor process died (native abort)	n0*=linear.out(L0,L1,·,·)
CRASH	w0:37	executor process died (native abort)	n0*=stack(·,·)
CRASH	w0:372	executor process died (native abort)	n0*=full.out(·,·,·)
CRASH	w0:376	executor process died (native abort)	n0*=neg.out(L0,·)
CRASH	w0:370	executor process died (native abort)	n0*=mm.out(L0,L1,·)
MISMATCH	w0:4	out[0] max|delta|=3.061e+00 (rtol=0.01 atol=0.001)	n0*=roll(L0,·,·)
CRASH	w0:238	executor unavailable	n0*=sign.out(L0,·)
MISMATCH	w0:446	out[0] non-finite mismatch (nan/inf positions differ)	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w0:460	out[0] max|delta|=4.293e+00 (rtol=0.01 atol=0.001)	n0*=roll(L0,·,·)
MISMATCH	w0:473	out[0] max|delta|=9.223e+18 (rtol=0.01 atol=0.001)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
SKIP	w0:485	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=scatter.src_out(L0,·,L1,L2,·)
SKIP	w0:487	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=replication_pad1d.out(L0,·,·)
