status	job	reason	graph
CRASH	w0:103	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_3isi_8o0/run.log) 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w0:11	out[0] max|delta|=7.297e+00 (rtol=0.01 atol=0.001)	n0*=detach_copy(L0)
MISMATCH	w0:116	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=t_copy(L0)
MISMATCH	w0:133	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=unbind_copy.int(L0,·)
MISMATCH	w0:159	out[0] max|delta|=1.000e+00 (rtol=0.01 atol=0.001)	n0*=remainder.Scalar(L0,·)
MISMATCH	w0:171	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=narrow_copy(L0,·,·,·)
MISMATCH	w0:160	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=transpose_copy.int(L0,·,·)
MISMATCH	w0:174	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=expand_copy(L0,·,·)
MISMATCH	w0:195	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=select_copy.int(L0,·,·)
CRASH	w0:218	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_d8zoszrr/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w0:22	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=index_put(L0,·,L1,·)
CRASH	w0:264	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_jl2w9a3p/run.log) 	n0*=copy(L0,L1,·)
CRASH	w0:265	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_zxw5t3xd/run.log) 	n0*=stack(·,·)
MISMATCH	w0:250	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=index_put(L0,·,L1,·)
MISMATCH	w0:261	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=narrow_copy(L0,·,·,·)
CRASH	w0:300	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_oywcfefg/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
CRASH	w0:303	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_vcfdb57a/run.log) 	n0*=_pdist_forward(L0,·)
MISMATCH	w0:298	out[0] non-finite mismatch (nan/inf positions differ)	n0*=_native_batch_norm_legit.no_stats(L0,·,·,·,·,·)
CRASH	w0:331	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_y261gzv8/run.log) 	n0*=_fft_r2c(L0,·,·,·)
CRASH	w0:36	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_cldrj3c5/run.log) 	n0*=copy(L0,L1,·)
CRASH	w0:37	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_yppw59wc/run.log) 	n0*=stack(·,·)
MISMATCH	w0:344	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=t_copy(L0)
MISMATCH	w0:361	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=unbind_copy.int(L0,·)
MISMATCH	w0:367	out[0] max|delta|=4.970e+02 (rtol=0.01 atol=0.001)	n0*=floor_divide(L0,L1)
MISMATCH	w0:423	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=select_copy.int(L0,·,·)
CRASH	w0:446	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_z0o_md5u/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w0:424	out[0] max|delta|=1.270e+02 (rtol=0.01 atol=0.001)	n0*=relu(L0)
MISMATCH	w0:45	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=linear(L0,L1,·)
CRASH	w0:493	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_r5rr_ml5/run.log) 	n0*=stack(·,·)
MISMATCH	w0:478	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=index_put(L0,·,L1,·)
MISMATCH	w0:489	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=narrow_copy(L0,·,·,·)
MISMATCH	w0:501	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=linear(L0,L1,·)
CRASH	w0:528	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_35caevg7/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
CRASH	w0:531	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_7oba301f/run.log) 	n0*=_pdist_forward(L0,·)
CRASH	w0:559	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_qjwjhp60/run.log) 	n0*=_fft_r2c(L0,·,·,·)
CRASH	w0:630	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_9r532d_r/run.log) 	n0*=expand_copy(L0,·,·)
MISMATCH	w0:616	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=transpose_copy.int(L0,·,·)
MISMATCH	w0:631	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=split_copy.Tensor(L0,·,·)
CRASH	w0:669	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_xo9rgxvs/run.log) 	n0*=convolution(L0,L1,·,·,·,·,·,·,·)
CRASH	w0:674	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_s2rgxjit/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w0:666	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=grid_sampler_2d(L0,L1,·,·,·)
CRASH	w0:721	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_ea6mqpm3/run.log) 	n0*=stack(·,·)
MISMATCH	w0:706	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=index_put(L0,·,L1,·)
MISMATCH	w0:72	out[0] non-finite mismatch (nan/inf positions differ)	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
CRASH	w0:756	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_y45ouwr7/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
CRASH	w0:759	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_czo3qk21/run.log) 	n0*=_pdist_forward(L0,·)
MISMATCH	w0:752	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=unsqueeze_copy(L0,·)
MISMATCH	w0:754	out[0] max|delta|=2.832e-02 (rtol=0.01 atol=0.001)	n0*=_native_batch_norm_legit.no_stats(L0,·,·,·,·,·)
MISMATCH	w0:769	out[0] max|delta|=7.650e+02 (rtol=0.01 atol=0.001)	n0*=mul.Scalar(L0,·)
MISMATCH	w0:85	out[0] max|delta|=1.785e+03 (rtol=0.01 atol=0.001)	n0*=mul.Scalar(L0,·)
CRASH	w1:117	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_w2ie3zta/run.log) 	n0*=_pdist_forward(L0,·)
MISMATCH	w1:114	out[0] non-finite mismatch (nan/inf positions differ)	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
CRASH	w1:145	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_l953px4l/run.log) 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w1:17	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=permute_copy(L0,·)
MISMATCH	w1:158	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=t_copy(L0)
MISMATCH	w1:237	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=select_copy.int(L0,·,·)
CRASH	w1:260	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_jpv81a7f/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w1:252	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=grid_sampler_2d(L0,L1,·,·,·)
CRASH	w1:306	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_2yhehelp/run.log) 	n0*=copy(L0,L1,·)
CRASH	w1:307	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_jv0l58mw/run.log) 	n0*=stack(·,·)
CRASH	w1:32	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_bm8xxge7/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w1:292	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=index_put(L0,·,L1,·)
CRASH	w1:342	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_gjnda6n4/run.log) 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
CRASH	w1:373	nxp_runner rc=255: runner rc=255 (see /tmp/nxp_job_h5h_tj5k/run.log) 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w1:386	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	n0*=t_copy(L0)
