job_id	operator	deleg_ops
w0:0	_adaptive_avg_pool2d	1
w0:1	narrow_copy	0
w0:2	bitwise_right_shift.Tensor_out	1
w0:3	pow.Tensor_Scalar_out	1
w0:4	remainder.Scalar	0
w0:5	grid_sampler_2d	1
w0:6	bitwise_left_shift.Tensor_Scalar	0
w0:7	replication_pad3d.out	11
w0:8	bitwise_and.Scalar	1
w0:9	logical_and	0
w0:10	neg.out	1
w0:11	slice_copy.Tensor	1
w0:12	relu	1
w0:13	mean.dtype_out	1
w0:14	sub.out	1
w0:16	constant_pad_nd	1
w0:20	_native_batch_norm_legit.no_stats	1
w0:21	pow.Tensor_Tensor_out	1
w0:22	replication_pad1d.out	3
w0:23	tanh.out	1
w0:27	flip	1
w0:28	ge.Scalar_out	2
w0:29	alias_copy	2
w0:30	atanh.out	1
w0:31	remainder.Scalar_out	0
w0:32	lift_fresh_copy	1
w0:33	select_copy.int	1
w0:35	bitwise_right_shift.Tensor_Scalar_out	1
w0:36	maximum.out	1
w0:37	div.Scalar	1
w0:39	transpose_copy.int	2
w0:40	hardtanh	1
w0:41	roll	6
w0:42	div.out_mode	1
w0:44	min	1
w0:45	permute_copy	1
w0:46	mm.out	1
w0:47	sqrt.out	2
w0:48	repeat	1
w0:50	eq.Scalar_out	2
w0:51	asinh.out	1
w0:52	narrow_copy	0
w0:53	expm1.out	0
w0:55	logical_not.out	2
w0:56	convolution	1
w0:58	glu.out	6
w0:59	logical_or	0
w0:60	remainder.Tensor_out	0
w0:61	native_group_norm	1
w0:62	squeeze_copy.dims	2
w0:63	le.Scalar_out	2
w0:65	topk.values	3
w0:66	floor.out	1
w0:67	lt.Tensor_out	2
w0:68	amin.out	1
w0:69	round.out	0
w0:70	cos.out	1
w0:71	linear	3
w0:72	sinh.out	1
w0:73	lt.Scalar_out	2
w0:76	mul.out	1
w0:77	hardtanh.out	1
w0:78	view_copy	1
w0:79	fmod.Scalar_out	2
w0:80	abs	1
w0:81	sign.out	1
w0:82	detach_copy	0
w0:83	zeros.out	1
w0:85	split_copy.Tensor	0
w0:86	minimum.out	3
w0:87	bitwise_xor.Scalar_out	1
w0:89	eq.Tensor_out	2
w0:91	native_layer_norm	1
w0:92	ones.out	1
w0:93	var.correction_out	1
w0:94	index_put	2
w0:95	sum.IntList_out	1
w0:96	logit.out	10
w0:97	reciprocal.out	1
w0:98	diagonal_copy	1
w0:100	index.Tensor_out	2
w0:101	full.out	1
w0:102	masked_fill.Scalar	2
w0:103	fill.Scalar	1
w0:104	bitwise_not.out	1
w0:105	narrow_copy.out	0
w0:108	mean	1
w0:109	squeeze_copy.dim	2
w0:110	split_with_sizes_copy	2
w0:111	bitwise_or.Scalar_out	1
w0:112	div.Scalar_mode	0
w0:113	argmin.out	1
w0:114	gt.Tensor_out	2
w0:115	min.dim_min	3
w0:116	stack	2
w0:117	gelu.out	1
w0:118	rsub.Scalar	2
w0:119	bmm.out	1
w0:120	le.Tensor_out	2
w0:121	reflection_pad2d	14
w0:122	sigmoid.out	1
w0:123	trunc.out	0
w0:124	asin.out	1
w0:125	bitwise_or.Scalar	0
w0:126	select_scatter	6
w0:127	acosh.out	1
w0:128	pow.Scalar_out	1
w0:129	where.self	1
w0:131	fmod.Scalar	1
w0:132	max.dim_max	3
w0:133	logical_or.out	1
w0:134	atan.out	0
w0:135	unsqueeze_copy	2
w0:136	max	1
w0:138	ne.Scalar_out	1
w0:139	native_group_norm	1
w0:140	cosh.out	1
w0:141	div.out	2
