operator	k_samples	deleg	portable	unknown	mism_deleg	mism_port	crash_deleg	crash_port	skip_runtime	skip_feeder	timeout	OK_est
any.dims_out	870	36	834	0	0	0	0	0	22	0	0	848
native_layer_norm	869	869	0	0	0	0	0	0	1	0	0	868
narrow_copy	864	0	864	0	0	0	0	9	1	0	0	854
pixel_unshuffle	854	854	0	0	0	0	0	0	380	0	0	474
native_group_norm	720	720	0	0	572	0	0	0	0	0	0	148
exp.out	439	439	0	0	0	0	0	0	2	0	0	437
logical_or.out	438	381	57	0	0	0	0	0	0	0	0	438
atan.out	438	3	435	0	0	0	0	0	0	0	0	438
bitwise_xor.Scalar	438	0	438	0	0	0	0	0	0	0	0	438
replication_pad2d.out	438	438	0	0	0	0	0	0	0	0	0	438
logit	438	438	0	0	0	0	0	0	2	0	0	436
bitwise_left_shift.Tensor_Scalar_out	438	278	160	0	119	72	0	0	3	0	0	244
arange.out	437	437	0	0	0	0	0	0	141	0	0	296
atan2.out	437	52	385	0	0	0	0	0	0	0	0	437
log.out	437	437	0	0	0	0	0	0	0	0	0	437
tan.out	437	437	0	0	0	0	0	0	1	0	0	436
ceil.out	437	437	0	0	0	0	0	0	0	0	0	437
prod	437	437	0	0	0	0	0	0	437	0	0	0
logical_xor	437	0	437	0	0	0	0	0	0	0	0	437
unsqueeze_copy	436	436	0	0	0	0	0	0	6	0	0	430
div.out	436	436	0	0	0	0	0	0	4	0	0	432
_pdist_forward	436	0	436	0	0	0	0	0	349	0	0	87
sin.out	436	436	0	0	0	0	0	0	1	0	0	435
_cdist_forward	436	0	436	0	0	0	0	0	0	0	0	436
mul.Scalar	436	436	0	0	0	0	0	0	7	0	0	429
clamp.Tensor_out	436	436	0	0	0	0	0	0	3	0	0	433
t_copy	436	436	0	0	348	0	0	0	6	0	0	82
abs.out	436	436	0	0	0	0	0	0	1	0	0	435
logical_xor.out	436	384	52	0	0	0	0	0	1	0	0	435
add.Scalar	436	436	0	0	0	0	0	0	6	0	0	430
leaky_relu.out	436	436	0	0	0	0	0	0	3	0	0	433
