status	job	reason	graph
MISMATCH	w118:138	out[0] non-finite mismatch (nan/inf positions differ)	n0*=n0*=rsqrt.out(L0,·)
SKIP	w118:14	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w118:166	out[0] non-finite mismatch (nan/inf positions differ)	n0*=n0*=mm.out(L0,L1,·)
MISMATCH	w118:169	out[0] max|delta|=2.530e+02 (rtol=0.0 atol=0.0)	n0*=n0*=bitwise_and.Scalar_out(L0,·,·)
MISMATCH	w118:170	out[0] non-finite mismatch (nan/inf positions differ)	n0*=n0*=_log_softmax.out(L0,·,·,·)
MISMATCH	w118:171	out[0] non-finite mismatch (nan/inf positions differ)	n0*=n0*=elu.out(L0,·,·,·,·)
MISMATCH	w118:181	out[0] max|delta|=3.994e-01 (rtol=0.01 atol=0.001)	n0*=n0*=sub.out(L0,L1,·,·)
MISMATCH	w118:186	out[0] non-finite mismatch (nan/inf positions differ)	n0*=n0*=pow.Tensor_Tensor_out(L0,L1,·)
MISMATCH	w118:23	out[0] non-finite mismatch (nan/inf positions differ)	n0*=n0*=cos.out(L0,·)
MISMATCH	w118:230	out[0] max|delta|=1.424e+00 (rtol=0.01 atol=0.001)	n0*=n0*=replication_pad3d.out(L0,·,·)
MISMATCH	w118:242	out[0] non-finite mismatch (nan/inf positions differ)	n0*=n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w118:251	out[0] non-finite mismatch (nan/inf positions differ)	n0*=n0*=cos.out(L0,·)
MISMATCH	w118:269	out[0] max|delta|=9.223e+18 (rtol=0.01 atol=0.001)	n0*=n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
MISMATCH	w118:276	out[0] non-finite mismatch (nan/inf positions differ)	n0*=n0*=logit.out(L0,·,·)
MISMATCH	w118:301	out[0] max|delta|=1.252e-01 (rtol=0.01 atol=0.001)	n0*=n0*=logit(L0,·)
MISMATCH	w118:302	out[0] non-finite mismatch (nan/inf positions differ)	n0*=n0*=gelu.out(L0,·,·)
MISMATCH	w118:303	out[0] max|delta|=4.656e+00 (rtol=0.01 atol=0.001)	n0*=n0*=rsub.Scalar(L0,·,·)
MISMATCH	w118:304	out[0] non-finite mismatch (nan/inf positions differ)	n0*=n0*=bmm.out(L0,L1,·)
MISMATCH	w118:311	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	n0*=n0*=select_scatter(L0,L1,·,·)
