status	job	reason	graph
SKIP	w42:194	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w42:197	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=n0*=_pdist_forward(L0,·)
SKIP	w42:225	executor ExecutorchRuntimeException: [ExecuTorch Error 0x14] Operator missing: Execution failed for method: forward	n0*=n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w42:288	out[0] max|delta|=1.729e+18 (rtol=0.0 atol=0.0)	n0*=n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
MISMATCH	w42:332	out[0] non-finite mismatch (nan/inf positions differ)	n0*=n0*=grid_sampler_2d(L0,L1,·,·,·)
SKIP	w42:340	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w42:367	out[0] max|delta|=6.918e+18 (rtol=0.0 atol=0.0)	n0*=n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
MISMATCH	w42:414	out[0] max|delta|=4.000e+00 (rtol=0.0 atol=0.0)	n0*=n0*=fmod.Scalar(L0,·)
SKIP	w42:422	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w42:425	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=n0*=_pdist_forward(L0,·)
SKIP	w42:453	executor ExecutorchRuntimeException: [ExecuTorch Error 0x14] Operator missing: Execution failed for method: forward	n0*=n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w42:509	out[0] max|delta|=2.000e+00 (rtol=0.0 atol=0.0)	n0*=n0*=remainder.Scalar(L0,·)
MISMATCH	w42:516	out[0] max|delta|=9.223e+18 (rtol=0.0 atol=0.0)	n0*=n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
MISMATCH	w42:560	out[0] non-finite mismatch (nan/inf positions differ)	n0*=n0*=grid_sampler_2d(L0,L1,·,·,·)
SKIP	w42:568	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w42:592	out[0] max|delta|=8.647e+17 (rtol=0.0 atol=0.0)	n0*=n0*=bitwise_left_shift.Tensor_Scalar_out(L0,·,·)
MISMATCH	w42:60	out[0] max|delta|=5.765e+17 (rtol=0.0 atol=0.0)	n0*=n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
SKIP	w42:650	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward	n0*=n0*=native_group_norm(L0,·,·,·,·,·,·,·)
