op	samples	annotated	mean_qdq	errs
_adaptive_avg_pool2d	3	0	0.0	0
_cdist_forward	3	0	0	3
_fft_r2c	3	0	0.0	0
_log_softmax.out	3	0	0.0	0
_native_batch_norm_legit	3	0	0.0	2
_native_batch_norm_legit.no_stats	3	1	0.67	0
_native_batch_norm_legit_no_training	3	1	1.0	1
_pdist_forward	3	0	0.0	0
_softmax.out	3	0	0.0	0
_upsample_bilinear2d_aa.out	3	0	0.0	0
abs	3	2	2.67	0
abs.out	3	0	0.0	0
acos.out	3	0	0.0	0
acosh.out	3	0	0.0	0
add.Scalar	3	1	5.0	2
addmm.out	3	0	0.0	1
alias_copy	3	0	0.0	0
amax.out	3	0	0.0	0
amin.out	3	0	0.0	0
any.all_out	3	0	0.0	0
any.dims_out	3	0	0.0	0
arange.out	3	0	0.0	0
arange.start_out	3	0	0.0	0
argmax.out	3	0	0.0	0
argmin.out	3	0	0.0	0
asin.out	3	0	0.0	0
asinh.out	3	0	0.0	0
atan.out	3	0	0.0	0
atan2.out	3	2	21.33	0
atanh.out	3	0	0.0	0
avg_pool2d.out	3	0	0.0	0
bitwise_and.Scalar	3	0	0.0	0
bitwise_and.Scalar_out	3	0	0.0	0
bitwise_and.Tensor_out	3	0	0.0	0
bitwise_left_shift.Tensor_Scalar	3	0	0.0	0
bitwise_left_shift.Tensor_Scalar_out	3	0	0.0	0
bitwise_left_shift.Tensor_out	3	0	0.0	0
bitwise_not.out	3	0	0.0	0
bitwise_or.Scalar	3	0	0.0	0
bitwise_or.Scalar_out	3	0	0.0	0
bitwise_or.Tensor_out	3	0	0.0	0
bitwise_right_shift.Tensor_Scalar	3	0	0.0	0
bitwise_right_shift.Tensor_Scalar_out	3	0	0.0	0
bitwise_right_shift.Tensor_out	3	0	0.0	0
bitwise_xor.Scalar	3	0	0.0	0
bitwise_xor.Scalar_out	3	0	0.0	0
bitwise_xor.Tensor_out	3	0	0.0	0
bmm.out	3	0	0.0	0
cat.out	3	0	0.0	0
ceil.out	3	0	0.0	0
clamp.Tensor_out	3	0	0.0	0
clamp.out	3	0	0.0	0
clone	3	0	0.0	0
constant_pad_nd	3	0	0.0	0
convolution	3	3	6.0	0
copy	3	0	0.0	0
cos.out	3	0	0.0	0
cosh.out	3	0	0.0	0
cumsum.out	3	0	0.0	0
detach_copy	3	0	0.0	0
diagonal_copy	3	0	0.0	0
div.Scalar	3	2	2.67	0
div.Scalar_mode	3	0	0.0	0
div.out	3	0	0.0	0
div.out_mode	3	0	0.0	0
elu.out	3	0	0.0	0
embedding	3	1	1.33	0
eq.Scalar_out	3	0	0.0	0
eq.Tensor_out	3	0	0.0	0
erf.out	3	0	0.0	0
exp.out	3	0	0.0	0
expand_copy	3	0	0.0	0
expm1.out	3	0	0.0	0
fill.Scalar	3	1	0.67	0
fill.Tensor	3	0	0.0	0
flip	3	0	0.0	0
floor.out	3	0	0.0	0
floor_divide	3	2	3.33	0
floor_divide.out	3	0	0.0	0
fmod.Scalar	3	0	0.0	0
fmod.Scalar_out	3	0	0.0	0
fmod.Tensor_out	3	0	0.0	0
full.out	3	0	0.0	0
gather.out	3	0	0.0	0
ge.Scalar_out	3	0	0.0	0
ge.Tensor_out	3	0	0.0	0
gelu.out	3	0	0.0	0
glu.out	3	0	0.0	0
grid_sampler_2d	3	0	0.0	0
gt.Scalar_out	3	0	0.0	0
gt.Tensor_out	3	0	0.0	0
hardtanh	3	2	2.67	0
hardtanh.out	3	0	0.0	0
index.Tensor_out	3	0	0.0	1
index_put	3	3	4.0	0
index_select	3	0	0.0	0
index_select.out	3	0	0.0	0
isinf	3	0	0.0	0
isnan	3	0	0.0	0
le.Scalar_out	3	0	0.0	0
le.Tensor_out	3	0	0.0	0
leaky_relu.out	3	0	0.0	0
lift_fresh_copy	3	0	0.0	0
linear	3	3	6.0	0
linear.out	3	0	0.0	2
log.out	3	0	0.0	0
log10.out	3	0	0.0	0
log1p.out	3	0	0.0	0
log2.out	3	0	0.0	0
logical_and	3	1	1.33	0
logical_and.out	3	0	0.0	0
logical_not	3	0	0.0	0
logical_not.out	3	0	0.0	0
logical_or	3	0	0.0	0
logical_or.out	3	0	0.0	0
logical_xor	3	0	0.0	0
logical_xor.out	3	0	0.0	0
logit	3	0	0.0	0
logit.out	3	0	0.0	0
lt.Scalar_out	3	0	0.0	0
lt.Tensor_out	3	0	0.0	0
masked_fill.Scalar	3	0	0.0	0
masked_scatter	3	0	0.0	0
max	3	0	0.0	0
max.dim_max	3	0	0.0	0
max.unary_out	3	0	0.0	0
max_pool2d_with_indices.out	3	0	0	3
max_pool2d_with_indices_backward.grad_input	0	0	0	PROCCRASH
maximum.out	3	0	0.0	0
mean	3	2	2.0	0
mean.dtype_out	3	0	0.0	0
mean.out	3	0	0.0	0
min	3	0	0.0	0
min.dim_min	3	0	0.0	0
min.unary_out	3	0	0.0	0
minimum.out	3	0	0.0	0
mm.out	3	0	0.0	0
mul.Scalar	3	1	1.67	0
mul.out	3	0	0.0	0
narrow_copy	3	0	0.0	0
narrow_copy.out	3	0	0.0	0
native_group_norm	3	0	0.0	1
native_layer_norm	3	2	1.33	0
ne.Scalar_out	3	0	0.0	0
ne.Tensor_out	3	0	0.0	0
neg.out	3	0	0.0	0
ones.out	3	0	0.0	0
permute_copy	3	0	0.0	0
pixel_shuffle	3	2	2.67	0
pixel_unshuffle	3	1	1.33	0
pow.Scalar_out	3	0	0.0	0
pow.Tensor_Scalar_out	3	0	0.0	0
pow.Tensor_Tensor_out	3	0	0.0	0
prod	3	0	0.0	0
prod.int_out	3	0	0.0	0
prod.out	3	0	0.0	0
reciprocal.out	3	0	0.0	0
reflection_pad1d.out	3	0	0.0	0
reflection_pad2d	3	1	1.33	0
reflection_pad2d.out	3	0	0.0	0
reflection_pad3d.out	3	0	0.0	0
relu	3	2	2.67	0
remainder.Scalar	3	1	4.33	0
remainder.Scalar_out	3	0	0.0	0
remainder.Tensor_out	3	0	0.0	0
repeat	3	0	0.0	0
replication_pad1d.out	3	0	0.0	0
replication_pad2d.out	3	0	0.0	0
replication_pad3d.out	3	0	0.0	0
roll	3	2	5.33	0
round.out	3	0	0.0	0
rsqrt.out	3	0	0.0	0
rsub.Scalar	3	0	0	3
scatter.src_out	3	0	0.0	0
scatter.value_out	3	0	0.0	0
scatter_add.out	3	0	0.0	0
select_copy.int	3	0	0.0	0
select_scatter	3	3	6.67	0
sigmoid.out	3	0	0.0	0
sign.out	3	0	0.0	0
sin.out	3	0	0.0	0
sinh.out	3	0	0.0	0
slice_copy.Tensor	3	0	0.0	0
slice_scatter	3	3	6.0	0
split_copy.Tensor	3	2	1.33	0
split_copy.Tensor_out	3	0	0.0	0
split_with_sizes_copy	3	3	4.0	0
split_with_sizes_copy.out	3	0	0.0	0
sqrt.out	3	0	0.0	0
squeeze_copy.dim	3	0	0.0	0
squeeze_copy.dims	3	2	2.67	0
stack	3	1	1.33	0
stack.out	3	0	0.0	0
sub.Scalar	3	0	0	3
sub.out	3	0	0.0	0
sum.IntList_out	3	0	0.0	0
t_copy	3	0	0.0	0
tan.out	3	0	0.0	0
tanh.out	3	0	0.0	0
topk.values	3	0	0.0	1
transpose_copy.int	3	0	0.0	0
tril.out	3	0	0.0	0
trunc.out	3	0	0.0	0
unbind_copy.int	3	1	0.67	0
unbind_copy.int_out	3	0	0.0	0
unfold_copy	3	0	0.0	0
unsqueeze_copy	3	1	1.33	0
var.correction	3	2	9.33	0
var.correction_out	3	0	0.0	0
var_mean.correction	3	3	2.0	0
view_copy	3	3	4.0	0
where.self	3	3	4.0	0
where.self_out	3	0	0.0	0
zeros.out	3	0	0.0	0
