status	job	reason	graph
SKIP	w0:105	qnn_runner rc=2: 	n0*=narrow_copy.out(L0,·,·,·,·)
SKIP	w0:110	qnn_runner rc=2: 	n0*=split_with_sizes_copy(L0,·,·)
MISMATCH	w0:111	out[0] max|delta|=2.530e+02 (rtol=0.0 atol=0.0)	n0*=bitwise_or.Scalar_out(L0,·,·)
SKIP	w0:139	qnn_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w0:121	qnn_runner rc=2: 	n0*=reflection_pad2d(L0,·)
SKIP	w0:142	qnn_runner rc=2: 	n0*=_pdist_forward(L0,·)
SKIP	w0:15	qnn_runner rc=2: 	n0*=isnan(L0)
MISMATCH	w0:132	out[0] max|delta|=5.000e+00 (rtol=0.0 atol=0.0)	n0*=max.dim_max(L0,·,·,L1,L2)
SKIP	w0:171	qnn_runner rc=2: 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w0:14	out[0] max|delta|=1.200e+01 (rtol=0.0 atol=0.0)	n0*=sub.out(L0,L1,·,·)
CRASH	w0:156	qnn_runner rc=134: /data/jwen929/mobile/qnn_client/qnn_runner.sh: line 109: 3815695 Aborted                 (core dumped) "$RUNNER" --model_path model.pte --input_list_path input_list.txt --output_folder_path . > "$RUN_LOG" 2>&1 	n0*=cat.out(·,·,·)
MISMATCH	w0:155	out[0] non-finite mismatch (nan/inf positions differ)	n0*=log.out(L0,·)
MISMATCH	w0:153	out[0] max|delta|=1.832e+00 (rtol=0.01 atol=0.001)	n0*=atan2.out(L0,L1,·)
SKIP	w0:165	qnn_runner rc=2: 	n0*=reflection_pad2d.out(L0,·,·)
MISMATCH	w0:167	out[0] max|delta|=2.554e-02 (rtol=0.01 atol=0.001)	n0*=index_select(L0,·,·)
MISMATCH	w0:169	out[0] dtype torch.uint8 vs torch.bool	n0*=any.dims_out(L0,·,·,·)
SKIP	w0:166	qnn_runner rc=2: 	n0*=any.dims_out(L0,·,·,·)
SKIP	w0:177	qnn_runner rc=2: 	n0*=copy(L0,L1,·)
MISMATCH	w0:187	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit(L0,·)
MISMATCH	w0:192	out[0] non-finite mismatch (nan/inf positions differ)	n0*=log10.out(L0,·)
SKIP	w0:213	qnn_runner rc=2: 	n0*=fill.Tensor(L0,L1)
SKIP	w0:214	qnn_runner rc=2: 	n0*=scatter_add.out(L0,·,·,L1,·)
MISMATCH	w0:226	out[0] max|delta|=2.000e+00 (rtol=0.0 atol=0.0)	n0*=prod.int_out(L0,·,·,·,·)
SKIP	w0:227	qnn_runner rc=2: 	n0*=min.unary_out(L0,·)
MISMATCH	w0:237	out[0] max|delta|=1.153e+18 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
MISMATCH	w0:21	out[0] non-finite mismatch (nan/inf positions differ)	n0*=pow.Tensor_Tensor_out(L0,L1,·)
SKIP	w0:244	qnn_runner rc=2: 	n0*=mean.dtype_out(L0,·,·)
MISMATCH	w0:251	out[0] max|delta|=5.538e-03 (rtol=0.01 atol=0.001)	n0*=_native_batch_norm_legit.no_stats(L0,·,·,·,·,·)
MISMATCH	w0:222	out[0] max|delta|=1.611e+09 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
MISMATCH	w0:225	out[0] max|delta|=4.593e+00 (rtol=0.01 atol=0.001)	n0*=elu.out(L0,·,·,·,·)
SKIP	w0:26	qnn_runner rc=2: 	n0*=scatter.value_out(L0,·,·,·,·)
MISMATCH	w0:264	out[0] shape () vs (4,)	n0*=select_copy.int(L0,·,·)
MISMATCH	w0:271	out[0] max|delta|=9.556e-03 (rtol=0.01 atol=0.001)	n0*=hardtanh(L0,·,·)
MISMATCH	w0:245	out[0] max|delta|=1.600e+01 (rtol=0.0 atol=0.0)	n0*=sub.out(L0,L1,·,·)
SKIP	w0:257	qnn_runner rc=2: 	n0*=scatter.value_out(L0,·,·,·,·)
MISMATCH	w0:260	out[0] dtype torch.int64 vs torch.int32	n0*=alias_copy(L0)
MISMATCH	w0:262	out[0] max|delta|=3.000e+00 (rtol=0.0 atol=0.0)	n0*=remainder.Scalar_out(L0,·,·)
MISMATCH	w0:287	out[0] max|delta|=3.125e-02 (rtol=0.01 atol=0.001)	n0*=convolution(L0,L1,·,·,·,·,·,·,·)
MISMATCH	w0:270	out[0] dtype torch.int64 vs torch.int32	n0*=transpose_copy.int(L0,·,·)
MISMATCH	w0:293	out[0] max|delta|=8.206e-03 (rtol=0.01 atol=0.001)	n0*=squeeze_copy.dims(L0,·)
SKIP	w0:306	qnn_runner rc=2: 	n0*=avg_pool2d.out(L0,·,·,·,·,·,·,·)
MISMATCH	w0:33	out[0] shape () vs (2,)	n0*=select_copy.int(L0,·,·)
MISMATCH	w0:32	out[0] dtype torch.int64 vs torch.int32	n0*=lift_fresh_copy(L0)
MISMATCH	w0:327	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit.out(L0,·,·)
SKIP	w0:373	qnn_runner rc=2: 	n0*=_pdist_forward(L0,·)
SKIP	w0:352	qnn_runner rc=2: 	n0*=reflection_pad2d(L0,·)
MISMATCH	w0:363	out[0] max|delta|=8.000e+00 (rtol=0.0 atol=0.0)	n0*=max.dim_max(L0,·,·,L1,L2)
SKIP	w0:402	qnn_runner rc=2: 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w0:386	out[0] non-finite mismatch (nan/inf positions differ)	n0*=log.out(L0,·)
MISMATCH	w0:397	out[0] shape () vs (1,)	n0*=any.dims_out(L0,·,·,·)
MISMATCH	w0:400	out[0] shape () vs (1,)	n0*=any.dims_out(L0,·,·,·)
MISMATCH	w0:406	out[0] non-finite mismatch (nan/inf positions differ)	n0*=log2.out(L0,·)
MISMATCH	w0:418	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit(L0,·)
MISMATCH	w0:433	out[0] max|delta|=8.755e-03 (rtol=0.01 atol=0.001)	n0*=unbind_copy.int(L0,·)
MISMATCH	w0:423	out[0] non-finite mismatch (nan/inf positions differ)	n0*=log10.out(L0,·)
SKIP	w0:444	qnn_runner rc=2: 	n0*=fill.Tensor(L0,L1)
SKIP	w0:445	qnn_runner rc=2: 	n0*=scatter_add.out(L0,·,·,L1,·)
SKIP	w0:463	qnn_runner rc=2: 	n0*=narrow_copy(L0,·,·,·)
MISMATCH	w0:456	out[0] max|delta|=8.030e+00 (rtol=0.01 atol=0.001)	n0*=elu.out(L0,·,·,·,·)
MISMATCH	w0:453	out[0] max|delta|=1.611e+09 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
MISMATCH	w0:458	out[0] max|delta|=2.000e+00 (rtol=0.01 atol=0.001)	n0*=min.unary_out(L0,·)
MISMATCH	w0:460	out[0] max|delta|=2.480e+02 (rtol=0.0 atol=0.0)	n0*=bitwise_and.Scalar_out(L0,·,·)
MISMATCH	w0:482	out[0] max|delta|=5.538e-03 (rtol=0.01 atol=0.001)	n0*=_native_batch_norm_legit.no_stats(L0,·,·,·,·,·)
MISMATCH	w0:494	out[0] dtype torch.int64 vs torch.int32	n0*=lift_fresh_copy(L0)
MISMATCH	w0:495	out[0] shape () vs (2,)	n0*=select_copy.int(L0,·,·)
MISMATCH	w0:476	out[0] max|delta|=5.182e+00 (rtol=0.01 atol=0.001)	n0*=sub.out(L0,L1,·,·)
MISMATCH	w0:483	out[0] non-finite mismatch (nan/inf positions differ)	n0*=pow.Tensor_Tensor_out(L0,L1,·)
SKIP	w0:493	qnn_runner rc=2: 	n0*=remainder.Scalar_out(L0,·,·)
SKIP	w0:514	qnn_runner rc=2: 	n0*=narrow_copy(L0,·,·,·)
MISMATCH	w0:518	out[0] max|delta|=1.001e-02 (rtol=0.01 atol=0.001)	n0*=convolution(L0,L1,·,·,·,·,·,·,·)
SKIP	w0:523	qnn_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
MISMATCH	w0:499	out[0] non-finite mismatch (nan/inf positions differ)	n0*=div.Scalar(L0,·)
MISMATCH	w0:56	out[0] max|delta|=1.208e-02 (rtol=0.01 atol=0.001)	n0*=convolution(L0,L1,·,·,·,·,·,·,·)
MISMATCH	w0:6	out[0] max|delta|=1.441e+17 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
SKIP	w0:537	qnn_runner rc=2: 	n0*=avg_pool2d.out(L0,·,·,·,·,·,·,·)
MISMATCH	w0:62	out[0] max|delta|=8.206e-03 (rtol=0.01 atol=0.001)	n0*=squeeze_copy.dims(L0,·)
SKIP	w0:75	qnn_runner rc=2: 	n0*=avg_pool2d.out(L0,·,·,·,·,·,·,·)
SKIP	w1:10	qnn_runner rc=2: 	n0*=_pdist_forward(L0,·)
MISMATCH	w1:119	out[0] max|delta|=3.999e-01 (rtol=0.01 atol=0.001)	n0*=_native_batch_norm_legit.no_stats(L0,·,·,·,·,·)
MISMATCH	w0:96	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit.out(L0,·,·)
SKIP	w1:125	qnn_runner rc=2: 	n0*=scatter.value_out(L0,·,·,·,·)
MISMATCH	w1:132	out[0] shape () vs (2,)	n0*=select_copy.int(L0,·,·)
MISMATCH	w1:113	out[0] max|delta|=1.716e+01 (rtol=0.01 atol=0.001)	n0*=sub.out(L0,L1,·,·)
SKIP	w1:151	qnn_runner rc=2: 	n0*=narrow_copy(L0,·,·,·)
MISMATCH	w1:120	out[0] non-finite mismatch (nan/inf positions differ)	n0*=pow.Tensor_Tensor_out(L0,L1,·)
MISMATCH	w1:155	out[0] max|delta|=1.953e-02 (rtol=0.01 atol=0.001)	n0*=convolution(L0,L1,·,·,·,·,·,·,·)
SKIP	w1:130	qnn_runner rc=2: 	n0*=remainder.Scalar_out(L0,·,·)
SKIP	w1:160	qnn_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w1:174	qnn_runner rc=2: 	n0*=avg_pool2d.out(L0,·,·,·,·,·,·,·)
SKIP	w1:204	qnn_runner rc=2: 	n0*=narrow_copy.out(L0,·,·,·,·)
MISMATCH	w1:179	out[0] max|delta|=1.982e-02 (rtol=0.01 atol=0.001)	n0*=abs(L0)
MISMATCH	w1:195	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit.out(L0,·,·)
MISMATCH	w1:210	out[0] max|delta|=2.550e+02 (rtol=0.0 atol=0.0)	n0*=bitwise_or.Scalar_out(L0,·,·)
MISMATCH	w1:214	out[0] max|delta|=7.000e+00 (rtol=0.0 atol=0.0)	n0*=min.dim_min(L0,·,·,L1,L2)
SKIP	w1:220	qnn_runner rc=2: 	n0*=reflection_pad2d(L0,·)
SKIP	w1:241	qnn_runner rc=2: 	n0*=_pdist_forward(L0,·)
CRASH	w1:229	qnn_runner rc=134: /data/jwen929/mobile/qnn_client/qnn_runner.sh: line 109: 3830271 Aborted                 (core dumped) "$RUNNER" --model_path model.pte --input_list_path input_list.txt --output_folder_path . > "$RUN_LOG" 2>&1 	n0*=stack.out(·,·,·)
MISMATCH	w1:23	out[0] non-finite mismatch (nan/inf positions differ)	n0*=log.out(L0,·)
MISMATCH	w1:231	out[0] max|delta|=4.000e+00 (rtol=0.0 atol=0.0)	n0*=max.dim_max(L0,·,·,L1,L2)
CRASH	w1:24	qnn_runner rc=134: /data/jwen929/mobile/qnn_client/qnn_runner.sh: line 109: 3830623 Aborted                 (core dumped) "$RUNNER" --model_path model.pte --input_list_path input_list.txt --output_folder_path . > "$RUN_LOG" 2>&1 	n0*=cat.out(·,·,·)
SKIP	w1:270	qnn_runner rc=2: 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w1:254	out[0] non-finite mismatch (nan/inf positions differ)	n0*=log.out(L0,·)
SKIP	w1:265	qnn_runner rc=2: 	n0*=any.dims_out(L0,·,·,·)
MISMATCH	w1:268	out[0] shape () vs (1,)	n0*=any.dims_out(L0,·,·,·)
MISMATCH	w1:274	out[0] non-finite mismatch (nan/inf positions differ)	n0*=log2.out(L0,·)
MISMATCH	w1:280	out[0] max|delta|=1.682e-02 (rtol=0.01 atol=0.001)	n0*=pixel_unshuffle(L0,·)
MISMATCH	w1:281	out[0] non-finite mismatch (nan/inf positions differ)	n0*=rsqrt.out(L0,·)
MISMATCH	w1:286	out[0] non-finite mismatch (nan/inf positions differ)	n0*=logit(L0,·)
MISMATCH	w1:291	out[0] non-finite mismatch (nan/inf positions differ)	n0*=log10.out(L0,·)
SKIP	w1:313	qnn_runner rc=2: 	n0*=scatter_add.out(L0,·,·,L1,·)
SKIP	w1:312	qnn_runner rc=2: 	n0*=fill.Tensor(L0,L1)
SKIP	w1:314	qnn_runner rc=2: 	n0*=max.unary_out(L0,·)
