op	n	f_OK	f_MISMATCH	f_SKIP	f_CRASH	q_OK	q_MISMATCH	q_SKIP	q_CRASH	changed
_adaptive_avg_pool2d	1	1	0	0	0	1	0	0	0	0
_cdist_forward	28	28	0	0	0	28	0	0	0	0
_fft_r2c	25	0	0	25	0	0	0	25	0	0
_log_softmax.out	20	20	0	0	0	20	0	0	0	0
_native_batch_norm_legit.no_stats	28	24	4	0	0	23	5	0	0	3
_native_batch_norm_legit_no_training	1	0	0	1	0	0	0	1	0	0
_pdist_forward	28	3	0	25	0	3	0	25	0	0
_softmax.out	19	19	0	0	0	19	0	0	0	0
_upsample_bilinear2d_aa.out	23	23	0	0	0	23	0	0	0	0
abs	22	22	0	0	0	22	0	0	0	0
abs.out	21	20	0	1	0	21	0	0	0	1
acos.out	16	16	0	0	0	16	0	0	0	0
acosh.out	14	14	0	0	0	14	0	0	0	0
add.Scalar	12	12	0	0	0	12	0	0	0	0
addmm.out	20	20	0	0	0	20	0	0	0	0
alias_copy	27	27	0	0	0	27	0	0	0	0
amax.out	21	21	0	0	0	21	0	0	0	0
amin.out	18	18	0	0	0	18	0	0	0	0
any.all_out	11	7	0	4	0	8	0	3	0	5
any.dims_out	31	19	0	12	0	15	0	16	0	6
arange.out	23	23	0	0	0	23	0	0	0	0
arange.start_out	12	8	0	4	0	7	0	5	0	1
argmax.out	23	23	0	0	0	23	0	0	0	0
argmin.out	25	25	0	0	0	25	0	0	0	0
asin.out	20	20	0	0	0	20	0	0	0	0
asinh.out	15	15	0	0	0	15	0	0	0	0
atan.out	22	22	0	0	0	22	0	0	0	0
atan2.out	28	28	0	0	0	28	0	0	0	0
atanh.out	20	20	0	0	0	20	0	0	0	0
bitwise_and.Scalar	28	27	0	1	0	28	0	0	0	1
bitwise_and.Scalar_out	25	25	0	0	0	25	0	0	0	0
bitwise_and.Tensor_out	22	22	0	0	0	22	0	0	0	0
bitwise_left_shift.Tensor_Scalar	28	14	14	0	0	14	14	0	0	0
bitwise_left_shift.Tensor_Scalar_out	25	15	10	0	0	15	10	0	0	0
bitwise_left_shift.Tensor_out	19	3	16	0	0	3	16	0	0	2
bitwise_not.out	20	20	0	0	0	20	0	0	0	0
bitwise_or.Scalar	26	26	0	0	0	26	0	0	0	0
bitwise_or.Scalar_out	25	25	0	0	0	25	0	0	0	0
bitwise_or.Tensor_out	22	22	0	0	0	22	0	0	0	0
bitwise_right_shift.Tensor_Scalar	23	23	0	0	0	23	0	0	0	0
bitwise_right_shift.Tensor_Scalar_out	27	27	0	0	0	27	0	0	0	0
bitwise_right_shift.Tensor_out	22	22	0	0	0	22	0	0	0	0
bitwise_xor.Scalar	27	27	0	0	0	27	0	0	0	0
bitwise_xor.Scalar_out	25	25	0	0	0	25	0	0	0	0
bitwise_xor.Tensor_out	22	22	0	0	0	22	0	0	0	0
bmm.out	18	18	0	0	0	18	0	0	0	0
cat.out	27	27	0	0	0	27	0	0	0	0
ceil.out	18	18	0	0	0	18	0	0	0	0
clamp.Tensor_out	23	23	0	0	0	23	0	0	0	0
clamp.out	20	20	0	0	0	20	0	0	0	0
clone	28	28	0	0	0	28	0	0	0	0
constant_pad_nd	28	28	0	0	0	28	0	0	0	0
convolution	22	20	0	2	0	21	0	1	0	1
copy	25	2	0	23	0	0	0	25	0	2
cos.out	22	22	0	0	0	22	0	0	0	0
cosh.out	27	27	0	0	0	27	0	0	0	0
cumsum.out	15	15	0	0	0	15	0	0	0	0
detach_copy	25	25	0	0	0	25	0	0	0	0
diagonal_copy	25	25	0	0	0	25	0	0	0	0
div.Scalar	22	22	0	0	0	22	0	0	0	0
div.Scalar_mode	24	24	0	0	0	24	0	0	0	0
div.out	28	28	0	0	0	28	0	0	0	0
div.out_mode	25	25	0	0	0	25	0	0	0	0
elu.out	25	24	0	1	0	24	0	1	0	0
embedding	7	7	0	0	0	7	0	0	0	0
eq.Scalar_out	20	20	0	0	0	20	0	0	0	0
eq.Tensor_out	24	24	0	0	0	24	0	0	0	0
erf.out	14	14	0	0	0	14	0	0	0	0
exp.out	22	22	0	0	0	22	0	0	0	0
expand_copy	22	15	0	7	0	15	0	7	0	0
expm1.out	18	18	0	0	0	18	0	0	0	0
fill.Scalar	24	5	19	0	0	2	22	0	0	3
fill.Tensor	25	0	0	25	0	0	0	25	0	0
flip	28	28	0	0	0	28	0	0	0	0
floor.out	18	18	0	0	0	18	0	0	0	0
floor_divide	13	13	0	0	0	13	0	0	0	0
floor_divide.out	22	22	0	0	0	22	0	0	0	0
fmod.Scalar	26	26	0	0	0	26	0	0	0	0
fmod.Scalar_out	25	25	0	0	0	25	0	0	0	0
fmod.Tensor_out	26	25	0	1	0	26	0	0	0	1
full.out	25	25	0	0	0	25	0	0	0	0
ge.Scalar_out	20	20	0	0	0	19	0	1	0	1
ge.Tensor_out	14	14	0	0	0	14	0	0	0	0
gelu.out	26	26	0	0	0	26	0	0	0	0
glu.out	24	24	0	0	0	23	0	1	0	1
gt.Scalar_out	13	13	0	0	0	13	0	0	0	0
gt.Tensor_out	20	20	0	0	0	20	0	0	0	0
hardtanh	22	22	0	0	0	22	0	0	0	0
hardtanh.out	20	20	0	0	0	20	0	0	0	0
index.Tensor_out	3	3	0	0	0	3	0	0	0	0
index_select	24	24	0	0	0	24	0	0	0	0
index_select.out	25	25	0	0	0	24	0	1	0	1
isinf	25	25	0	0	0	25	0	0	0	0
isnan	28	28	0	0	0	28	0	0	0	0
le.Scalar_out	19	19	0	0	0	19	0	0	0	0
le.Tensor_out	20	20	0	0	0	19	0	1	0	1
leaky_relu.out	23	23	0	0	0	23	0	0	0	0
lift_fresh_copy	27	27	0	0	0	27	0	0	0	0
linear.out	1	0	0	1	0	0	0	1	0	0
log.out	21	21	0	0	0	21	0	0	0	0
log10.out	23	23	0	0	0	23	0	0	0	0
log1p.out	15	15	0	0	0	15	0	0	0	0
log2.out	25	25	0	0	0	25	0	0	0	0
logical_and	2	2	0	0	0	2	0	0	0	0
logical_and.out	2	2	0	0	0	2	0	0	0	0
logical_not	2	2	0	0	0	2	0	0	0	0
logical_not.out	4	4	0	0	0	4	0	0	0	0
logical_or.out	4	4	0	0	0	4	0	0	0	0
logical_xor.out	4	4	0	0	0	4	0	0	0	0
logit	5	5	0	0	0	5	0	0	0	0
logit.out	12	12	0	0	0	12	0	0	0	0
lt.Scalar_out	17	17	0	0	0	17	0	0	0	0
lt.Tensor_out	15	15	0	0	0	15	0	0	0	0
masked_fill.Scalar	25	25	0	0	0	25	0	0	0	0
masked_scatter	23	23	0	0	0	23	0	0	0	0
max	29	29	0	0	0	29	0	0	0	0
max.unary_out	25	25	0	0	0	25	0	0	0	0
maximum.out	20	20	0	0	0	20	0	0	0	0
mean	14	13	0	1	0	14	0	0	0	1
mean.dtype_out	20	16	0	4	0	17	0	3	0	5
mean.out	17	13	0	4	0	11	0	6	0	4
min	26	26	0	0	0	26	0	0	0	0
min.unary_out	25	25	0	0	0	25	0	0	0	0
minimum.out	22	22	0	0	0	22	0	0	0	0
mm.out	20	20	0	0	0	20	0	0	0	0
mul.Scalar	28	28	0	0	0	28	0	0	0	0
mul.out	25	25	0	0	0	25	0	0	0	0
narrow_copy	51	51	0	0	0	50	0	0	1	1
narrow_copy.out	22	22	0	0	0	21	0	0	1	1
native_group_norm	42	10	32	0	0	18	24	0	0	14
native_layer_norm	50	50	0	0	0	50	0	0	0	0
ne.Scalar_out	28	28	0	0	0	28	0	0	0	0
ne.Tensor_out	25	25	0	0	0	25	0	0	0	0
neg.out	23	23	0	0	0	23	0	0	0	0
ones.out	25	25	0	0	0	25	0	0	0	0
permute_copy	25	25	0	0	0	25	0	0	0	0
pixel_shuffle	56	38	0	18	0	42	0	14	0	16
pixel_unshuffle	49	44	0	5	0	47	0	2	0	5
pow.Scalar_out	27	27	0	0	0	27	0	0	0	0
pow.Tensor_Scalar_out	26	26	0	0	0	26	0	0	0	0
pow.Tensor_Tensor_out	14	14	0	0	0	14	0	0	0	0
prod	25	25	0	0	0	25	0	0	0	0
prod.int_out	25	24	1	0	0	25	0	0	0	1
prod.out	25	25	0	0	0	25	0	0	0	0
reciprocal.out	18	18	0	0	0	18	0	0	0	0
reflection_pad1d.out	26	26	0	0	0	26	0	0	0	0
reflection_pad2d	26	26	0	0	0	26	0	0	0	0
reflection_pad2d.out	24	24	0	0	0	24	0	0	0	0
reflection_pad3d.out	24	24	0	0	0	24	0	0	0	0
relu	21	21	0	0	0	21	0	0	0	0
remainder.Scalar	23	20	3	0	0	20	3	0	0	0
remainder.Scalar_out	11	10	1	0	0	10	1	0	0	0
remainder.Tensor_out	10	10	0	0	0	10	0	0	0	0
replication_pad1d.out	23	23	0	0	0	23	0	0	0	0
replication_pad2d.out	25	25	0	0	0	25	0	0	0	0
replication_pad3d.out	23	23	0	0	0	23	0	0	0	0
roll	27	27	0	0	0	27	0	0	0	0
round.out	20	20	0	0	0	20	0	0	0	0
rsqrt.out	18	18	0	0	0	18	0	0	0	0
rsub.Scalar	24	24	0	0	0	24	0	0	0	0
scatter.src_out	8	0	0	8	0	0	0	8	0	0
scatter.value_out	2	0	0	2	0	0	0	2	0	0
scatter_add.out	8	0	0	8	0	0	0	8	0	0
select_copy.int	27	27	0	0	0	27	0	0	0	0
select_scatter	26	26	0	0	0	26	0	0	0	0
sigmoid.out	26	26	0	0	0	26	0	0	0	0
sign.out	22	22	0	0	0	22	0	0	0	0
sin.out	19	19	0	0	0	19	0	0	0	0
sinh.out	22	22	0	0	0	22	0	0	0	0
slice_copy.Tensor	28	28	0	0	0	28	0	0	0	0
slice_scatter	22	15	7	0	0	22	0	0	0	7
split_copy.Tensor	22	22	0	0	0	22	0	0	0	0
split_with_sizes_copy	21	21	0	0	0	21	0	0	0	0
sqrt.out	24	24	0	0	0	24	0	0	0	0
squeeze_copy.dim	25	25	0	0	0	25	0	0	0	0
squeeze_copy.dims	25	25	0	0	0	25	0	0	0	0
stack	26	26	0	0	0	26	0	0	0	0
stack.out	26	26	0	0	0	26	0	0	0	0
sub.Scalar	10	10	0	0	0	10	0	0	0	0
sub.out	22	22	0	0	0	22	0	0	0	0
sum.IntList_out	25	21	0	4	0	21	0	4	0	2
t_copy	24	24	0	0	0	24	0	0	0	0
tan.out	18	18	0	0	0	18	0	0	0	0
tanh.out	24	24	0	0	0	24	0	0	0	0
transpose_copy.int	27	27	0	0	0	27	0	0	0	0
tril.out	18	18	0	0	0	18	0	0	0	0
trunc.out	22	22	0	0	0	22	0	0	0	0
unbind_copy.int	23	23	0	0	0	23	0	0	0	0
unfold_copy	25	25	0	0	0	25	0	0	0	0
unsqueeze_copy	29	28	0	1	0	28	0	1	0	0
var.correction	22	22	0	0	0	22	0	0	0	0
var.correction_out	7	7	0	0	0	7	0	0	0	0
var_mean.correction	23	23	0	0	0	23	0	0	0	0
view_copy	25	25	0	0	0	25	0	0	0	0
where.self	27	23	0	4	0	22	1	4	0	3
where.self_out	25	22	1	2	0	22	1	2	0	2
zeros.out	25	25	0	0	0	25	0	0	0	0
