op	annotated	n_qdq	lowered	deleg_ops	note
_adaptive_avg_pool2d	YES	4	-	-	
_cdist_forward	YES	6	-	-	
_fft_r2c	YES	2	-	-	
_log_softmax.out	YES	4	-	-	
_native_batch_norm_legit.no_stats	YES	4	-	-	
_native_batch_norm_legit_no_training	YES	8	-	-	
_pdist_forward	no	0	-	-	
_softmax.out	YES	4	-	-	
_upsample_bilinear2d_aa.out	YES	4	-	-	
abs	YES	4	-	-	
abs.out	YES	4	-	-	
acos.out	YES	2	-	-	
acosh.out	ERR	0	-	-	RuntimeError: torch.histc: range of [-nan, -nan] is not finite
add.Scalar	no	0	-	-	
addmm.out	YES	8	-	-	
alias_copy	YES	4	-	-	
amax.out	no	0	-	-	
amin.out	YES	4	-	-	
any.all_out	no	0	-	-	
any.dims_out	no	0	-	-	
arange.out	YES	2	-	-	
arange.start_out	no	0	-	-	
argmax.out	YES	2	-	-	
argmin.out	no	0	-	-	
asin.out	ERR	0	-	-	RuntimeError: torch.histc: range of [-nan, -nan] is not finite
asinh.out	YES	2	-	-	
atan.out	YES	4	-	-	
atan2.out	YES	2	-	-	
atanh.out	ERR	0	-	-	RuntimeError: torch.histc: range of [-nan, -nan] is not finite
avg_pool2d.out	no	0	-	-	
bitwise_and.Scalar	no	0	-	-	
bitwise_and.Scalar_out	no	0	-	-	
bitwise_and.Tensor_out	YES	2	-	-	
bitwise_left_shift.Tensor_Scalar	no	0	-	-	
bitwise_left_shift.Tensor_Scalar_out	no	0	-	-	
bitwise_left_shift.Tensor_out	no	0	-	-	
bitwise_not.out	no	0	-	-	
bitwise_or.Scalar	no	0	-	-	
bitwise_or.Scalar_out	no	0	-	-	
bitwise_or.Tensor_out	YES	2	-	-	
bitwise_right_shift.Tensor_Scalar	no	0	-	-	
bitwise_right_shift.Tensor_Scalar_out	YES	2	-	-	
bitwise_right_shift.Tensor_out	YES	2	-	-	
bitwise_xor.Scalar	no	0	-	-	
bitwise_xor.Scalar_out	YES	2	-	-	
bitwise_xor.Tensor_out	no	0	-	-	
bmm.out	YES	6	-	-	
cat.out	no	0	-	-	
ceil.out	YES	4	-	-	
clamp.Tensor_out	YES	4	-	-	
clamp.out	YES	4	-	-	
clone	YES	4	-	-	
constant_pad_nd	YES	4	-	-	
convolution	YES	6	-	-	
copy	YES	6	-	-	
cos.out	YES	4	-	-	
cosh.out	YES	4	-	-	
cumsum.out	YES	4	-	-	
detach_copy	YES	4	-	-	
diagonal_copy	no	0	-	-	
div.Scalar	YES	2	-	-	
div.Scalar_mode	YES	4	-	-	
div.out	YES	4	-	-	
div.out_mode	YES	6	-	-	
elu.out	YES	4	-	-	
embedding	no	0	-	-	
eq.Scalar_out	YES	4	-	-	
eq.Tensor_out	YES	6	-	-	
erf.out	YES	2	-	-	
exp.out	YES	2	-	-	
expand_copy	YES	4	-	-	
expm1.out	YES	2	-	-	
fill.Scalar	YES	4	-	-	
fill.Tensor	no	0	-	-	
flip	YES	4	-	-	
floor.out	no	0	-	-	
floor_divide	YES	6	-	-	
floor_divide.out	YES	6	-	-	
fmod.Scalar	no	0	-	-	
fmod.Scalar_out	YES	4	-	-	
fmod.Tensor_out	YES	6	-	-	
full.out	YES	2	-	-	
gather.out	no	0	-	-	
ge.Scalar_out	YES	4	-	-	
ge.Tensor_out	YES	2	-	-	
gelu.out	YES	4	-	-	
glu.out	YES	4	-	-	
grid_sampler_2d	YES	6	-	-	
gt.Scalar_out	no	0	-	-	
