operator	total	delegated
_adaptive_avg_pool2d	437	0
_cdist_forward	436	0
_fft_r2c	442	0
_log_softmax.out	417	417
_native_batch_norm_legit.no_stats	437	0
_pdist_forward	439	0
_softmax.out	444	444
_upsample_bilinear2d_aa.out	443	0
abs	392	0
abs.out	438	0
acos.out	436	1
acosh.out	436	2
add.Scalar	391	391
alias_copy	438	0
amax.out	437	0
amin.out	435	0
any.all_out	417	0
any.dims_out	874	0
arange.out	441	0
arange.start_out	437	0
argmax.out	445	0
argmin.out	440	0
asin.out	436	1
asinh.out	435	3
atan.out	436	2
atan2.out	435	50
atanh.out	438	4
avg_pool2d.out	10	10
bitwise_and.Scalar	434	0
bitwise_and.Scalar_out	441	266
bitwise_and.Tensor_out	443	282
bitwise_left_shift.Tensor_Scalar	440	0
bitwise_left_shift.Tensor_Scalar_out	439	300
bitwise_left_shift.Tensor_out	441	281
bitwise_not.out	444	0
bitwise_or.Scalar	435	0
bitwise_or.Scalar_out	438	297
bitwise_or.Tensor_out	436	280
bitwise_right_shift.Tensor_Scalar	441	0
bitwise_right_shift.Tensor_Scalar_out	439	294
bitwise_right_shift.Tensor_out	440	293
bitwise_xor.Scalar	437	0
bitwise_xor.Scalar_out	441	299
bitwise_xor.Tensor_out	437	259
bmm.out	321	321
ceil.out	443	0
clamp.Tensor_out	443	0
clamp.out	372	372
clone	441	0
constant_pad_nd	22	22
copy	441	0
cos.out	435	70
cosh.out	439	35
cumsum.out	373	0
detach_copy	438	0
diagonal_copy	439	0
div.Scalar	305	305
div.out	437	437
div.out_mode	424	34
elu.out	440	0
embedding	6	6
eq.Scalar_out	58	0
eq.Tensor_out	56	0
erf.out	442	85
exp.out	436	69
expand_copy	347	347
expm1.out	435	4
fill.Scalar	443	0
flip	433	0
floor.out	437	0
floor_divide	410	72
floor_divide.out	438	135
fmod.Scalar	418	0
fmod.Scalar_out	434	103
fmod.Tensor_out	431	101
full.out	441	0
gather.out	7	0
ge.Scalar_out	51	0
ge.Tensor_out	66	0
gelu.out	440	440
glu.out	437	437
grid_sampler_2d	259	0
gt.Scalar_out	51	0
gt.Tensor_out	45	0
hardtanh	416	416
hardtanh.out	435	435
index.Tensor_out	436	0
index_put	438	0
index_select	120	0
index_select.out	74	0
isinf	440	0
isnan	436	0
le.Scalar_out	67	0
le.Tensor_out	45	0
leaky_relu.out	444	444
lift_fresh_copy	438	0
linear	13	13
linear.out	14	14
log.out	438	65
log10.out	444	2
log1p.out	444	3
log2.out	444	26
logical_and	443	0
logical_and.out	55	0
logical_not	440	0
logical_not.out	43	0
logical_or	437	0
logical_or.out	52	0
logical_xor	443	0
logical_xor.out	45	0
logit	386	386
logit.out	398	398
lt.Scalar_out	56	0
lt.Tensor_out	45	0
masked_fill.Scalar	439	0
masked_scatter	443	0
max	442	0
max.dim_max	387	0
max.unary_out	442	96
max_pool2d_with_indices_backward.grad_input	302	0
maximum.out	359	359
mean	445	0
mean.dtype_out	439	94
min	436	0
min.dim_min	405	0
min.unary_out	441	88
minimum.out	352	352
mm.out	444	0
mul.Scalar	204	204
mul.out	271	271
narrow_copy	876	0
narrow_copy.out	442	0
native_group_norm	876	0
native_layer_norm	881	0
ne.Scalar_out	42	0
ne.Tensor_out	46	0
neg.out	441	0
ones.out	442	0
permute_copy	379	379
pixel_shuffle	598	598
pixel_unshuffle	728	728
pow.Scalar_out	436	28
pow.Tensor_Scalar_out	438	66
pow.Tensor_Tensor_out	443	35
prod	437	0
prod.int_out	391	150
reciprocal.out	438	33
reflection_pad1d.out	441	441
reflection_pad2d	435	435
reflection_pad2d.out	432	432
relu	414	414
remainder.Scalar	435	0
remainder.Scalar_out	432	45
remainder.Tensor_out	433	113
repeat	442	0
replication_pad1d.out	438	438
replication_pad2d.out	436	436
replication_pad3d.out	433	433
roll	392	387
round.out	436	0
rsqrt.out	303	303
rsub.Scalar	439	439
scatter.src_out	93	0
scatter.value_out	33	0
scatter_add.out	120	0
select_copy.int	378	378
select_scatter	386	386
sigmoid.out	438	2
sign.out	438	0
sin.out	438	3
sinh.out	437	29
slice_copy.Tensor	271	0
slice_scatter	445	0
split_copy.Tensor	436	0
split_with_sizes_copy	437	0
sqrt.out	442	442
squeeze_copy.dim	388	388
squeeze_copy.dims	389	389
stack	67	27
sub.Scalar	403	403
sub.out	379	379
sum.IntList_out	407	146
t_copy	433	75
tan.out	436	3
tanh.out	432	35
topk.values	405	0
transpose_copy.int	432	88
tril.out	438	438
trunc.out	436	0
unbind_copy.int	444	0
unfold_copy	443	0
unsqueeze_copy	395	395
var.correction	434	0
var.correction_out	438	271
var_mean.correction	436	0
view_copy	361	361
where.self	437	0
where.self_out	443	0
zeros.out	440	0
