job	out	verdict	axisA	axisB	target	cone_size	needed_siblings	needed_live	deleg_full	deleg_tgt	n_out	detail
w1:197	1	OPERATOR	CONE_LOCAL	OPERATOR	n2	1			4	0	5	
w102:762	2	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n8	2		n7	0	0	4	
w108:171	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n1		n5		12	2	4	
w113:773	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n6	1		n0	3	1	5	
w12:418	3	OPERATOR	CONE_LOCAL	OPERATOR	n7	2			0	5	5	
w125:37	3	OPERATOR	CONE_LOCAL	OPERATOR	n8	4			13	5	4	
w14:90	0	CANT_ISOLATE										BUILD:SKIP
w2:380	0	DEV:TIMEOUT										DEV:TIMEOUT
w25:283	2	CANT_ISOLATE										BUILD:SKIP
w3:545	3	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n7		n3		15	2	4	
w36:147	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n3	2		n0,n1	8	2	4	
w40:327	0	OPERATOR	CONE_LOCAL	OPERATOR	n3	1			4	0	4	
w46:553	0	OPERATOR	CONE_LOCAL	OPERATOR	n5	3			1	0	2	
w50:632	1	OPERATOR	CONE_LOCAL	OPERATOR	n4	2			0	0	5	
w55:467	3	CANT_ISOLATE										BUILD:SKIP
w60:143	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n4	2		n0,n2	8	2	3	
w65:147	1	OPERATOR	CONE_LOCAL	OPERATOR	n8	2			9	1	3	
w7:397	0	CANT_ISOLATE										BUILD:SKIP
w76:222	2	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n7	3		n3	0	0	3	
w80:41	1	CANT_ISOLATE										BUILD:SKIP
w87:291	2	DEV:SKIP										DEV:SKIP
w91:414	4	OPERATOR	CONE_LOCAL	OPERATOR	n7	1			9	3	5	
w97:157	3	CANT_ISOLATE										BUILD:SKIP
w2:380	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n4	2		n1	8	3	3	
w87:291	2	DEV:SKIP										DEV:SKIP
w87:291	2	DEV:SKIP										DEV:SKIP
w87:291	2	DEV:SKIP										DEV:SKIP
w87:291	2	DEV:SKIP										DEV:SKIP
w87:291	2	DEV:SKIP										DEV:SKIP
w87:291	2	POISON										native-crashed 6x during localization
