job	out	verdict	axisA	axisB	target	cone_size	needed_siblings	needed_live	deleg_full	deleg_tgt	n_out	detail
w0:163	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n5	5		n4,n3	1	1	5	
w0:199	0	CANT_ISOLATE										BUILD:SKIP
w0:242	0	CANT_ISOLATE										BUILD:SKIP
w0:425	1	CANT_ISOLATE										BUILD:SKIP
w0:427	2	CANT_ISOLATE										BUILD:SKIP
w0:45	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n3	3		n2	10	4	4	
w0:458	0	POISON										native-crashed 6x during localization
w0:523	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n4	2		n0,n1	5	2	4	
w0:573	0	CANT_ISOLATE										BUILD:SKIP
w0:582	2	CANT_ISOLATE										BUILD:SKIP
w0:60	1	OPERATOR	CONE_LOCAL	OPERATOR	n7	5			11	8	3	
w0:684	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n1	1		n0	2	0	5	
w0:740	1	CANT_ISOLATE										BUILD:SKIP
w100:192	0	CANT_ISOLATE										BUILD:SKIP
w100:219	0	OPERATOR	CONE_LOCAL	OPERATOR	n7	6			9	3	4	
w100:226	1	OPERATOR	CONE_LOCAL	OPERATOR	n5	2			9	4	5	
w100:243	0	OPERATOR	CONE_LOCAL	OPERATOR	n4	2			15	4	3	
w100:246	3	POISON										native-crashed 6x during localization
w100:259	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n2	2		n1,n0	11	0	4	
w100:263	1	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n6	3		n2,n3	8	4	5	
w100:31	2	CANT_ISOLATE										BUILD:SKIP
w100:313	0	OPERATOR	CONE_LOCAL	OPERATOR	n3	3			6	2	4	
w100:33	3	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n6	2		n1	5	1	5	
w100:354	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n4		n5		8	1	5	
w100:452	3	CANT_ISOLATE										BUILD:SKIP
w100:477	0	OPERATOR	CONE_LOCAL	OPERATOR	n5	4			5	2	3	
w100:505	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n4	1		n0	2	0	3	
w100:509	2	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n8		n9		6	4	4	
w100:540	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n3		n6		5	2	5	
w100:560	1	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n7	4		n6,n1,n0	10	6	3	
w100:602	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n1	1		n0	15	6	5	
w100:617	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n4		n5,n7		16	3	5	
w100:657	2	CANT_ISOLATE										BUILD:SKIP
w100:659	2	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n9		n10		10	3	4	
w100:694	0	OPERATOR	CONE_LOCAL	OPERATOR	n4	2			10	2	4	
w100:752	2	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n5		n8		0	0	5	
w100:770	0	CANT_ISOLATE										BUILD:SKIP
w100:98	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n2	2		n0,n1	7	3	4	
w101:116	0	OPERATOR	CONE_LOCAL	OPERATOR	n4	1			11	1	3	
w101:189	2	OPERATOR	CONE_LOCAL	OPERATOR	n7	1			0	0	4	
w101:291	1	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n4	3		n3	13	3	4	
w101:301	0	CANT_ISOLATE										BUILD:SKIP
w101:39	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n4		n3		5	1	4	
w101:421	3	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n7	4		n3	9	4	4	
w101:432	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n2	1		n0	9	1	4	
w101:45	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n4	3		n0,n1,n2	8	4	4	
w101:520	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n5		n6		2	1	4	
w101:557	3	OPERATOR	CONE_LOCAL	OPERATOR	n9	4			3	3	4	
w101:605	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n4	4		n3,n1	1	0	3	
w101:635	2	OPERATOR	CONE_LOCAL	OPERATOR	n5	3			7	2	5	
w101:719	2	CANT_ISOLATE										BUILD:SKIP
w101:730	1	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n5		n9		16	10	3	
w102:166	2	CANT_ISOLATE										BUILD:SKIP
w102:189	1	OPERATOR	CONE_LOCAL	OPERATOR	n3	1			8	2	3	
w102:196	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n1	1		n0	0	0	5	
w102:251	1	CANT_ISOLATE										BUILD:SKIP
w102:265	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n4	2		n0,n1	12	3	4	
w102:298	0	CANT_ISOLATE										BUILD:SKIP
w102:300	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n1	1		n0	4	1	4	
w102:35	0	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n3	2		n0,n1	7	2	5	
w102:378	1	OPERATOR	CONE_LOCAL	OPERATOR	n5	2			9	3	4	
w102:392	2	CANT_ISOLATE										BUILD:SKIP
w102:424	2	COMPOSITIONAL	CONE_LOCAL	COMPOSITIONAL	n8	6		n6	7	3	4	
w102:443	2	CANT_ISOLATE										BUILD:SKIP
w102:489	0	OPERATOR	CONE_LOCAL	OPERATOR	n6	5			7	5	3	
w102:502	0	CANT_ISOLATE										BUILD:SKIP
w102:545	1	OPERATOR	CONE_LOCAL	OPERATOR	n4	2			5	2	4	
w102:554	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n2		n6		4	3	5	
w102:563	0	SIBLING_DEPENDENT	SIBLING_DEPENDENT		n4		n6		8	4	4	
w102:567	2	OPERATOR	CONE_LOCAL	OPERATOR	n5	3			1	1	5	
