job	full_status	deleg_full	repro	class	min_outputs	detail
w100:363	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w100:437	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w100:566	CRASH	0	True	SINGLE_OUTPUT_CRASH	n5	
w100:81	CRASH	0	True	SINGLE_OUTPUT_CRASH	n3	
w101:52	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w103:26	CRASH	0	True	SINGLE_OUTPUT_CRASH	n9	
w104:171	CRASH	0	True	SINGLE_OUTPUT_CRASH	n6	
w104:658	CRASH	0	True	SINGLE_OUTPUT_CRASH	n5	
w105:167	CRASH	0	True	SINGLE_OUTPUT_CRASH	n6	
w107:308	CRASH	0	True	MULTI_OUTPUT_GRAPHOPT_CRASH	n6,n7	
w110:482	CRASH	0	True	SINGLE_OUTPUT_CRASH	n11	
w111:747	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w112:239	CRASH	0	True	SINGLE_OUTPUT_CRASH	n6	
w112:357	CRASH	0	True	SINGLE_OUTPUT_CRASH	n6	
w113:186	CRASH	0	True	MULTI_OUTPUT_GRAPHOPT_CRASH	n5,n7	
w115:716	CRASH	0	True	SINGLE_OUTPUT_CRASH	n6	
w116:469	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w118:740	CRASH	0	True	SINGLE_OUTPUT_CRASH	n10	
w119:49	CRASH	0	True	SINGLE_OUTPUT_CRASH	n0	
w120:103	CRASH	0	True	SINGLE_OUTPUT_CRASH	n5	
w120:261	CRASH	0	True	SINGLE_OUTPUT_CRASH	n4	
w13:121	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w14:250	CRASH	0	True	SINGLE_OUTPUT_CRASH	n4	
w15:458	CRASH	0	True	SINGLE_OUTPUT_CRASH	n6	
w16:231	CRASH	0	True	SINGLE_OUTPUT_CRASH	n9	
w17:238	CRASH	0	True	SINGLE_OUTPUT_CRASH	n4	
w2:756	CRASH	0	True	SINGLE_OUTPUT_CRASH	n6	
w2:8	CRASH	0	True	SINGLE_OUTPUT_CRASH	n4	
w21:158	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w25:138	CRASH	0	True	SINGLE_OUTPUT_CRASH	n4	
w25:368	CRASH	0	True	SINGLE_OUTPUT_CRASH	n8	
w25:505	CRASH	0	True	SINGLE_OUTPUT_CRASH	n1	
w25:585	CRASH	0	True	SINGLE_OUTPUT_CRASH	n3	
w25:736	CRASH	0	True	SINGLE_OUTPUT_CRASH	n2	
w25:83	CRASH	0	True	SINGLE_OUTPUT_CRASH	n8	
w27:253	CRASH	0	True	MULTI_OUTPUT_GRAPHOPT_CRASH	n9,n10	
w27:8	CRASH	0	True	SINGLE_OUTPUT_CRASH	n5	
w28:92	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w3:665	CRASH	0	True	SINGLE_OUTPUT_CRASH	n3	
w31:161	CRASH	0	True	SINGLE_OUTPUT_CRASH	n5	
w32:244	CRASH	0	True	MULTI_OUTPUT_GRAPHOPT_CRASH	n5,n9	
w34:354	CRASH	0	True	MULTI_OUTPUT_GRAPHOPT_CRASH	n1,n7	
w36:429	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w37:456	CRASH	0	True	SINGLE_OUTPUT_CRASH	n2	
w39:298	CRASH	0	True	SINGLE_OUTPUT_CRASH	n4	
w39:549	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w4:233	CRASH	0	True	SINGLE_OUTPUT_CRASH	n2	
w4:306	CRASH	0	True	SINGLE_OUTPUT_CRASH	n3	
w40:216	CRASH	0	True	SINGLE_OUTPUT_CRASH	n2	
w41:250	CRASH	0	True	SINGLE_OUTPUT_CRASH	n4	
w43:728	CRASH	0	True	SINGLE_OUTPUT_CRASH	n4	
w45:628	CRASH	0	True	SINGLE_OUTPUT_CRASH	n4	
w47:523	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w48:381	CRASH	0	True	SINGLE_OUTPUT_CRASH	n4	
w49:545	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w5:269	CRASH	0	True	SINGLE_OUTPUT_CRASH	n5	
w5:299	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w5:449	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w5:81	CRASH	0	True	SINGLE_OUTPUT_CRASH	n3	
w50:376	CRASH	0	True	SINGLE_OUTPUT_CRASH	n5	
w51:294	CRASH	0	True	MULTI_OUTPUT_GRAPHOPT_CRASH	n5,n7	
w52:306	CRASH	0	True	SINGLE_OUTPUT_CRASH	n10	
w56:41	CRASH	0	True	SINGLE_OUTPUT_CRASH	n10	
w57:21	CRASH	0	True	SINGLE_OUTPUT_CRASH	n6	
w58:735	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w60:117	CRASH	0	True	SINGLE_OUTPUT_CRASH	n6	
w60:552	CRASH	0	True	MULTI_OUTPUT_GRAPHOPT_CRASH	n7,n8	
w63:204	CRASH	0	True	SINGLE_OUTPUT_CRASH	n2	
w63:623	CRASH	0	True	SINGLE_OUTPUT_CRASH	n5	
w64:541	CRASH	0	True	SINGLE_OUTPUT_CRASH	n4	
w64:719	CRASH	0	True	MULTI_OUTPUT_GRAPHOPT_CRASH	n5,n6	
w66:705	CRASH	0	True	MULTI_OUTPUT_GRAPHOPT_CRASH	n5,n7	
w67:534	CRASH	0	True	SINGLE_OUTPUT_CRASH	n9	
w69:174	CRASH	0	True	SINGLE_OUTPUT_CRASH	n6	
w69:531	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w7:186	CRASH	0	True	SINGLE_OUTPUT_CRASH	n2	
w71:633	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w73:67	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w73:717	CRASH	0	True	MULTI_OUTPUT_GRAPHOPT_CRASH	n8,n11	
w77:190	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w77:722	CRASH	0	True	SINGLE_OUTPUT_CRASH	n6	
w78:483	CRASH	0	True	SINGLE_OUTPUT_CRASH	n5	
w78:526	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w8:196	CRASH	0	True	SINGLE_OUTPUT_CRASH	n10	
w80:275	CRASH	0	True	SINGLE_OUTPUT_CRASH	n4	
w81:148	CRASH	0	True	SINGLE_OUTPUT_CRASH	n8	
w82:726	CRASH	0	True	SINGLE_OUTPUT_CRASH	n5	
w83:420	CRASH	0	True	SINGLE_OUTPUT_CRASH	n7	
w85:104	CRASH	0	True	SINGLE_OUTPUT_CRASH	n2	
w85:333	CRASH	0	True	SINGLE_OUTPUT_CRASH	n6	
w85:64	CRASH	0	True	SINGLE_OUTPUT_CRASH	n6	
w85:624	CRASH	0	True	SINGLE_OUTPUT_CRASH	n6	
w88:254	CRASH	0	True	SINGLE_OUTPUT_CRASH	n11	
w88:46	CRASH	0	True	MULTI_OUTPUT_GRAPHOPT_CRASH	n4,n6	
w88:508	CRASH	0	True	SINGLE_OUTPUT_CRASH	n5	
w9:236	CRASH	0	True	SINGLE_OUTPUT_CRASH	n4	
w9:313	CRASH	0	True	SINGLE_OUTPUT_CRASH	n2	
w90:712	CRASH	0	True	SINGLE_OUTPUT_CRASH	n6	
w91:220	CRASH	0	True	SINGLE_OUTPUT_CRASH	n11	
w91:429	CRASH	0	True	SINGLE_OUTPUT_CRASH	n3	
w92:538	CRASH	0	True	SINGLE_OUTPUT_CRASH	n9	
w92:573	CRASH	0	True	SINGLE_OUTPUT_CRASH	n8	
w93:534	CRASH	0	True	SINGLE_OUTPUT_CRASH	n6	
w95:690	CRASH	0	True	SINGLE_OUTPUT_CRASH	n6	
w96:269	CRASH	0	True	SINGLE_OUTPUT_CRASH	n4	
w97:333	CRASH	0	True	SINGLE_OUTPUT_CRASH	n6	
w97:41	CRASH	0	True	SINGLE_OUTPUT_CRASH	n8	
w99:341	CRASH	0	True	SINGLE_OUTPUT_CRASH	n1	
w99:383	CRASH	0	True	SINGLE_OUTPUT_CRASH	n6	
