job	out	verdict	tgt_op	trigger_ops	ab	n_div	n_rep	mechanism
w0:163	0	COMPOSITIONAL	select_scatter	max_pool2d_with_indices_backward;broadcast_to	AB_OK	3	3	NONFINITE
w101:291	1	COMPOSITIONAL	flip	prod	AB_OK	3	3	VALUE
w102:736	0	SIBLING_DEPENDENT	ERR		DEV:TIMEOUT	0	3	
w105:291	0	COMPOSITIONAL	mul	diagonal_copy;bitwise_left_shift;pixel_shuffle	AB_OK	3	3	VALUE
w107:89	2	COMPOSITIONAL	sign	bitwise_left_shift	AB_OK	3	3	NONFINITE
w10:546	0	COMPOSITIONAL	logit	embedding;_cdist_forward	B_NOREPRO	0	3	?
w112:319	0	COMPOSITIONAL	mean	fmod;atan	AB_OK	3	3	VALUE
w114:52	2	COMPOSITIONAL	gather	asinh	B_NOREPRO	0	3	?
w116:473	1	COMPOSITIONAL	log2	floor_divide;glu	AB_OK	3	3	VALUE
w119:781	1	COMPOSITIONAL	asinh	asin;native_layer_norm;prod	AB_OK	3	3	VALUE
w121:161	3	COMPOSITIONAL	neg	_to_copy	AB_OK	3	3	VALUE
w123:362	2	COMPOSITIONAL	clone	_to_copy;slice_copy;mul;bitwise_left_shift	AB_OK	3	3	NONFINITE
w125:725	1	COMPOSITIONAL	asin	min	B_NOREPRO	0	3	?
w127:717	0	SIBLING_DEPENDENT	floor_divide	mul	AB_OK	3	3	VALUE
w13:741	2	COMPOSITIONAL	tan	native_group_norm	AB_OK	3	3	VALUE
w16:546	0	COMPOSITIONAL	slice_scatter	elu;div;narrow_copy;cosh	AB_OK	3	3	VALUE
w18:438	3	SIBLING_DEPENDENT	narrow_copy	scatter	AB_OK	3	3	ZEROED
w1:0	2	COMPOSITIONAL	constant_pad_nd	remainder	AB_OK	3	3	VALUE
w21:180	0	COMPOSITIONAL	view_copy	native_group_norm	AB_OK	3	3	VALUE
w24:275	3	SIBLING_DEPENDENT	log2	scatter_add	AB_OK	3	3	NONFINITE
w26:595	2	COMPOSITIONAL	logit	bitwise_left_shift;asin	AB_OK	3	3	VALUE
w28:196	3	COMPOSITIONAL	any	prod	AB_OK	3	3	VALUE
w2:380	0	COMPOSITIONAL	div	_log_softmax	AB_OK	3	3	VALUE
w31:348	1	COMPOSITIONAL	native_group_norm	tanh	AB_OK	3	3	NONFINITE
w34:335	1	COMPOSITIONAL	fmod	trunc;bitwise_left_shift	AB_OK	3	3	NONFINITE
w36:723	0	SIBLING_DEPENDENT	bitwise_and	atanh;log10	AB_OK	3	3	ZEROED
w38:506	0	SIBLING_DEPENDENT	div	prod	AB_OK	3	3	ZEROED
w3:423	0	COMPOSITIONAL	div	sum	AB_OK	3	3	SCALE:0.727
w42:274	0	SIBLING_DEPENDENT	prod	acosh	AB_OK	3	3	VALUE
w43:562	1	COMPOSITIONAL	prod	slice_scatter	AB_OK	3	3	ZEROED
w45:95	0	COMPOSITIONAL	fmod	elu;permute_copy	AB_OK	3	3	VALUE
w48:208	0	SIBLING_DEPENDENT	flip	permute_copy	AB_OK	3	3	NONFINITE
w4:218	4	SIBLING_DEPENDENT	prod	topk	AB_OK	3	3	VALUE
w50:318	0	COMPOSITIONAL	index_put	sum;index	AB_OK	3	3	VALUE
w52:127	0	SIBLING_DEPENDENT	lift_fresh_copy	split_with_sizes_copy	AB_OK	3	3	ZEROED
w53:750	0	SIBLING_DEPENDENT	split_copy	amin	AB_OK	3	3	ZEROED
w56:121	2	COMPOSITIONAL	logical_xor	_to_copy;slice_copy;_to_copy;constant_pad_nd	AB_OK	3	3	ZEROED
