job	out	verdict	bucket	rec_mech	mech	test	vacuous	shared	port	xnn	eq_port	eq_xnn	A_deleg	B_deleg	deleg_full	A_n_ok	B_n_div	dtype	shape	numel	rel_pt	rel_sc	n_match	tgt_op	trigger_ops	detail	file
w93:212	0	COMPOSITIONAL	SCALE_ALIAS	ALIAS:L0	CLOBBER_EXACT:L0	t6		SHARED	MISMATCH	MISMATCH	True	True	0	0	7	2	3	int64	(4, 1, 2, 4)	32			1	alias_copy	remainder	byte-identical to another live tensor	w93_212__0.pt
w65:110	3	COMPOSITIONAL	SCALE_ALIAS	ALIAS:L1	CLOBBER_EXACT:L1	t6	VACUOUS(n=1,matches=1)	SHARED	MISMATCH	MISMATCH	True	True	1	3	12	2	3	int16	()	1			1	bitwise_or	sum	byte-identical to another live tensor	w65_110__3.pt
w20:329	1	COMPOSITIONAL	SCALE_ALIAS	ALIAS:L2	CLOBBER_EXACT:L2	t6		VGF_ONLY	OK	OK	False	False	0	4	7	2	3	float16	(2, 4, 4, 4)	128			1	scatter_add	slice_copy;split_with_sizes_copy;_to_copy;clamp;slice_copy;replication_pad3d	byte-identical to another live tensor	w20_329__1.pt
w117:560	0	COMPOSITIONAL	SCALE_ALIAS	ALIAS:L3	CLOBBER_EXACT:L3	t6	VACUOUS(n=1,matches=1)	SHARED	MISMATCH	MISMATCH	True	True	0	0	1	2	3	bool	()	1			1	any	bitwise_left_shift	byte-identical to another live tensor	w117_560__0.pt
w115:211	0	SIBLING_DEPENDENT	SCALE_ALIAS	SCALE:0.200	CLOBBER_EXACT:n1	t6	VACUOUS(n=4,matches=2)	VGF_ONLY	OK	OK	False	False	3	4	9	2	3	float32	(4,)	4			2	mul	slice_scatter	byte-identical to another live tensor	w115_211__0.pt
w117:596	0	SIBLING_DEPENDENT	SCALE_ALIAS	ALIAS:n1	CLOBBER_EXACT:n1	t6	VACUOUS(n=4,matches=3)	VGF_ONLY	OK	OK	False	False	0	1	5	2	3	float16	(1, 1, 2, 1, 2)	4			3	slice_copy	pow	byte-identical to another live tensor	w117_596__0.pt
w13:110	0	SIBLING_DEPENDENT	SCALE_ALIAS	ALIAS:n2	CLOBBER_EXACT:n2	t6	VACUOUS(n=1,matches=1)	VGF_ONLY	OK	OK	False	False	1	5	10	2	3	float16	()	1			1	mean	constant_pad_nd	byte-identical to another live tensor	w13_110__0.pt
w56:227	2	COMPOSITIONAL	SCALE_ALIAS	ALIAS:n3	CLOBBER_EXACT:n3	t6	VACUOUS(n=1,matches=2)	SHARED	MISMATCH	MISMATCH	True	True	0	0	1	2	3	int64	()	1			2	sign	remainder	byte-identical to another live tensor	w56_227__2.pt
w82:146	2	SIBLING_DEPENDENT	SCALE_ALIAS	ALIAS:n4	CLOBBER_EXACT:n4	t6	VACUOUS(n=1,matches=5)	VGF_ONLY	OK	OK	False	False	2	8	11	2	3	bool	()	1			5	ne	div;clone	byte-identical to another live tensor	w82_146__2.pt
w29:122	2	COMPOSITIONAL	SCALE_ALIAS	ALIAS:n6	CLOBBER_EXACT:n6	t6	VACUOUS(n=1,matches=1)	VGF_ONLY	OK	OK	False	False	0	1	3	2	3	uint8	(1,)	1			1	copy	_to_copy;slice_copy;_to_copy;slice_copy;asinh;pow	byte-identical to another live tensor	w29_122__2.pt
