w10:13 1 n4 | portable(d=0)=OK  xnnpack(d=2)=OK
w109:130 0 n2 | portable(d=0)=OK  xnnpack(d=1)=OK
w113:429 1 n7 | portable(d=0)=OK  xnnpack(d=1)=OK
w115:631 0 n3 | portable=RUNEXC  xnnpack=RUNEXC
w120:186 0 n8 | portable=RUNEXC  xnnpack=RUNEXC
w123:49 1 n5 | portable(d=0)=OK  xnnpack(d=1)=OK
w127:226 0 n3 | portable(d=0)=OK  xnnpack(d=0)=OK
w13:423 0 n4 | portable(d=0)=OK  xnnpack(d=2)=OK
w18:124 0 n1 | portable(d=0)=OK  xnnpack=BUILD:SKIP
w109:539 0 n1 | portable(d=0)=OK  xnnpack(d=0)=OK
w113:546 0 n5 | portable(d=0)=OK  xnnpack(d=0)=OK
w117:156 1 n2 | portable(d=0)=OK  xnnpack(d=1)=OK
w120:331 3 n7 | portable(d=0)=OK  xnnpack(d=1)=OK
w123:59 3 n7 | portable(d=0)=OK  xnnpack(d=0)=OK
w127:739 1 n6 | portable(d=0)=OK  xnnpack(d=2)=OK
w15:780 0 n3 | portable(d=0)=OK  xnnpack(d=2)=OK
w18:185 0 n5 | portable(d=0)=OK  xnnpack(d=3)=OK
w101:730 1 n5 | portable(d=0)=OK  xnnpack(d=8)=OK
w113:641 3 n8 | portable(d=0)=OK  xnnpack(d=3)=OK
w117:643 0 n3 | portable(d=0)=OK  xnnpack(d=3)=OK
w1:287 0 n3 | portable(d=0)=OK  xnnpack(d=2)=OK
w14:533 1 n3 | portable(d=0)=OK  xnnpack(d=1)=OK
w16:27 1 n5 | portable(d=0)=OK  xnnpack(d=4)=OK
w18:438 3 n5 | portable(d=0)=OK  xnnpack(d=1)=OK
w111:578 0 n1 | portable(d=0)=OK  xnnpack(d=1)=OK
w113:751 1 n5 | portable(d=0)=OK  xnnpack(d=1)=OK
w118:120 2 n5 | portable(d=0)=OK  xnnpack(d=2)=OK
w121:710 0 n2 | portable(d=0)=OK  xnnpack(d=6)=OK
w124:703 2 n5 | portable=RUNEXC  xnnpack=RUNEXC
w13:119 0 n2 | portable(d=0)=OK  xnnpack(d=4)=OK
w1:476 0 n7 | portable(d=0)=OK  xnnpack(d=2)=OK
w16:633 0 n3 | portable(d=0)=OK  xnnpack=BUILD:SKIP
w103:40 0 n1 | portable(d=0)=OK  xnnpack(d=3)=OK
w115:354 0 n1 | portable(d=0)=OK  xnnpack(d=3)=OK
w121:756 1 n5 | portable(d=0)=OK  xnnpack(d=4)=OK
w125:527 0 n3 | portable(d=0)=OK  xnnpack(d=2)=OK
w13:22 0 n2 | portable(d=0)=OK  xnnpack(d=0)=OK
w1:489 1 n3 | portable(d=0)=OK  xnnpack(d=1)=OK
w17:556 1 n7 | portable(d=0)=OK  xnnpack(d=3)=OK
w19:198 0 n2 | portable(d=0)=OK  xnnpack(d=1)=OK
w108:171 0 n1 | portable(d=0)=OK  xnnpack(d=1)=OK
w11:274 2 n5 | portable(d=0)=OK  xnnpack(d=3)=OK
w115:540 1 n5 | portable(d=0)=OK  xnnpack(d=1)=OK
w123:22 1 n5 | portable=RUNEXC  xnnpack=RUNEXC
w126:77 2 n6 | portable(d=0)=OK  xnnpack(d=2)=OK
w13:404 0 n2 | portable(d=0)=OK  xnnpack(d=4)=OK
w15:167 0 n4 | portable(d=0)=OK  xnnpack(d=2)=OK
w17:600 0 n2 | portable(d=0)=OK  xnnpack(d=2)=OK
