status	job	reason	graph
SKIP	w0:115	output decode ValueError: both buffer length (0) and count (-1) must not be 0	n0*=min.dim_min(L0,·,·,L1,L2)
MISMATCH	w0:103	out[0] max|delta|=6.000e+00 (rtol=0.01 atol=0.001)	n0*=fill.Scalar(L0,·)
SKIP	w0:142	vgf_runner rc=2: 	n0*=_pdist_forward(L0,·)
SKIP	w0:163	vgf_runner rc=2: 	n0*=max_pool2d_with_indices_backward.grad_input(L0,L1,·,·,·,·,·,L2,L3)
SKIP	w0:171	vgf_runner rc=2: 	n0*=_fft_r2c(L0,·,·,·)
SKIP	w0:177	vgf_runner rc=2: 	n0*=copy(L0,L1,·)
MISMATCH	w0:117	out[0] non-finite mismatch (nan/inf positions differ)	n0*=gelu.out(L0,·,·)
MISMATCH	w0:191	out[0] non-finite mismatch (nan/inf positions differ)	n0*=leaky_relu.out(L0,·,·)
SKIP	w0:207	vgf_runner rc=2: 	n0*=any.all_out(L0,·)
SKIP	w0:213	vgf_runner rc=2: 	n0*=fill.Tensor(L0,L1)
MISMATCH	w0:222	out[0] max|delta|=9.223e+18 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
SKIP	w0:230	vgf_runner rc=2: 	n0*=expand_copy(L0,·,·)
MISMATCH	w0:237	out[0] max|delta|=1.153e+18 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar(L0,·)
MISMATCH	w0:139	out[0] non-finite mismatch (nan/inf positions differ)	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w0:373	vgf_runner rc=2: 	n0*=_pdist_forward(L0,·)
SKIP	w0:394	vgf_runner rc=2: 	n0*=max_pool2d_with_indices_backward.grad_input(L0,L1,·,·,·,·,·,L2,L3)
SKIP	w0:402	vgf_runner rc=2: 	n0*=_fft_r2c(L0,·,·,·)
SKIP	w0:400	vgf_runner rc=2: 	n0*=any.dims_out(L0,·,·,·)
SKIP	w0:408	vgf_runner rc=2: 	n0*=copy(L0,L1,·)
