job_id	out_idx	verdict	cone_size	required_siblings	detail
w0:11	2	OPERATOR	5		diverges alone (cone 5)
w0:114	1	OPERATOR	2		diverges alone (cone 2)
w0:129	1	GRAPHOPT	8	n8	needs siblings ['n8']
w0:14	1	GRAPHOPT	7	n7	needs siblings ['n7']
w0:147	0	OPERATOR	4		diverges alone (cone 4)
w0:148	0	OPERATOR	4		diverges alone (cone 4)
w0:151	4	OPERATOR	2		diverges alone (cone 2)
w0:154	1	OPERATOR	4		diverges alone (cone 4)
w0:158	0	OPERATOR	2		diverges alone (cone 2)
w0:16	1	OPERATOR	5		diverges alone (cone 5)
w0:162	0	OPERATOR	3		diverges alone (cone 3)
w0:164	2	OPERATOR	3		diverges alone (cone 3)
w0:166	0	OPERATOR	2		diverges alone (cone 2)
w0:171	2	OPERATOR	4		diverges alone (cone 4)
w0:172	1	GRAPHOPT	5	n8	needs siblings ['n8']
w0:176	1	GRAPHOPT	8	n7,n11	needs siblings ['n7', 'n11']
w0:186	0	OPERATOR	5		diverges alone (cone 5)
w0:196	1	NOREPRO	2		full graph diverges=False
w0:206	0	GRAPHOPT	5	n7	needs siblings ['n7']
w0:208	1	NOREPRO	2		full graph diverges=False
w0:213	1	OPERATOR	2		diverges alone (cone 2)
w0:215	0	OPERATOR	5		diverges alone (cone 5)
w0:22	1	GRAPHOPT	4	n3	needs siblings ['n3']
w0:238	1	OPERATOR	5		diverges alone (cone 5)
w0:245	0	GRAPHOPT	7	n8	needs siblings ['n8']
w0:248	0	OPERATOR	3		diverges alone (cone 3)
w0:252	0	OPERATOR	5		diverges alone (cone 5)
w0:256	0	GRAPHOPT	7	n13	needs siblings ['n13']
w0:26	2	OPERATOR	3		diverges alone (cone 3)
w0:260	0	OPERATOR	4		diverges alone (cone 4)
w0:270	2	NOREPRO	5		full graph diverges=False
w0:277	0	OPERATOR	8		diverges alone (cone 8)
w0:278	3	OPERATOR	5		diverges alone (cone 5)
w0:279	1	OPERATOR	4		diverges alone (cone 4)
w0:283	1	OPERATOR	2		diverges alone (cone 2)
w0:296	2	OPERATOR	3		diverges alone (cone 3)
w0:30	2	GRAPHOPT	10	n11	needs siblings ['n11']
w0:305	4	OPERATOR	4		diverges alone (cone 4)
w0:307	1	OPERATOR	5		diverges alone (cone 5)
w0:309	4	OPERATOR	4		diverges alone (cone 4)
w0:310	2	OPERATOR	4		diverges alone (cone 4)
w0:312	2	GRAPHOPT	8	n4,n6	needs siblings ['n4', 'n6']
w0:323	1	BISECT_HANG	-1		timeout 120s
w0:33	1	OPERATOR	3		diverges alone (cone 3)
w0:334	3	OPERATOR	6		diverges alone (cone 6)
w0:340	1	OPERATOR	4		diverges alone (cone 4)
w0:344	2	OPERATOR	4		diverges alone (cone 4)
w0:346	0	GRAPHOPT	5	n7	needs siblings ['n7']
w0:349	0	OPERATOR	6		diverges alone (cone 6)
w0:355	1	GRAPHOPT	7	n7	needs siblings ['n7']
w0:357	3	GRAPHOPT	5	n6	needs siblings ['n6']
