status	job	reason	graph
SKIP	w0:110	qnn_runner rc=2: 	n0=mean.out(L0,·,·,·,·) ; n1*=mean.dtype_out(n0,·,·) ; n2=reciprocal.out(n0,·) ; n3=asinh.out(n0,·) ; n4=hardtanh(n2,·,·) ; n5*=sqrt.out(n4,·) ; n6=sqrt.out(n3,·) ; n7=to(n3,·) ; n8=bcast(n7,·) ; n9*=div.out_mode(n6,n8,·,·)
SKIP	w0:106	qnn_runner rc=2: 	n0=logical_and.out(L0,L1,·) ; n1=logical_not(n0) ; n2=div.Scalar(n0,·) ; n3=to(n1,·) ; n4=pad(n3,·,·) ; n5=clampr(n4,·,·) ; n6*=index_select.out(n2,·,n5,·) ; n7=unfold_copy(n2,·,·,·) ; n8=to(n7,·) ; n9=rshp(n8,·) ; n10*=logical_and(n9,n1) ; n11*=fill.Scalar(n9,·) ; n12*=max(n3)
SKIP	w0:102	qnn_runner rc=2: 	n0=where.self_out(L0,L1,L2,·) ; n1=to(n0,·) ; n2=pad(n1,·,·) ; n3=clampr(n2,·,·) ; n4=pad(n0,·,·) ; n5=scatter.src_out(n0,·,n3,n4,·) ; n6=mul.Scalar(n0,·) ; n7*=gt.Scalar_out(n0,·,·) ; n8*=log1p.out(n6,·) ; n9=hardtanh.out(n6,·,·,n5) ; n10*=clamp.Tensor_out(n0,·,·,·) ; n11=to(n5,·) ; n12=bcast(n11,·) ; n13*=_native_batch_norm_legit_no_training(n12,·,·,n5,n9,·,·)
MISMATCH	w0:11	out[2] non-finite mismatch (nan/inf positions differ)	n0=detach_copy(L0) ; n1=atan2.out(n0,L1,·) ; n2=trunc.out(n0,·) ; n3*=add.Scalar(n2,·,·) ; n4=max(n1) ; n5=mean(n0,·) ; n6=to(n0,·) ; n7=slice(n6,·,·,·,·) ; n8=slice(n7,·,·,·,·) ; n9=slice(n8,·,·,·,·) ; n10=slice(n9,·,·,·,·) ; n11=slice(n10,·,·,·,·) ; n12*=mul.out(n11,n1,·) ; n13*=log.out(n5,n4)
SKIP	w0:113	qnn_runner rc=2: 	n0=pixel_unshuffle(L0,·) ; n1=sub.Scalar(n0,·,·) ; n2*=rsqrt.out(n1,·) ; n3=pixel_unshuffle(n1,·) ; n4*=erf.out(n1,·) ; n5=repeat(n0,·) ; n6*=acos.out(n3,·) ; n7*=lt.Tensor_out(n5,L1,·)
SKIP	w0:121	qnn_runner rc=2: 	n0=add.Scalar(L0,·,·) ; n1=native_group_norm(n0,·,·,·,·,·,·,·) ; n2=unfold_copy(n0,·,·,·) ; n3=log.out(n2,·) ; n4*=reflection_pad1d.out(n1,·,·) ; n5=pixel_shuffle(n3,·) ; n6*=pixel_shuffle(n5,·) ; n7*=permute_copy(n3,·)
SKIP	w0:120	qnn_runner rc=2: 	n0=ceil.out(L0,·) ; n1=to(n0,·) ; n2=pad(n1,·,·) ; n3=clampr(n2,·,·) ; n4=index_select.out(n0,·,n3,·) ; n5=ge.Scalar_out(n0,·,·) ; n6=to(n3,·) ; n7=slice(n6,·,·,·,·) ; n8*=logical_and(n5,n7) ; n9*=ne.Scalar_out(n6,·,·) ; n10*=atanh.out(n0,·) ; n11*=sqrt.out(n6,·) ; n12=to(n6,·) ; n13=slice(n12,·,·,·,·) ; n14*=copy(n4,n13,·)
MISMATCH	w0:114	out[1] non-finite mismatch (nan/inf positions differ)	n0=rsqrt.out(L0,·) ; n1=argmax.out(n0,·,·,·) ; n2=bcast(n1,·) ; n3*=eq.Tensor_out(n2,n1,·) ; n4*=index.Tensor_out(n0,·,·) ; n5=cosh.out(n0,·) ; n6*=abs(n5) ; n7=logit.out(n2,·,·) ; n8*=div.out_mode(L1,n7,·,·)
SKIP	w0:122	qnn_runner rc=2: 	n0=leaky_relu.out(L0,·,·) ; n1=detach_copy(n0) ; n2=cosh.out(n1,·) ; n3=t_copy(n1) ; n4=asinh.out(n3,·) ; n5=to(n4,·) ; n6=pad(n5,·,·) ; n7=clampr(n6,·,·) ; n8*=index_select.out(n4,·,n7,·) ; n9*=lt.Scalar_out(n1,·,·) ; n10*=index_put(n2,·,L1,·)
SKIP	w0:112	qnn_runner rc=2: 	n0=_native_batch_norm_legit_no_training(L0,·,·,L1,L2,·,·) ; n1*=gt.Scalar_out(n0,·,·) ; n2*=floor_divide(L3,n0) ; n3=log.out(n0,·) ; n4=view_copy(n3,·) ; n5=max(n4) ; n6=bcast(n5,·) ; n7=atan2.out(n6,n0,·) ; n8*=reflection_pad2d.out(n7,·,·)
