op	verdict	job	out	detail	eager	device	in_dtypes
_adaptive_avg_pool2d	CLEAN	w12:283	0	op reproduces eager alone	""	""	""
_cdist_forward	CLEAN	w71:878	1	op reproduces eager alone	""	""	""
_log_softmax.out	CLEAN	w120:1026	1	op reproduces eager alone	""	""	""
_native_batch_norm_legit.no_stats	GENUINE	w58:91	2	out[0] max|delta|=3.999e-01 (rtol=0.01 atol=0.001)	[-0.98242, -1.0, -0.98242, 1.01855, 1.0]	[-0.59668, -0.99902, -0.59668, 0.61865, 0.99902]	["torch.float16"]
_native_batch_norm_legit_no_training	LOWERFAIL	w53:617	2	build=SKIP	""	""	""
_pdist_forward	LOWERFAIL	w124:294	3	build=SKIP	""	""	""
_softmax.out	CLEAN	w108:765	0	op reproduces eager alone	""	""	""
_upsample_bilinear2d_aa.out	GENUINE	w16:743	1	out[0] max|delta|=5.000e+00 (rtol=0.0 atol=0.0)	[45.0, 5.0, 52.0, 11.0, 90.0]	[41.0, 2.0, 47.0, 8.0, 88.0]	["torch.uint8"]
abs	GENUINE	w100:731	1	out[0] dtype torch.float32 vs torch.uint8	[3.0, 4.0, 4.0, 1.0, 3.0]	[253.0, 253.0, 253.0, 4.0, 253.0]	["torch.float32"]
abs.out	CLEAN	w105:549	0	op reproduces eager alone	""	""	""
acos.out	GENUINE	w47:481	0	out[0] dtype torch.float16 vs torch.float32	[1.57031]	[0.88137]	["torch.int32"]
acosh.out	CLEAN	w33:187	0	op reproduces eager alone	""	""	""
add.Scalar	CLEAN	w105:365	1	op reproduces eager alone	""	""	""
addmm.out	CLEAN	w104:132	0	op reproduces eager alone	""	""	""
alias_copy	CLEAN	w104:346	0	op reproduces eager alone	""	""	""
amax.out	CLEAN	w107:127	0	op reproduces eager alone	""	""	""
amin.out	CLEAN	w104:223	1	op reproduces eager alone	""	""	""
any.all_out	GENUINE	w101:283	1	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	[0.0]	[1.0]	["torch.float16"]
any.dims_out	GENUINE	w101:650	2	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	[0.0]	[1.0]	["torch.float32"]
argmax.out	CLEAN	w0:6	1	op reproduces eager alone	""	""	""
argmin.out	CLEAN	w103:590	3	op reproduces eager alone	""	""	""
asin.out	GENUINE	w105:732	1	out[0] dtype torch.float32 vs torch.float16	[-1.5708, -1.5708]	[-1.42383, -1.42383]	["torch.int32"]
asinh.out	CLEAN	w115:59	2	op reproduces eager alone	""	""	""
atan.out	CLEAN	w101:750	1	op reproduces eager alone	""	""	""
atan2.out	CLEAN	w113:10	0	op reproduces eager alone	""	""	""
atanh.out	GENUINE	w37:662	3	out[0] dtype torch.float16 vs torch.int64	[-1.42285, 0.53369, -0.55713, -1.50586, 3.60938]	[0.0, 0.0, 0.0, 0.0, 0.0]	["torch.float32"]
avg_pool2d.out	CLEAN	w78:223	3	op reproduces eager alone	""	""	""
bitwise_and.Scalar	CLEAN	w17:429	1	op reproduces eager alone	""	""	""
bitwise_and.Scalar_out	CLEAN	w10:574	0	op reproduces eager alone	""	""	""
bitwise_and.Tensor_out	CLEAN	w101:730	0	op reproduces eager alone	""	""	""
bitwise_left_shift.Tensor_Scalar	GENUINE	w101:183	0	out[0] max|delta|=8.647e+17 (rtol=0.0 atol=0.0)	[0.0]	[-8.646911284551352e+17]	["torch.int64"]
bitwise_left_shift.Tensor_Scalar_out	GENUINE	w100:163	1	out[0] max|delta|=2.147e+09 (rtol=0.01 atol=0.001)	[0.0, 0.0, 0.0, 0.0, 0.0]	[-1610612736.0, -2147483648.0, -1610612736.0, -1610612736.0, -1610612736.0]	["torch.int32"]
bitwise_left_shift.Tensor_out	GENUINE	w0:732	0	out[0] max|delta|=9.223e+18 (rtol=0.0 atol=0.0)	[0.0, 0.0]	[-6.917529027641082e+18, -9.223372036854776e+18]	["torch.int64", "torch.int64"]
bitwise_not.out	CLEAN	w103:220	2	op reproduces eager alone	""	""	""
bitwise_or.Scalar	CLEAN	w112:46	1	op reproduces eager alone	""	""	""
bitwise_or.Scalar_out	CLEAN	w14:255	1	op reproduces eager alone	""	""	""
bitwise_or.Tensor_out	GENUINE	w121:484	1	out[0] dtype torch.int64 vs torch.int32	[0.0, 1.0]	[2304.0, 2304.0]	["torch.uint8", "torch.int64"]
bitwise_right_shift.Tensor_Scalar	GENUINE	w114:527	2	out[0] max|delta|=1.600e+01 (rtol=0.0 atol=0.0)	[0.0, 0.0, 0.0, 0.0, 0.0]	[16.0, 16.0, 16.0, 16.0, 16.0]	["torch.int64"]
bitwise_right_shift.Tensor_Scalar_out	GENUINE	w106:213	2	out[0] max|delta|=1.600e+01 (rtol=0.01 atol=0.001)	[0.0, 0.0, 0.0, 0.0, 0.0]	[16.0, 16.0, 16.0, 16.0, 16.0]	["torch.int16"]
bitwise_right_shift.Tensor_out	GENUINE	w35:552	1	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	[0.0, 0.0, -1.0, 0.0, 0.0]	[0.0, 0.0, -1.0, 1.0, 0.0]	["torch.int64", "torch.int64"]
bitwise_xor.Scalar	CLEAN	w101:608	0	op reproduces eager alone	""	""	""
bitwise_xor.Scalar_out	CLEAN	w102:213	0	op reproduces eager alone	""	""	""
bitwise_xor.Tensor_out	GENUINE	w100:700	0	out[0] max|delta|=3.000e+00 (rtol=0.0 atol=0.0)	[0.0, 0.0]	[-3.0, -3.0]	["torch.int32", "torch.int32", "torch.int32"]
bmm.out	CLEAN	w109:423	0	op reproduces eager alone	""	""	""
ceil.out	CLEAN	w107:166	1	op reproduces eager alone	""	""	""
clamp.Tensor_out	GENUINE	w0:379	0	out[0] max|delta|=1.200e+01 (rtol=0.0 atol=0.0)	[6.0, 6.0, 6.0, 6.0, 6.0, 12.0]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	["torch.int32"]
