FULL PER-JOB BISECTION — verdict totals: {'OPERATOR': 7909, 'GRAPHOPT': 1157, 'NOREPRO': 633, 'BISECT_CRASH': 3}

OP	OPERATOR	GRAPHOPT	NOREPRO
clamp.Tensor_out	559	14	2
select_scatter	290	13	159
pow.Tensor_Tensor_out	239	17	6
sum.IntList_out	180	7	6
any.dims_out	167	11	3
index_put	90	64	0
sign.out	120	5	2
remainder.Scalar	114	6	4
relu	110	8	0
tanh.out	111	7	1
minimum.out	106	12	4
any.all_out	107	8	1
mean.out	103	10	1
pow.Tensor_Scalar_out	103	3	1
remainder.Scalar_out	92	6	2
floor_divide	85	9	12
floor_divide.out	85	5	9
gather.out	80	7	3
_log_softmax.out	78	8	3
prod.int_out	75	9	2
expand_copy	64	17	1
clamp.out	73	8	65
view_copy	59	19	3
permute_copy	68	9	0
remainder.Tensor_out	67	10	7
sub.out	60	10	5
_softmax.out	67	3	1
exp.out	65	5	1
clone	52	17	3
unsqueeze_copy	59	9	4
flip	59	8	2
div.out	58	9	7
bitwise_left_shift.Tensor_out	64	2	0
topk.values	65	0	12
bitwise_left_shift.Tensor_Scalar	64	1	0
slice_scatter	58	7	1
squeeze_copy.dims	50	14	2
transpose_copy.int	46	17	2
atan2.out	57	6	0
sinh.out	51	11	6
pixel_unshuffle	42	18	1
abs	51	9	1
add.Scalar	51	8	5
expm1.out	52	7	3
cosh.out	52	7	1
fmod.Scalar	52	7	1
abs.out	55	3	2
diagonal_copy	53	4	1
alias_copy	42	14	2
lift_fresh_copy	45	10	2
asin.out	47	8	0
constant_pad_nd	44	10	2
linear.out	52	2	2
sigmoid.out	43	10	1
gelu.out	43	10	2
pixel_shuffle	43	8	1
mul.out	41	10	3
hardtanh	50	1	0
cos.out	37	13	3
detach_copy	42	8	1
sin.out	38	12	6
acos.out	44	6	1
select_copy.int	43	7	3
fill.Scalar	44	5	4
tan.out	39	10	7
cumsum.out	39	10	1
floor.out	38	11	2
round.out	39	9	2
maximum.out	41	7	0
gt.Tensor_out	42	6	1
squeeze_copy.dim	42	6	1
atan.out	34	13	0
reciprocal.out	38	9	4
ceil.out	37	10	2
copy	39	7	0
sqrt.out	36	10	0
hardtanh.out	41	5	1
trunc.out	38	8	1
atanh.out	38	8	4
log1p.out	39	6	0
bitwise_left_shift.Tensor_Scalar_out	41	4	0
min	33	12	2
logical_xor.out	36	9	1
linear	40	4	2
rsqrt.out	34	10	13
neg.out	33	11	1
max.unary_out	37	7	0
mean.dtype_out	35	8	2
fmod.Tensor_out	37	5	8
fmod.Scalar_out	38	4	2
sub.Scalar	30	12	1
mul.Scalar	29	12	3
rsub.Scalar	30	9	3
roll	21	18	2
slice_copy.Tensor	32	7	2
mean	31	8	2
tril.out	34	5	1
asinh.out	35	4	3
max	31	7	1
erf.out	32	6	2
div.Scalar	33	5	5
log10.out	32	6	11
_native_batch_norm_legit.no_stats	35	1	0
logical_and.out	34	1	0
min.unary_out	27	8	1
le.Tensor_out	29	5	1
log2.out	29	5	10
lt.Tensor_out	30	3	0
log.out	26	7	12
max_pool2d_with_indices_backward.grad_input	30	2	0
unfold_copy	28	3	3
reflection_pad2d.out	30	1	1
leaky_relu.out	20	10	2
bitwise_right_shift.Tensor_Scalar	27	2	1
pow.Scalar_out	25	4	0
unbind_copy.int	23	5	4
prod	21	7	3
logit	23	5	25
split_copy.Tensor	24	3	3
logical_not.out	21	6	3
t_copy	19	8	1
acosh.out	23	4	2
bitwise_right_shift.Tensor_Scalar_out	26	1	1
split_with_sizes_copy	22	4	1
logical_and	22	4	0
ge.Tensor_out	21	4	0
logical_xor	21	3	0
ne.Tensor_out	21	3	0
index_select.out	17	6	2
logit.out	20	3	33
repeat	15	7	0
glu.out	14	8	1
var_mean.correction	18	3	1
logical_not	13	8	0
bmm.out	21	0	0
elu.out	13	8	0
var.correction	17	4	2
index.Tensor_out	15	6	1
eq.Tensor_out	17	4	0
min.dim_min	20	0	0
amax.out	15	5	0
argmin.out	17	2	1
bitwise_xor.Scalar_out	18	1	0
bitwise_not.out	17	2	3
gt.Scalar_out	14	4	0
_cdist_forward	18	0	0
amin.out	17	0	1
max.dim_max	17	0	2
bitwise_or.Tensor_out	14	3	1
where.self	14	3	0
masked_scatter	13	3	0
bitwise_and.Tensor_out	15	1	1
ge.Scalar_out	13	3	0
bitwise_xor.Scalar	13	2	0
logical_or	12	2	0
addmm.out	10	4	1
var.correction_out	11	3	2
lt.Scalar_out	13	1	0
bitwise_xor.Tensor_out	13	0	0
masked_fill.Scalar	8	5	1
replication_pad1d.out	11	1	1
logical_or.out	11	1	1
argmax.out	8	3	0
where.self_out	10	1	1
bitwise_right_shift.Tensor_out	9	2	2
convolution	11	0	1
div.out_mode	10	1	1
le.Scalar_out	10	1	0
ne.Scalar_out	8	2	0
scatter.value_out	7	2	0
native_layer_norm	8	1	2
narrow_copy	7	2	2
reflection_pad2d	9	0	1
reflection_pad1d.out	7	2	1
bitwise_and.Scalar	7	1	0
replication_pad2d.out	8	0	2
bitwise_or.Scalar_out	8	0	0
narrow_copy.out	3	5	1
isnan	7	0	0
replication_pad3d.out	4	2	0
scatter.src_out	6	0	0
bitwise_and.Scalar_out	5	1	0
_adaptive_avg_pool2d	5	0	1
index_select	5	0	0
eq.Scalar_out	3	2	1
mm.out	4	0	0
bitwise_or.Scalar	3	1	1
scatter_add.out	3	0	2
_pdist_forward	3	0	0
_upsample_bilinear2d_aa.out	2	0	0
native_group_norm	2	0	0
avg_pool2d.out	2	0	0
max_pool2d_with_indices.out	1	0	0
_native_batch_norm_legit_no_training	1	0	0
grid_sampler_2d	1	0	0
isinf	1	0	0
embedding	0	0	1
