op	verdict	job	out	detail	eager	device	in_dtypes
_adaptive_avg_pool2d	CLEAN	w57:180	0	op reproduces eager alone	""	""	""
_cdist_forward	LOWERFAIL	w101:309	3	build=SKIP	""	""	""
_log_softmax.out	GENUINE	w49:139	0	out[0] max|delta|=5.319e+01 (rtol=0.01 atol=0.001)	[-54.54836, -54.54836, 0.0, 0.0, 0.0, 0.0]	[-1.38629, -1.38629, -1.38629, -1.38629, -1.38629, -1.38629]	["torch.float32"]
_native_batch_norm_legit.no_stats	GENUINE	w53:120	4	out[0] max|delta|=3.462e-01 (rtol=0.01 atol=0.001)	[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0]	[-1.125, -1.125, -1.125, -1.125, -1.125, -1.125]	["torch.float16"]
_native_batch_norm_legit_no_training	LOWERFAIL	w35:254	2	build=SKIP	""	""	""
_pdist_forward	LOWERFAIL	w124:294	3	build=SKIP	""	""	""
_softmax.out	GENUINE	w109:880	1	out[0] max|delta|=6.166e-01 (rtol=0.01 atol=0.001)	[0.06282, 0.07938, 0.33988, 0.51793, 0.72517, 0.09587]	[0.06282, 0.07938, 0.33988, 0.51793, 0.72517, 0.09587]	["torch.float32"]
_upsample_bilinear2d_aa.out	GENUINE	w16:743	1	out[0] max|delta|=5.000e+00 (rtol=0.0 atol=0.0)	[45.0, 5.0, 52.0, 11.0, 90.0, 54.0]	[41.0, 2.0, 47.0, 8.0, 88.0, 52.0]	["torch.uint8"]
abs	GENUINE	w101:474	3	out[0] dtype torch.float32 vs torch.int16	[85.0, 85.0]	[0.0, 0.0]	["torch.float32"]
abs.out	GENUINE	w116:478	0	out[0] max|delta|=1.728e+00 (rtol=0.01 atol=0.001)	[1.06348, 2.65625, 2.48047, 2.71094, 2.05859, 2.2207]	[1.06348, 2.65625, 2.48047, 1.06348, 2.65625, 2.48047]	["torch.float16"]
acos.out	GENUINE	w47:481	0	out[0] dtype torch.float16 vs torch.float32	[1.57031]	[-1.5708]	["torch.int32"]
acosh.out	NONFINITE_OUT	w33:187	0	out[0] dtype torch.float16 vs torch.float32	[NaN, 1.3418]	[1.30619, 1.30619]	["torch.float32"]
add.Scalar	GENUINE	w105:365	1	out[0] dtype torch.float32 vs torch.float16	[-11.61279, -12.09427, -11.81087, -11.8396, -11.61279, -12.09427]	[-1.0, -0.99121, -0.98242, 1.0, 1.00977, 1.01855]	["torch.float32"]
addmm.out	CLEAN	w106:467	0	op reproduces eager alone	""	""	""
alias_copy	GENUINE	w104:346	0	out[0] max|delta|=1.926e+00 (rtol=0.01 atol=0.001)	[1.0, -1.0]	[0.074, 0.926]	["torch.float32"]
amax.out	GENUINE	w107:127	0	out[0] dtype torch.float32 vs torch.float16	[0.0]	[-1.42383]	["torch.float32"]
amin.out	CLEAN	w0:35	1	op reproduces eager alone	""	""	""
any.all_out	GENUINE	w101:283	1	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	[0.0]	[1.0]	["torch.float16"]
any.dims_out	GENUINE	w101:650	2	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	[0.0]	[1.0]	["torch.float32"]
argmax.out	CLEAN	w0:6	1	op reproduces eager alone	""	""	""
argmin.out	GENUINE	w103:290	1	out[0] dtype torch.int64 vs torch.float32	[105.0]	[2.0]	["torch.float32"]
asin.out	NONFINITE_OUT	w101:54	3	out[0] dtype torch.float16 vs torch.float32	[1.57031, 0.93457]	[1.84766, NaN]	["torch.float16", "torch.float16"]
